name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
BBC,TraDove B2BCoin,BBC,N/A,/coins/bbc/overview,N/A,,,,,
STPT,STP Network,STPT,N/A,/coins/stpt/overview,N/A,,,,,
SCT,ScryptToken,SCT,PoW/PoS,/coins/sct/overview,Scrypt,,,,,
BBG,BigBang,BBG,N/A,/coins/bbg/overview,N/A,,,,,
BBI,BelugaPay,BBI,N/A,/coins/bbi/overview,N/A,,,,,
BBK,BitBlocks,BBK,PoW/PoS,/coins/bbk/overview,Scrypt,,,,,
CVCC,CryptoVerificationCoin,CVCC,N/A,/coins/cvcc/overview,N/A,,,,,
UAEC,United Arab Emirates Coin,UAEC,PoW/PoS,/coins/uaec/overview,X11,,,,,
BBO,Bigbom,BBO,N/A,/coins/bbo/overview,N/A,,,,,
BBN,BBNCOIN,BBN,PoW,/coins/bbn/overview,N/A,,,,,
BBP,BiblePay,BBP,POBh,/coins/bbp/overview,Proof-of-BibleHash,,,,,
SDA,SDChain,SDA,N/A,/coins/sda/overview,N/A,,,,,
HORUS,HorusPay,HORUS,N/A,/coins/horus/overview,N/A,,,,,
BBS (1),BBSCoin,BBS,N/A,/coins/bbs-1/overview,CryptoNight,,,,,
SDC,ShadowCash,SDC,PoW/PoS,/coins/sdc/overview,Scrypt,,,,,
BBR,Boolberry,BBR,PoW,/coins/bbr/overview,X11,,,,,
SCOT,Scotcoin,SCOT,N/A,/coins/scot/overview,Counterparty,,,,,
SCOR,Scorista,SCOR,N/A,/coins/scor/overview,N/A,,,,,
BBT,BitBoost,BBT,N/A,/coins/bbt/overview,N/A,,,,,
SCOP,Scopuly,SCOP,N/A,/coins/scop/overview,N/A,,,,,
JSE,JSEcoin,JSE,N/A,/coins/jse/overview,N/A,,,,,
SDP,SydPakCoin,SDP,PoW/PoS,/coins/sdp/overview,X13,,,,,
ABBV.CUR,Abbvie,ABBV.CUR,N/A,/coins/abbvcur/overview,N/A,,,,,
BCB,BCB Blockchain,BCB,PoS,/coins/bcb/overview,N/A,,,,,
BCA,Bitcoin Atom,BCA,PoW/PoS,/coins/bca/overview,SHA-256,,,,,
BCD,Bitcoin Diamond,BCD,PoW/PoS,/coins/bcd/overview,X13,,,,,
STOR,Self Storage Coin,STOR,PoW,/coins/stor/overview,N/A,,,,,
SDS,Alchemint Standards,SDS,N/A,/coins/sds/overview,N/A,,,,,
BCF,BitcoinFast,BCF,PoW/PoS,/coins/bcf/overview,Scrypt,,,,,
BCH,Bitcoin Cash,BCH,PoW,/coins/bch/overview,SHA-256,,,,,
BCI,Bitcoin Interest,BCI,PoW,/coins/bci/overview,Equihash,,,,,
JST,JUST,JST,N/A,/coins/jst/overview,N/A,,,,,
BCN,ByteCoin,BCN,PoW,/coins/bcn/overview,CryptoNight,,,,,
VESTA,Vestarin,VESTA,N/A,/coins/vesta/overview,N/A,,,,,
SEA,Second Exchange Alliance,SEA,N/A,/coins/sea/overview,N/A,,,,,
BCO,BridgeCoin,BCO,PoW,/coins/bco/overview,Scrypt,,,,,
BCR,BitCredit,BCR,PoW,/coins/bcr/overview,Momentum,,,,,
SEC,SecureCryptoPayments,SEC,N/A,/coins/sec/overview,N/A,,,,,
TRXDICE,TRONdice,TRXDICE,N/A,/coins/trxdice/overview,N/A,,,,,
BCT,Bitcratic Token,BCT,N/A,/coins/bct/overview,N/A,,,,,
BCS,Business Credit Substitute,BCS,N/A,/coins/bcs/overview,N/A,,,,,
BCV,BitCapitalVendor,BCV,N/A,/coins/bcv/overview,N/A,,,,,
BCX,BitcoinX,BCX,PoW,/coins/bcx/overview,N/A,,,,,
BCZ,Bitcoin CZ,BCZ,N/A,/coins/bcz/overview,Lyra2Z,,,,,
BCY,BitCrystals,BCY,N/A,/coins/bcy/overview,Counterparty,,,,,
BITSD,Bits Digit,BITSD,N/A,/coins/bitsd/overview,N/A,,,,,
SEM,Semux,SEM,DPoS,/coins/sem/overview,Semux BFT consensus,,,,,
SEL,SelenCoin,SEL,PoS,/coins/sel/overview,PoS,,,,,
SEN,Sentaro,SEN,PoW/PoS,/coins/sen/overview,Scrypt,,,,,
SEQ,Sequence,SEQ,PoW/PoS,/coins/seq/overview,Scrypt,,,,,
ePRX,eProxy,ePRX,N/A,/coins/eprx/overview,N/A,,,,,
BDB,Big Data Block,BDB,N/A,/coins/bdb/overview,N/A,,,,,
SET,Securosys,SET,N/A,/coins/set/overview,N/A,,,,,
BDG,BitDegree,BDG,N/A,/coins/bdg/overview,N/A,,,,,
D,Denarius,D,PoW/PoS,/coins/d/overview,NIST5,,,,,
STRS,STARS,STRS,DPoS/LPoS,/coins/strs/overview,N/A,,,,,
DELTA,DeltaChain,DELTA,N/A,/coins/delta/overview,N/A,,,,,
CMTC,CometCoin,CMTC,PoW,/coins/cmtc/overview,Scrypt,,,,,
J,JoinCoin,J,PoW,/coins/j/overview,Multiple,,,,,
BDL,Bitdeal,BDL,PoW,/coins/bdl/overview,Scrypt,,,,,
BITOK,BitOKX,BITOK,PoS,/coins/bitok/overview,Scrypt,,,,,
JTX,Project J,JTX,N/A,/coins/jtx/overview,N/A,,,,,
BDP,Bidipass,BDP,N/A,/coins/bdp/overview,N/A,,,,,
STRY,STRYKZ,STRY,N/A,/coins/stry/overview,N/A,,,,,
SFC,Solarflarecoin,SFC,PoW,/coins/sfc/overview,Scrypt,,,,,
BDR,BlueDragon,BDR,N/A,/coins/bdr/overview,N/A,,,,,
U,Ucoin,U,PoS,/coins/u/overview,X11,,,,,
IFUM,Infleum,IFUM,N/A,/coins/ifum/overview,N/A,,,,,
BDX,Beldex,BDX,PoW,/coins/bdx/overview,CryptoNight,,,,,
SFR,SaffronCoin,SFR,PoW,/coins/sfr/overview,Multiple,,,,,
VULC,Vulcano,VULC,PoS/PoW,/coins/vulc/overview,NIST5,,,,,
JUI,Juiice,JUI,N/A,/coins/jui/overview,N/A,,,,,
1CR,1Credit,1CR,PoW,/coins/1cr/overview,Scrypt,,,,,
JUL,Joule,JUL,N/A,/coins/jul/overview,N/A,,,,,
SFT,SportsFix,SFT,N/A,/coins/sft/overview,N/A,,,,,
BEC,Beauty Chain,BEC,N/A,/coins/bec/overview,N/A,,,,,
CYDER,Cyder Coin,CYDER,N/A,/coins/cyder/overview,PoS,,,,,
SFU,Saifu,SFU,PoS,/coins/sfu/overview,N/A,,,,,
BEE,Bee Token,BEE,N/A,/coins/bee/overview,N/A,,,,,
CLOAK,CloakCoin,CLOAK,PoW/PoS,/coins/cloak/overview,X13,,,,,
JUP,Jupiter,JUP,N/A,/coins/jup/overview,N/A,,,,,
NEBL,Neblio,NEBL,N/A,/coins/nebl/overview,PoS,,,,,
AXPR,aXpire,AXPR,N/A,/coins/axpr/overview,N/A,,,,,
BSCH,BitSchool,BSCH,N/A,/coins/bsch/overview,N/A,,,,,
BEN,BitCOEN,BEN,Limited Confidence Proof-of-Activity,/coins/ben/overview,SHA-256,,,,,
BEP,Blucon,BEP,N/A,/coins/bep/overview,N/A,,,,,
SGA,SAGA,SGA,N/A,/coins/sga/overview,N/A,,,,,
NEBU,Nebuchadnezzar,NEBU,PoS,/coins/nebu/overview,PoS,,,,,
BET,BetaCoin,BET,PoW,/coins/bet/overview,SHA-256,,,,,
BEX,BEX token,BEX,N/A,/coins/bex/overview,N/A,,,,,
BEZ,Bezop,BEZ,N/A,/coins/bez/overview,N/A,,,,,
BETHER,Bethereum,BETHER,N/A,/coins/bether/overview,N/A,,,,,
