"cat1","name","lost","desc","ticker","date","www"
"Exchange","LocalBitcoins Bitcoin Exchange",8,"LocalBitcoins Bitcoin Exchange 8 BTC or more","BTC",01/26/19,"https://www.tokens-economy.com/timeline/localbitcoins-bitcoin-exchange-8-btc-or-more/"
"Exchange","Cryptopia",16000000,"Cryptopia exchange hack $16 Million","$",01/05/19,"https://www.tokens-economy.com/timeline/cryptopia-exchange-hack-16-million/"
"Attack","consensus attacks",53000,"Ethereum Classic 51% Attack 53,000 ETC is locked","ETC",11/25/17,"https://www.tokens-economy.com/timeline/ethereum-classic-51-attack-53000-etc/"
"Lost","Human errors",4000000,"4 million BTC lost (Estimation)","BTC",11/25/17,"https://www.tokens-economy.com/timeline/4-million-btc-lost-estimation/"
"Wallet","Electrum",200,"Electrum wallet 200 BTC","BTC",12/21/18,"https://www.tokens-economy.com/timeline/electrum-wallet-750000/"
"Lost","Genesis",66.9,"genesis block 66.9 BTC and counting…","BTC",01/03/09,"https://www.tokens-economy.com/timeline/genesis-block-66-9-btc-and-counting/"
"Lost","Mined",1000000,"1,000,000 BTC mined Satoshi Nakamoto","BTC",01/20/09,"https://www.tokens-economy.com/timeline/1000000-btc-mined-satoshi-nakamoto/"
"Lost","Kerem Albayrak",0.17,"Kerem Albayrak lost $170,000","$",12/10/18,"https://www.tokens-economy.com/timeline/kerem-albayrak-lost-170000/"
"Scam","Aarni Otava",5564,"Aarni Otava Saarimaa lost 5,564 BTC","BTC",06/01/17,"https://www.tokens-economy.com/timeline/aarni-otava-saarimaa-lost-5564-btc/"
"Lost","James Howells",7500,"James Howells lost 7,500 BTC in 2009","BTC",01/01/09,"https://www.tokens-economy.com/timeline/james-howells-lost-7500-btc-in-2009/"
"Scam","Block Broker",3000000,"Block Broker, an organization that claimed to develop anti-fraud blockchain technologies.  3 millions","$",06/01/18,"https://www.tokens-economy.com/timeline/block-broker-an-organization-that-claimed-to-develop-anti-fraud-blockchain-technologies/"
"Lost","Taylor Team",2579,"Taylor Team lost 2,578.98 ETH","ETH",05/01/18,"https://www.tokens-economy.com/timeline/2578-98-eth/"
"Attack","Bitcoin Gold",17500000,"Bitcoin Gold 51% attack:   17.5M","$",05/01/18,"https://www.tokens-economy.com/timeline/bitcoin-gold-51-attack/"
"Scam","Benebit",4000000,"Benebit exit scam $4 Million","$",01/24/18,"https://www.tokens-economy.com/timeline/benebit-exit-scam-4-million/"
"Exchange","MapleChange",913,"MapleChange hack 913 or 8 BTC","BTC",10/28/18,"https://www.tokens-economy.com/timeline/benebit-exit-scam-4-million/"
"Ponzi","MyCoin.hk",8000000,"MyCoin.hk exchange ponzi $8 million","$",02/12/15,"https://www.tokens-economy.com/timeline/mycoin-hk-exchange-ponzi-8-million/"
