cat1,cat2,name,raised,desc,ticker,start,end,www
france,,iex.ec,12,"With the platform, iEx.ec aims to provide blockchain based distributed applications a scalable, secure and easy access to the computing resources required for their execution. It uses the blockchain to organize a market network where everyone can monetize their servers, applications, and data-sets. This technology extends the Ethereum smart contracts allowing the creation of virtual Cloud infrastructure that provides High-Performance Computing (HPC) services on-demand.",RLC,19th Apr 2017,19th Apr 2017,http://iex.ec,
germany,,gnosis,12.5,"Gnosis allows you to create arbitrary events to make predictions on any information like, who becomes the next president of the United States or what will be the stock-price of Apple on date X.",GNO,24th Apr 2017,24th Apr 2017,https://gnosis.pm,,
israel,,matchpool,5.8,"To make the world more synchronistic and connected within communities by creating a fair, incentivised based community platform that will enable anyone to open their own community inside the network. An internal reward mechanism will help facilitate connections in a positive way.",GUP,2nd Apr 2017,4th Apr 2017,https://matchpool.co,Israel,http://matchpool.co/wp-content/uploads/2016/12/Matchpool_Whitepaper_140117.pdf
singapore,,taas,7.5,"TaaS is a tokenized closed-end fund designed to reduce risks and technical barriers of investing in blockchain space. Built on a profit-sharing smart contract, TaaS introduces Token-as-a-Service business model, allowing investors to subscribe to fund’s income stream. TaaS built an innovative Cryptographic Audit technology to become transparent fund dedicated to cryptocurrencies and tokens.",TaaS,27th Mar 2017,28th Apr 2017,https://www.taas.fund,,
switzerland,,ethereum movie venture,1.8,"Ethereum Movie Venture is a blockchain based movie platform. The first project is the worlds first Ethereum funded movie. The movie is financed by a-ticket presale. The Tickets are Ethereum ERC-20 certified Tokens called Ethreum Movie Venture You can either get your Ethereum Movie Venture Tokens at Ethereum exchanges or you can buy early bird movie tickets. Each ticket includes 5 Ethereum Movie Venture Tokens.",EMV,19th Mar 2017,17th Apr 2017,https://emovieventure.com,Switzerland,
UK,,humaniq,5.163,"Humaniq is a financial ecosystem built on blockchain, focused on simply and quickly connecting unbanked people to the global economy. It combines blockchain bank as a core platform for financial services and technology start-ups, biometrics that replaces passports and signatures, ICO and distributed ownership instead of shareholders, and an investment fund for third-party start-up acquisition and acceleration.",HMQ,6th Apr 2017,27th Apr 2017,https://humaniq.com,UK,https://humaniq.com/pdf/humaniq_wp_english.pdf
USA,,back to earth,1.0,"StarCredits is the crypto-based token for Back to Earth. StarCredits will be used to sway real-time story outcomes, earn in-game content, unlock special features, discover hidden puzzles and purchase specific storylines. The use of StarCredits gives players a competitive advantage towards solving certain puzzles and discovering in-game content. Content may act as an asset that can be collected or traded to other players.",STRC,26th Apr 2017,28th Apr 2017,https://backto.earth,USA,http://backto.earth/blog/back-to-earth-white-paper/
USA,,back to earth,1.0,"StarCredits is the crypto-based token for Back to Earth. StarCredits will be used to sway real-time story outcomes, earn in-game content, unlock special features, discover hidden puzzles and purchase specific storylines. The use of StarCredits gives players a competitive advantage towards solving certain puzzles and discovering in-game content. Content may act as an asset that can be collected or traded to other players.",STRC,26th Apr 2017,28th Apr 2017,https://backto.earth,USA,https://backto.earth/blog/back-to-earth-white-paper/
USA,,blockchain capital,10.0,"Blockchain Capital is a venture capital firm investing in Blockchain enabled technology companies. Their initial fund was the VC Fund dedicated to the Bitcoin/Blockchain ecosystem, launched in the Fall of 2013. Based in San Francisco, Blockchain Capital invests in entrepreneurs who are fostering innovation in the Blockchain economy.",BCAP,10th Apr 2017,10th Apr 2017,http://blockchain.capital,USA,
USA,,lunyr,3.4,"Lunyr is an Ethereum-based decentralized crowdsourced encyclopedia which rewards users with app tokens for peer-reviewing and contributing information. They aim to be the starting point of the internet for finding reliable, accurate information. Their long-term vision is to develop a knowledge base API that developers can use to create next generation decentralized applications in Artificial Intelligence, Virtual Reality, Augmented Reality, and more.",LUN,29th Mar 2017,28th Apr 2017,https://lunyr.com,USA,https://github.com/Lunyr/Lunyr/blob/master/Lunyr_White_Paper_ENG.pdf
USA,,wetrust,4.978366,"WeTrust is a collaborative saving and insurance platform. It is autonomous, frictionless, and decentralized. WeTrust utilizes the Ethereum blockchain to create a full-stack financial system that leverages existing social capital and trust networks, eliminating the need of a “trusted third party”, which allows for lower fees, improved incentive structures, decentralized risks, and a greater amount of capital to reside among the participants.",TRST,2nd Mar 2017,14th Apr 2017,https://www.wetrust.io,,
