cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,polybius,31,"Polybius Bank project will operate on the principles of an Open API, employing reputable innovations and services within the framework of payment and data processing industry. The activities of the Polybius will be developed on an incremental basis investing the capital according to the development of the customer base and with the objective of maximizing the capital versus revenues ratio. By providing the infrastructure for system-to-system communications, Polybius Foundation will act as a Trustee service and will be responsible for the control and execution of compliance-related directives.",PLBT,31st May 2017,30th Jun 2017,https://polybius.io,,,,,,,,
israel,,bancor,153.0,"The Bancor protocol is a standard that allows anyone to easily create completely liquid “smart tokens” that calculate their own prices & enable a single party to convert any token to another, without requiring a second party to exchange with. Thereby enabling the long-tail of completely liquid cryptocurrencies. Smart tokens hold other tokens in reserve, and can be used as decentralized token baskets (like ETFs), token changers (like shapeshift), project & protocol tokens (like GNT & REP), community currencies (like Ithacash & reward miles), and a lot of other use cases. The BANCOR network token will hold a single reserve in Ether. Other smart tokens, by using BANCOR as (one of) their reserve(s), connect to the BANCOR network. The BANCOR network token forms a monetary structure where increased demand for any of the network’s smart tokens drives up the value of the common BANCOR token, benefiting all other smart tokens holding it in reserve.",BNT,12th Jun 2017,12th Jun 2017,https://www.bancor.network,Israel,https://www.bancor.network/static/bancor_protocol_whitepaper_en.pdf
russia,,adex,10,"AdEx is a blockchain-based ad exchange aiming at disrupting the existing online advertising landscape and address its significant problems: advertising fraud, privacy and consent to receiving sponsored messages, etc.",ADX,30th Jun 2017,30th Jun 2017,https://www.adex.network,,
russia,,crypviser,4.025989,"The encrypted network for social and business communication based on Blockchain Crypviser is a disruptive, encrypted all-in- one network for social and business communication based on Blockchain technology. The security model of Crypviser is professionally designed to meet the highest standards of cryptography for securely storing and exchanging all kinds of data, including instant chats,voice and video calls, group calls (voice conferences) and more. Crypviser simplifies and introduces a wide range of encrypted products for the B2C and B2B markets, which up until now were only available to the biggest corporations, financial institutes, governments and secret services. Crypviser is the most secure solution for confidential interactions!",CVCOIN,20th May 2017,30th Jun 2017,https://ico.crypviser.net,,
russia,,sonm,42,"SONM is a decentralized worldwide fog computer for any general purpose computing − from site hosting to scientific calculations. The purpose of SONM project is to replace hash-based traditional cryptocurrency mining, which now dominates the blockchain community.",SNM,15th Jun 2017,19th Jun 2017,https://sonm.io,,
russia,,zrcoin,7,ZrCoin is the first ever blockchain option for investing in the production of an in-demand industrial material.,ZRC,11th May 2017,9th Jun 2017,https://zrcoin.io,,
singapore,,tenx,80,TenX connects your blockchain assets for everyday use. TenX’s debit card and banking licence will allow us to be a hub for the blockchain ecosystem to connect for real-world use cases.,PAY,24th Jun 2017,24th Jun 2017,https://www.tenx.tech,,
slovenia,,cofound.it,15.018573,"Cofound.it is a distributed global platform that connects exceptional startups, experts and investors worldwide. It will first be built by the blockchain community for the blockchain community .",CFI,7th Jun 2017,7th Jun 2017,https://cofound.it/en,,
switzerland,,mco,26.7,"Crypto.com, the pioneering payments and cryptocurrency platform, seeks to accelerate the world’s transition to cryptocurrency. The MCO Token Sale was conducted in May-June 2017 and raised US$26.7 million. MCO has a circulating supply of 15.8 million tokens and trades on many global exchanges. Crypto.com is headquartered in Hong Kong. For more information, please visit: www.crypto.com.",MCO,18th May 2017,18th Jun 2017,https://crypto.com/en/index.html,Switzerland,https://www.crypto.com/images/mco_whitepaper.pdf
switzerland,,status,100.0,"Status is a free (libre) and open source mobile client targeting Android & iOS built, entirely on Ethereum technologies.",SNT,20th Jun 2017,20th Jun 2017,https://status.im,Switzerland,https://status.im/whitepaper.pdf
UK,,sphre air,5.272732,"Their technology is a key enabler to drive radical and positive change for the enterprise, end consumers and individuals. The world is undergoing rapid and inexorable transformation, and their aim is to fully engage in and embrace this, in order to positively influence the economics of the future for all.",XID,1st Jun 2017,30th Jun 2017,http://www.sphre.co,UK,
USA,,adtoken,10.0,"adChain is a browser agnostic Ethereum based solution for digital advertising that seamlessly integrates with pre-existing RTB and programmatic industry standards.",ADT,26th Jun 2017,26th Jun 2017,https://adtoken.com,USA,https://adtoken.com/white-paper
