cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,mothership,5.406897,"Mothership is building blockchain financial services around the Estonian e-Residence government programme. Our set of products includes an exchange, a new EU Token market, a product for launching new blockchain businesses in Estonia and cloud hosting platform for financial apps. We have partnered with the e-Residence team itself and our mission is to make Estonia #1 country for blockchain businesses.",MSP,7th Jul 2017,21st Jul 2017,https://mothership.cx,,,,,,,,
malta,,gilgam,0.23,"Gilgam.es is planning and preparing to launch a platform allowing both individual players and teams to compete in popular eSport games – DOTA2, League of Legends, Counter Strike: Global Offense, Call of Duty, etc... – supervised by our own artificial intelligence. The client application, which can be downloaded from our landing page, will run within an electron framework on JavaScript, HTML, CSS basis platform will not depend on the operating system of the user. The first anti-cheat defense line is embedded in the the client application. It monitors the programs used by the user and their interference with the running game program. The interface will allow the user to create an account by funding a new Ethereum address with Ether via an established payment processor.",GGS,20th Jun 2017,20th Jul 2017,https://ico.gilgam.es,,,,,,,,,,
russia,,skincoin,3.292183,"SkinCoin high liquidity allows users to freely exchange skins for SkinCoin and vice versa on the SkinCoin Exchanger platform, or for Bitcoin on crypto-ex- change platforms. All transactions can be recorded in the block chain and tracked by a wallet number.",SKIN,21st Jun 2017,21st Jul 2017,https://skincoin.org,Russia,
singapore,,dao.casino,11.2,"DAO.casino is an open ecosystem for gambling games that don't rely on a trusted third party. It is a decentralised governance system built on Ethereum that rewards all developers, security auditors and community members for their contribution to the platform where players can discover and play scam-free games using familiar and straightforward user interface.",BET,29th Jun 2017,26th Jul 2017,https://dao.casino,,
singapore,,daobet,11.2,"We are building the Blockchain for the Gambling 3.0 industry regulated by technology, that ensures the automation of transactions and facilitates interactions between all industry participants from players to software providers.",BET,29th Jun 2017,26th Jul 2017,https://daobet.org,Singapore,https://github.com/DaoCasino/Whitepaper/blob/master/DAO.Casino%20WP.md
singapore,,fund yourself now,1.5,"The cryptocurrency crowdfunding market has grown explosively over the past few years, reaching 200 million in 2016. FundYourselfNow is a simple platform to allow project creators/promoters to raise funds for their projects using cryptocurrencies without the need of technical knowledge. Fund Yourself Now improves on traditional crowdfunding sites by allowing more control once funds are distributed; providing support/mentors, and lowering transaction costs.",FYN,13th Jun 2017,31st Jul 2017,https://www.fundyourselfnow.com,,
singapore,,katalyse,1.5,"The cryptocurrency crowdfunding market has grown explosively over the past few years, reaching 200 million in 2016. Katalyse(formerly FundYourselfNow) is a new platform for Entrepreneurs to list, create and launch their ICOs for FREE! The newly launched self service ICO and Token issuance feature on the platform allows businesses/developers to issue tokens within a few minutes, conduct ICOs via smart contracts and allow users to participate safely. Backers will receive Project tokens in their wallets as soon as they transfer funds.",KAT,13th Jun 2017,31st Jul 2017,https://www.katalyse.io,Singapore,https://www.fundyourselfnow.com/wp-content/uploads/2017/04/FYN-Business_Outline-2017.pdf
singapore,,omisego,25,"OmiseGO is a public Ethereum-based financial technology for use in mainstream digital wallets, that enables real-time, peer-to-peer value exchange and payment services agnostically across jurisdictions and organizational silos, and across both fiat money and decentralized currencies. Designed to enable financial inclusion and disrupt existing institutions, access will be made available to everyone via the OmiseGO network and digital wallet framework, starting in Q4 2017.",OMG,23rd Jun 2017,23rd Jul 2017,https://omg.omise.co,,
slovenia,,rialto.ai,10,"RIALTO.AI is a team of data scientists designing proprietary algorithms for arbitrage and market making. By providing liquidity and matching orders, they are increasing market efficiency and connecting crypto markets, while earning a fraction on every transaction.",XRL,1st Jul 2017,14th Jul 2017,https://www.rialto.ai,,
switzerland,,orocrypt,1.392,"Orocrypt is a company that issues tokenized assets. It issues ER20C tokens that represent ownership of the digitised assets. The company's first product offers gold investors a safe method to digitize bullion gold, convertible on demand and an online web platform to trade them. It is compatible with all Ethereum wallets allowing for direct P2P transfers. Tokens are secured on the Ethereum blockchain. Orocrypt has launched the OCG gold-backed token, each representing 30 g of LBMA compliant bullion gold. In the future, we will expand to other assets and bespoke tokens.",OCG,14th Jun 2017,13th Jul 2017,https://orocrypt.com,Switzerland,https://orocrypt.com/static/docs/whitepaper.pdf
switzerland,,santiment,12.21525,"Today’s crypto-markets are driven by crowd sentiment. Hype and fear dominate the price action. Santiment delivers clarity, with market sentiment content and datafeeds that can’t be found anywhere else. Stop trading in the dark. Get a regular stream of curated market news and insights, with updates on blockchain happenings, trends, and sentiment. All available in easy-to-grasp newsletters, articles, and reports, and aggregated from across the web.",SAN,4th Jul 2017,5th Jul 2017,https://santiment.net,Switzerland,https://docs.google.com/document/d/1hHmJQWrPrObSgCA8kTbk-4LgqGbYzukQAjtg5b8jwc0
UK,,insurex,7.104,"InsureX is a marketplace for insurers, reinsurers and brokers to trade insurance products directly.",IXT,11th Jul 2017,13th Jul 2017,http://www.insurex.co,UK,https://www.insurex.co/wp-content/uploads/2017/05/insurex_whitepaper.pdf
UK,,pillar,20.0,"The Pillar Project is a collaboration of the blockchain innovation community of 20|30. We want to get rid of old ways of thinking applied to new technology. While most people are busy building decentralized apps, we questioned the idea of apps in general and decided it was time to go in a new direction.",PLR,15th Jul 2017,17th Jul 2017,https://pillarproject.io,UK,https://pillarproject.io/wp-content/uploads/2017/07/PillarProjectGrayPaper.pdf
UK,,populous,10.2204,"Populous is an invoice and trade finance platform built using the latest in blockchain technology. Populous uses XBRL, Z Score formula, Smart Contracts, Stable tokens and more to create a unique trading environment for investors and invoice sellers from all around the world.",PPT,24th Jul 2017,24th Jul 2017,http://www.populous.co,UK,https://www.populous.co/populous_whitepaper.pdf
USA,,bitquence,1.680433,"Bitquence’s Mission is to make the daunting cryptocurrency market accessible to everybody, accelerating adoption of blockchain technology and democratizing ownership of cryptocurrencies.They make cryptocurrencies easier to purchase and transfer allowing the average individual to participate in the New Economy. They believe in the philosophical mission established by Satoshi Nakamoto. By creating a secure layer that is accessible to the average person, they put the power in the hands of the people – where it belongs.",BQX,28th Jun 2017,16th Jul 2017,https://www.bitquence.com,USA,http://www.bitquence.com/wp-content/uploads/2017/05/BitquenceWhitePaper.pdf
