cat1,cat2,name,raised,desc,ticker,start,end,www
Cayman-Islands,,digital developers fund,2,"DDF offers investors an opportunity to participate in high growth digital assets such as domain names and crypto currency. The roots of the DDF go back to 2010, when DDF was incorporated as “Domain Developers Fund” in the Cayman Island. DDF holds over 1,350 premium domains such as Swords.com, Audits.com, Exhibitions.com or PR.uk. In 2017, the fund rebrands to “Digital Developers Fund” and raises funds via an ICO to expand its asset allocation.",DDF,10th Jul 2017,9th Aug 2017,https://www.digitaldevelopersfund.com,Cayman Islands,
estonia,,agrello,35,"With a combined experience of 45 years in the tech-friendly Estonian legal system, and accompanied by industry-leading blockchain and information science experts, the Agrello team is determined to bring legal technology into the 21st century.",DLT,16th Jul 2017,17th Aug 2017,https://www.agrello.org,,,,,,,,
estonia,,rasputin,3.027311,"RasputinOnline is a premium live broadcast Entertainment hub giving viewers from across the globe the medium to connect with our in-house models on different levels. Our fresh concept in entertainment for adults is centred around our custom-built broadcast studio which is set out as a party house, in this party house will live 60 models all coming from different parts of the world. Throughout the house there will be up to 100 cameras streaming life inside live, in High Definition, 24 hours per day. Cameras will be placed in all living areas, party and bar areas, swimming pool, gym and spa areas, the outdoor kitchen and hot tub area and in the bedrooms and bathrooms all of which broadcast live pictures and audio to our paying customers.",ROC,20th Jul 2017,29th Aug 2017,https://ico.rasputinonline.com,,,,,,,,
germany,,harbour dao,,"Harbour is a community-governed, Ethereum-based DAO (Decentralized Autonomous Organization) for managing and holding token assets by harnessing the wisdom of the crowd. All decisions are taken by the users and any generated Ethereum is distributed back to the token holders in a quarterly basis.",HRB,1st Aug 2017,29th Aug 2017,https://harbour.tokenate.io,,
israel,,coindash,7.0,"CoinDash is a crypto based portfolio management platform for both new and experienced traders. The platform provide its user with adequate tools to manage and maximise their portfolios.The first layer of the platform is tools for managing and analysing users performances in relation to the market and other traders. The platform takes the user's public key (address) and traces back all the transactions he made attaching them with real time price quotes ending up showing clean output of his holding and trades with a feedback about his trading results.The second layer of the platform is Social trading features. Users can follow others to see their position, trades and holding and even use Copy trading and Copy ICO tools using smart contracts.The third and last layer is making CoinDash a whole marketplace for secondary markets.The CoinDash platform is now being tested by 50 beta testers from its community and is about to release a public beta before the token sale.",CDT,17th Jul 2017,17th Aug 2017,https://www.coindash.io,Israel,https://www.coindash.io/wp-content/uploads/2017/05/CoinDashwhitepaper-v0.3-051317.pdf
russia,,sosnovkino,0.1638,"Real estate has been the most popular way of investment for hundreds of years. Leading specialists can make a profit of hundreds of per cent on projects, in contrast to ordinary non-specialized investors whose income can be comparable to the deposit rate in the bank. Real estate has been the most popular way of investment for hundreds of years. Leading specialists can make a profit of hundreds of per cent on projects, in contrast to ordinary non-specialized investors whose income can be comparable to the deposit rate in the bank. The Sosnovkino project is a land area. We invest in the infrastructure which will be built in 2018. According to Zurich LLC appraisal, the increase in the cost of the asset at the time of engineering systems construction will be 600%.",SNKcoin,26th Jul 2017,26th Aug 2017,http://sosnovkino.info,Russia,https://drive.google.com/file/d/0B-QBdFrWXGeAc3NkQ1hvX3p6T00/view
russia,,starta,5.0,"Starta Accelerator is an acceleration program launched by Starta Capital VC Fund in 2015. Mission of Starta Accelerator is to empower Eastern European frontier technology companies through exposing them to USA market. The program was customized for Eastern European founders aiming to adapt to cultural and business environment in the US, complete and define product/market fit, get traction and become part of local startup and investing ecosystem in the U.S.",Start,4th Jul 2017,3rd Aug 2017,https://startaico.com,Russia,https://startaico.com/files/whitepaper.pdf
russia,,suretly,2.8,"Suretly is a provider of an international crowd vouching platform. The company offers users an investment alternative called crowd vouching, which allows customers to make money vouching for people who need an urgent loan.",SUR,11th Jul 2017,11th Aug 2017,https://www.suretly.com,,
singapore,,aicoin,3,Our mission and the ultimate purpose of AICoin is to enable investors in our token to build wealth through the power of artificial intelligence and the public blockchain.,,17th Jul 2017,28th Aug 2017,https://www.aicoin.io,,
singapore,,everex,26.7,Everex is a young technology startup in the Blockchain space with both a team and a business-model uniquely qualified to answer some of the challenges of international microfinancing.,EVX,24th Jul 2017,31st Aug 2017,https://www.everex.io,,
singapore,,hubii network,6.5,"Hubii's mission is to create the new leading Ethereum-based decentralised content marketplace where creators and rightsholders can meet distribution networks and reach content buyers directly, all while having total confidence in maintaining the integrity of their rights through the use of smart contracts.",HUB,17th Aug 2017,31st Aug 2017,https://hubii.network,,
