cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,airforce mining,,Airforce Mining generates and uses renewable energies to mine crypto currencies and distributes it among token holders.,AFX,1st May 2018,1st Aug 2018,https://airforcemining.net,Australia,https://airforcemining.com/white-paper
Cayman-Islands,,108 token,,"108 Token provides a diversified, low-cost and simplified exposure to the burgeoning asset class of cryptocurrencies. 108 Token gives investors ETF-style access and eliminates the complexities pertaining to coin selection, wallet management, etc. The token is an indexed ERC20 token that tracks the performance of top 15 cryptocurrencies by a supply-adjusted market cap. In order to provide a diversified exposure to investors, a maximum weight cap of 20% is imposed on each of the index constituents, and the underlying index is rebalanced on a monthly basis. The fee structure is aligned towards long-term performance and low due to the absence of intermediaries and other overheads. We provide investors the flexibility to contribute in either BTC/ETH or fiat for the ICO. To know more about 108 Token and its historical performance against BTC and other benchmarks.",108T,1st Jun 2018,31st Aug 2018,https://108token.com,Cayman Islands,https://108token.com/108%20White%20Paper.pdf
Cayman-Islands,,bytemine,,Stockholm IT Ventures AB - the publicly listed company behind Bytemine is set out to revolutionize profit mining and create a full ecosystem with both banking and finance and with commodities that are tokenized.,BYTM,23rd Jul 2018,22nd Aug 2018,https://bytemine.io,Cayman Islands,https://drive.google.com/file/d/1WANCoWCDlj5-7psqMmNlk3PmFuxjIzlD/view
Cayman-Islands,,incremint.io,,"Incremint can be used for any transaction (token sale, crowdfunding campaign, purchase of goods) where the parties want to make sure the pre-agreed terms are satisfied before the digital funds change hands. Incremint facilitates successful digital transactions for clients by: - Establishing trust among the parties (startup team and token holders, buyer and supplier, etc.). - Encouraging parties to fulfill their promises (what was agreed to happen before the assets change hands). - Adding credibility and visibility to projects selling tokens or seeking funding. - Providing a decentralized dispute resolution mechanism. - Ensuring that all decisions are recorded on public blockchain.",MNTS,1st Jun 2018,31st Aug 2018,http://www.incremint.io,Cayman Islands,https://incremint.io/pdf/Incremint.pdf
Cayman-Islands,,pryvatecoin,,"Since 2013 Pryvate Ltd. the developers behind the PryvateNow app and specialists in industry leading e2e encryption services, are launching their own ICO. As the global necessity for encryption services grows in our current era of constant privacy-invasion scandals, so does the awareness and applications for blockchain technology. To take full advantage of this opportunity, Pryvate aims to raise $20M with their ICO, funding that will enable additional, continuous growth for their technologies, as well as effective marketing for its products at a worldwide scale. PVC aims at solving the crucial issue of crypto-hijacking with an incentive-based, fully-secure ecosystem of military-grade encryption technologies. Including one of our most exciting new features: a highly secure, containerized, lightweight crypto wallet, fully built into our application. This fully-secure Pryvate Crypto Wallet will end the hot versus cold wallet headache with a hybridization of hot and cold storage",PVC,9th Apr 2018,1st Aug 2018,https://www.pryvatecoin.io,Cayman Islands,https://pryvatecoin.io/docs/White-Paper.pdf
Cayman-Islands,,tripterium t50,12.724751,"Tripterium T50 is a tokenized, closed-end index fund (CEF), which passively tracks the top fifty cryptocurrency assets by market capitalisation, in order to deliver healthy returns. The fund has a Venture Capital Feeder Fund, which will invest in expertly-vetted early stage blockchain technology companies that are seeking to undertake an Initial Coin Offering (ICO), therefore benefitting from the ICO returns.",T50,15th Jun 2018,31st Aug 2018,https://www.tripterium.com,Cayman Islands,https://s3.amazonaws.com/tripteriumt50/Tripterium+T50+White+Paper.pdf
cyprus,,even,,"EVEN - decentralized exchange platform with high-speed functioning and advanced trading tools. It's available for everyone, developed and supported by EVEN Foundation company. With EVEN Platform’s liquidity and quality it is comparable with centralized professional services, still maintaining all the features of decentralization. In the basis of DEX there is an underlying distributed storage among master-nodes. All trading operations are registered in EVEN blockchain, this is performed by the usage of upgraded DPoS consensus algorithm. Protection of Money (PoM) algorithm and economy model provide required speed and security of the platform. This model protects all users from financial losses, volatility of EVEN’s rate, master-nodes’ unreliable operation, insufficiency of storage capacity. At the same time it keeps participants interested in working in line with protocol.",EVEN,4th Jun 2018,3rd Aug 2018,http://evenfound.org/en,Cyprus,http://evenfound.org/assets/files/EVEN_WhitePaper_EN.pdf
cyprus,,Even,,"EVEN - decentralized exchange platform with high-speed functioning and advanced trading tools. It's available for everyone, developed and supported by EVEN Foundation company. With EVEN Platform’s liquidity and quality it is comparable with centralized professional services, still maintaining all the features of decentralization. In the basis of DEX there is an underlying distributed storage among master-nodes. All trading operations are registered in EVEN blockchain, this is performed by the usage of upgraded DPoS consensus algorithm. Protection of Money (PoM) algorithm and economy model provide required speed and security of the platform. This model protects all users from financial losses, volatility of EVEN’s rate, master-nodes’ unreliable operation, insufficiency of storage capacity. At the same time it keeps participants interested in working in line with protocol.",EVEN,4th Jun 2018,3rd Aug 2018,http://evenfound.org/en,Cyprus,http://evenfound.org/assets/files/EVEN_WhitePaper_EN.pdf
cyprus,,playrs,,"Playrs is introducing an innovative analysis mechanism which will provide a groundbreaking approach and a new way of looking at the game - rigorous analysis tools for players will be available to every segment of the sport industry. Fans will no longer be just viewers, but contribute to the valuation process of athletes by giving their input.",PLAYR,19th Jul 2018,5th Aug 2018,https://www.playrs.io,Cyprus,https://www.playrs.io/whitepaper-playrs.io.pdf
cyprus,,sportco,0.15,"Sportco aims to solve the problem of centralised Sports media where sports fans are not rewarded for their passion and contribution. This is resolved by granting Sports fans Sportco coins for their contributions. Sportco has product platforms where 500,000 sports fans are present. It is the ambition to have a single Sportco platform and reach 5 million fans in the next 4 years. Sportsfans will be able to use their Sportco coins to play quizzes, e-games, buy merchandise and sports tickets.",SPCO,1st Aug 2018,31st Aug 2018,https://www.sportco.io,Cyprus,https://sportco.io/assets/whitepaper.pdf
estonia,,able,,"The ABLE project will create a platform that enables cryptocurrency-based banking activities to center around the ABLE account, emanating from the fact that banking activities are carried out primarily through bank accounts. Users propose deposit and loan interest rates through a matching system, eliminating the lending-deposit spread by directly connecting users on a peer-to-peer basis. The ABLE project supports decentralized exchanges and provides decentralized cryptocurrency wealth management services through smart contracts. Ultimately the project aims to evolve into the ABLE Ecosystem through its integration with external systems, including simple payments.",ABLE,16th Jul 2018,10th Aug 2018,https://www.able-project.io,Estonia,https://www.able-project.io/data/AB_whitePaper_Eng_180502.pdf,,,,,,
