cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,coinnup,,"We are disrupting the traditional complex Fintech methods of payment. Coinnup is a team of experienced developers, economists and fintech experts that has designed an all-in-one platform to provide solutions to B2B, B2C, Common buyer, investors, and traders.",CU,23rd Apr 2018,28th Oct 2018,https://ico.coinnup.com,Australia,https://ico.coinnup.com/whitepaper
Cayman-Islands,,car token,,"CAR token is a Smart-City platform of an automatic decentralized payments the driver could make behind the wheel. Automatic payments from the on-board vehicles system: On/off-street parking, malls, airports, fast food drive-thru chains, tolls etc. Company is supported by the USA Ford Motor Company advisors. Company aim to connect top 100 cities in USA to provide frictionless payment service for drivers. • Based on GPS, RPM, electricity platform automatically detects if driver has really parked and if a parking zone has to be paid, then we notify the driver on the phone and on the dashboard. • When driving away, the parking session automatically stops. Drivers only pay for the exact time they used. • Parking session starts and stops automatically with ticketless smart entry and exit at the barrier via Licence Plate Recognition (LPR) for OFF-street areas like airports, malls, garages.",CAR Token,1st Sep 2018,15th Oct 2018,https://parkapp.io/en,Cayman Islands,https://parkapp.io/en/CAR%20White%20Paper.pdf?rev=85ef8e
Cayman-Islands,,caspian,19.5,"Caspian is a complete asset management solution that covers the lifecycle of the trade. It includes a fully developed OEMS, PMS, and RMS. It provides a single interface into all major crypto exchanges, a complete suite of sophisticated trading algorithms, real-time and historical P&L and exposure tracking and professional customer service.",CSP,17th Oct 2018,19th Oct 2018,https://caspian.tech,Cayman Islands,https://caspian.tech/wp-content/uploads/2018/05/Caspian_Whitepaper_v1.pdf
Cayman-Islands,,feedchain,,"Feedchain rely on a sophisticated stack of technology including mobile phones, high-speed data, GPS, and APPs in combination with the Ethereum blockchain to create a de-centralized and tokenized economy within the food industry. In this token economy, people can use their houses as restaurants business and farmers, fishers or gardeners can use their houses as a market to sell their products. Millions of people now have a means to work from home and earn money. Feedchain home-based restaurant platform will be an immediate means to provide employment to millions of unemployed homeowners around the globe. A means through which consumers around the globe will have access to endless varieties of pleasurable meals and freshly harvested groceries. In a short time, FEEDCHAIN will be a household name and a new blockchain economy",FEED,1st Sep 2018,30th Oct 2018,http://www.feedchain.io,Cayman Islands,https://feedchain.io/wp-content/uploads/2018/07/Official-White-Paper.pdf
Cayman-Islands,,menlo one,2.6615,"Menlo One is a crypto-tech company that has built an open-source framework for making decentralized applications easier and faster to use in the Web 3.0 era. Forbes named us a Top Ten Blockchain Company to Watch."" in 2018.""",ONE,17th Sep 2018,15th Oct 2018,https://menlo.one,Cayman Islands,https://menloone.docsend.com/view/uu6vcy9
Cayman-Islands,,metoken,,"EconoMe is a new decentralized model for digital content creation. Me Tokens, an ERC-20 token, acts as a community currency by Me-adopted social commerce platforms. Optimized for all users, Style.me is a shoppable, Instagram-like fashion experience. Style.me monetarily incentivises quality content creation from influencers and brands while rewarding users for opting in to receive targeted advertisements. The platform connects fashion influencers, consumers, and brands. For example, Influencers are able to post brands’ outfits on the platform. Shoppers like and share such posts. Using Style.me’s patented virtual fitting room, shoppers can try on the outfit, and even purchase directly. Fashion brands are happy due to a satisfied customer and a valued influencer.",METO,23rd Aug 2018,22nd Oct 2018,http://www.metoken.net,Cayman Islands,http://www.metoken.net/metoken_whitepaper_EN.pdf
cyprus,,cryptohit,1.080412,"CryptoHIT intends to create a transparent and entirely decentralized platform for various gaming projects using the power of blockchain technology and smart contracts on Ethereum. Our mission is to create an easy-to-use, effective and financially profitable ecosystem for gamers and game developers. Predominantly, CryptoHIT platform will support decentralized games based on Ethereum blockchain, which are already under development – while many game studios that have nothing to do with blockchain are trying to integrate their own gaming platforms to a decentralized platform. In addition, CryptoHIT develops financial games with special game mechanics, which allows players to earn real money and not only play for fun and pleasure. This means that each participant of the project can start receiving their return on investment in our games before CryptoHIT decentralized platform launches.",GAC,13th Jul 2018,10th Oct 2018,https://www.cryptohit.io,Cyprus,https://cryptohit.io/docs/CryptoHIT_White_Paper_EN_2018.pdf?v=20180329
cyprus,,helioscoin,,"How to put together all these technological solutions in the mining of crypto currency? How not to worry about the cost and infinity of electricity? How not to worry about the need of regularly cleaning from the dust and dirt, or the farm ventilation and all fees themselves, do not worry about the availability of the Internet and the correct raye of currency for mining? We set that goal. And we achieved it. We combined solar panels, electricity storage system, immersion cooling, self mining, and added to this cocktail a self-learning control system that independently changes crypto-currencies for mining based on the situation on the market. The ideal system. As we wanted. And you'll like it too.",HLC,1st Jul 2018,1st Oct 2018,https://www.helioss.io,Cyprus,https://helioss.io/legal/whitepaper.pdf
cyprus,,kvantor,2.752,"The KVANTOR platform raises your deals to a new level and provides freedom of relations between economic entities, going beyond traditional payment channels and eliminating intermediaries. Clients of the KVANTOR platform are banks, raw material manufacturers and traders. Marketplace for commodity trading: Direct settlements (bypassing traditional channels), digital guarantees, factoring, other opportunities based on blockchain and smart contracts Enhancement of banking systems with an ability to operate financial instruments based on blockchain technology Mutual settlements without SWIFT and burdensome control.",KVT,27th Aug 2018,10th Oct 2018,https://kvantor.com/en,Cyprus,https://kvantor.com/docs/whitepaper_en.pdf
estonia,,aitrading,,"AITrading is a revolutionary trading ecosystem, which simplifies experience both for experienced traders as well as for newcomers. It gives tens millions traders the ability to live normal life while AI works for them. AITrading combines AI and Blockchain technologies with trading community capabilities on a single platform.",AITT,4th Sep 2018,28th Oct 2018,https://aitrading.com,Estonia,https://aitrading.com/pdf/AITrading_WP_EN.pdf,,,,,,
estonia,,alphamarket,,"AlphaMarket is a crypto-trading platform, enabling buyers and sellers from around the world to find each other and make safe transactions in the Blockchain environment. Free placement of goods, the possibility of multi-cryptocurrency transactions, promotions, bonuses, cashback and many other useful options will be available to the platform users. The fast-growing market and the rapidly rising demand from buyers and sellers make Alpha-Market an extremely popular product in the market of cryptocurrencies.",AMC,16th Apr 2018,1st Oct 2018,https://tokensale.alphamarket.online/en/l,Estonia,https://tokensale.alphamarket.online/static/ico_backend/docs/Whitepaper_eng.pdf,,,,,,
