cat1,cat2,name,raised,desc,ticker,start,end,www
Cayman-Islands,,digitalbits,,"DigitalBits closes the gap of blockchain adoption by integrating with consumer apps - unlocking value in the pockets of millions. DigitalBits is a third generation protocol over the former Stellar network, that shares many of the same benefits, but differs in key aspects that support an enterprise-grade blockchain. By tackling the challenges of useability and mainstream adoption, DigitalBits sets an initial focus on the points economy seeking to enhance the liquidity and utility of these digital assets locked in many applications. The built-in decentralized exchange equipped with multi-hop technology creates a flexible marketplace for consumer assets, such as loyalty points and other non-fungible tokens, facilitating seamless transfer of value. The DigitalBits blockchain launched MainNet in March of 2018 and has already demonstrated that it can drive mass scale adoption. We expect to attain in excess of 20M user accounts in 2019 - furthering the vision of a global token economy. DigitalBits has received multiple early access program (EAP) entrants from some of the largest loyalty and enterprise companies in the world.",XDB,30th Dec 2018,15th Apr 2019,https://www.digitalbits.io,Cayman Islands,https://storage.googleapis.com/westart-files/digitalbits-pre-sale/DigitalBits_Whitepaper_2_2.pdf
Cayman-Islands,,javvy,7,"Javvy is the full integration of a universal wallet connected to numerous exchanges presently available to the cryptocurrency market. It eliminates the need for multiple accounts and applications while taking advantage of their respective benefits. Along with our simple and fast process for user registration and verification, Javvy brings confidence and clarity to the user as cryptocurrencies approach mass adoption. We provide all the tools necessary to securely store, use, and invest in cryptocurrency.",JVY,1st Dec 2018,30th Apr 2019,https://javvy.com,Cayman Islands,https://javvy.com/wp-content/uploads/2017/09/javvy_crypto-solution-white-paper.pdf
Cayman-Islands,,levolution,1.88384,"Levolution is an all-in-one platform that makes it easy for blockchain entrepreneurs to create, develop, market, and optimize ITO projects. In addition to showcasing ITOs and connecting projects with global sales teams with whom Levolution will develop working relationships, the platform helps entrepreneurs in the areas of service provider procurement, campaign creation, campaign management, and post-ITO execution.",LEVL,18th Mar 2019,1st Apr 2019,https://ito.levolution.io,Cayman Islands,https://ito.levolution.io/wp-content/uploads/2019/03/LEV-WP-ENG-1.3.9.pdf
Cayman-Islands,,sero,0.12,"SERO (Super Zero) is the world-leading technology with SUPER Zero-Knowledge Proof that truly implements blockchain privacy protection and a public chain platform that supports smart contract operation.SERO is the world's first cryptocurrency technology to achieve complete privacy protection and to support smart contracts through Zero-knowledge proof. Zero-knowledge proof used by SERO is reviewed and approved by professional organizations. The protocol is built on the latest cryptography studies that greatly improves performance and security. Added privacy protection to the entire transaction sequence of cryptocurrency on the blockchain. Account information and transaction amount are no longer transparent to the entire network; aligning user privacy needs with actual consumer scenario. SERO has developed Super-ZK — Zero-knowledge Proof encryption library, independently developed by SERO which is currently the fastest in encryption performance. In the same application scenario, Super-ZK encryption speed is 20 times faster than Zcash (the mainstream privacy protection cryptocurrency that at present, uses zk-SNARKs). Compare with Bulletproofs (the latest bulletproof protocol), Super-ZK is 4 times faster. SERO solved the Zero-knowledge proof performance problem. SERO will lead the privacy protection space and the preparation for the wider commercialization of blockchain.",SERO,31st Mar 2019,30th Apr 2019,https://sero.cash,Cayman Islands,https://sero-media.s3-website-ap-southeast-1.amazonaws.com/Sero_ENG_V1.06.pdf
estonia,,btcex,,"The Cryptocurrency 3.0 Exchange service for everyone. BtcEX is a licensed cryptocurrency trading platform that enables easy access to a secure exchange offering high liquidity, multiple trading strategies, and unique token (BXC) utility that cannot be found on any other exchange. The mission is to build an inclusive ecosystem consisting of cryptocurrency transactions, leveraged trading, ICO listings and P2P lending.",BXC,8th Feb 2019,8th Apr 2019,https://bxlend.com,Estonia,https://bxlend.com/mt-content/uploads/2018/12/white-paper-3.1.pdf
estonia,,cryptoxygen,0.4,"This is a first in the history of the crypto world industry, that a crypto exchange platform seals a partnership with a hardware manufacturer-Thomson Computing-(French historical electronics brand since 1893). Cryptoxygen platform will be integrated directly in more than one million laptops and tablets sold on a yearly basis all over the world. As result, it will generate a considerable number of users and gain rapid market share by increasing appreciation of our token value. Cryptoxygen is a blockchain-based ecosystem that comprises of exchange and a multi-blockchain mobile wallet for iOS and Android platforms, to provide secure, fast and advanced crypto trading solutions at lowest rates. The Cryptoxygen exchange platform allows fiat-crypto and crypto-crypto trading. It comes with an easy-to-use interface, data charts and real-time price tracking, making it easier for users to manage their cryptocurrency portfolio. The wallet, on the other hand, allows users to store, buy and sell.",OXY2,15th Jan 2019,30th Apr 2019,https://www.cryptoxygen.io,Estonia,https://www.cryptoxygen.io/assets/whitepaper/cryptoxygen.pdf
estonia,,decimated,,"Fracture Labs are a videogame company, creating a persistent online multiplayer game, where players must use skill and intelligence to harvest resources, trade with other players, and survive in a hostile apocalyptic environment. DECIMATED is the first use-case scenario of this which they are developing in Unreal Engine 4 and SpatialOS to achieve this massive scale, and meaningful persistence. There are two factions of players: human citizens and cyborg cops, both of whom are played by real people. Fracture Labs are using blockchain technology to manage in-game items and currency.",DIO,6th Mar 2019,5th Apr 2019,https://www.decimated.net,Estonia,https://www.decimated.net/whitepaper-browser-version/
estonia,,neuronx,,"NeuronX at the time of the start of ITO is an information and analytical platform that provides reliable information and trading recommendations on cryptocurrency pairs for the most popular cryptocurrency exchanges. In the future, we are not just a service with analytics, we are an ecosystem for combining completely different analytical algorithms with potential clients (traders). The ecosystem will be fully decentralized and regulated by the community. At the moment, we make forecasts for BTC/USDT every minute, which can be seen in the personal account. To improve the accuracy of forecasts, we daily saturate AI with fresh data, experience accumulates, and with it increases the accuracy of predictions.",NXBT,10th Feb 2019,30th Apr 2019,https://neuronx.io,Estonia,https://neuronx.io/neuronx_whitepaper_en.pdf
estonia,,nobar,,"Forget fragmented marketplaces! NOBAR is creating the first-ever crypto commerce to provide a holistic solution to the purchasing problem with cryptocurrency and crypto token. Our two robust functions - Crypto Commerce and Shop-App will facilitate all possible commercial activities.",NBR,1st Mar 2019,30th Apr 2019,https://nobar.io,Estonia,https://nobar.io/data/nobar-whitepaper.pdf
estonia,,petlife,,"Petlife is an international blockchain-based platform for pet owners and providers of veterinary care. The service brings together animal owners with doctors and clinics around the world. It is a platform to provide 24/7 veterinary care. With our application pet owners can provide their pets with necessary care - remote consultation, interpretation of test results, data storage and electronic prescription. Veterinarians perform consultations, prepare reports and summaries and receive payment.",PETL,15th Jan 2018,15th Apr 2019,https://icopet.life,Estonia,https://icopet.life/white-paper-en/
estonia,,unidag,,"We are implementing a new technology that includes the advantages of blockchain and DAG technologies, which will allow network users to make instant transfers without commissions, as well as launch smart contracts that are not tied to the stability of a particular programming language, using a completely open ecosystem with the ability to communicate within their social network. Dagchain technology allows you to work locally without cryptocurrency by integrating branded frameworks (authorization and backup) into your systems. You don’t have to keep heavy copies of the dagchain, all responsibility and burden falls on 101 law firms supporting the work and development of the dagchain who support the consensus of Proof of Trust.",UDAG,1st Jul 2018,29th Apr 2019,https://unidag.com,Estonia,https://unidag.com/docs/en/WhitePaper-en.pdf
estonia,,vtradeexchange oü,,"Global markets are evolving and the public is experiencing a gradual transition towards digital currencies. Cryptocurrencies are beginning to emerge as the future of banking and commerce. The formation of collective trading functions is a necessary response to the evident challenges such as inefficiency, lack of security, and regulatory risk. These factors are creating a common set of needs in areas such as liquidity, compliance, and the necessary decentralization of data. VTRADE is designed to tackle these needs efficiently by providing an easy to use yet highly secured trading platform. The system is rich in features, intuitive, and has built-in tools that make it accessible for veteran traders to flourish and for novice traders to get acclimated to the markets. VTRADE consolidates in-demand trading services and tools into one single platform. This revolutionary approach offers everyone the opportunity to become part of this new financial revolution.",VTRD,18th Feb 2019,25th Apr 2019,https://vtrade.io,Estonia,https://vtrade.io/VTRADE_Whitepaper_v1.3.pdf
estonia,,watchugot,,"WatchUGot is an Ethereum based social networking app that provides users with the tools and platform to develop community fundraising campaigns. We combined the crowdfunding components of GoFundMe with the social aspects of Facebook and Instagram on a blockchain. WatchUGot allows users to create and participate in fundraising initiatives for meaningful causes, while being rewarded with real cash-value in the form of our WUG tokens. Our legacy (non-blockchain) version of WatchUGot is already live and available for download on Google and Apple marketplaces.",WUG,1st Feb 2019,10th Apr 2019,https://watchugot.co,Estonia,https://drive.google.com/file/d/1X0k2IAukolsP6B6e7C8R6XEa37EWdwVE/view
estonia,,windhan energy,28.724073,"Windhan is a blockchain-based green energy Crowdfunding and trading platform which uses blockchain technology to create a more meritocratic next generation of renewable energy assets. It brings together green energy producers and consumers to sell and buy renewable energy without overpaying to corporations, suppliers and other intermediaries. It is a platform to combine energy developers, investors, and consumers and facilitates carbon credit trading through a global and decentralized network that allows energy assets to be funded and launched.",WHN,21st Mar 2019,17th Apr 2019,https://windhanenergy.io,Estonia,https://windhanenergy.io/file/whitepaper-English.pdf
germany,,chrypto,,"Chryp.to is a social network aiming to bring crypto players closer together and to leverage mass adoption of blockchain applications. A plethora of features create an all in one platform for all needs of the decentralized world. Powered by Authoreon.io, Chryp.to also aims to be the largest showcase of ready to use blockchain applications from ALL blockchain companies. We believe that only as a team effort blockchain companies can prepare the ground for early mass adoption and shape an ecosystem, in which they can succeed.",CHRYPTO,15th Oct 2018,7th Apr 2019,https://www.chryp.to,Germany,https://www.chryp.to/downloads/Chrypto_Whitepaper.pdf
