cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,whatsonpic,,"What’s On Pic is a unique platform that will create a more immediate connection between stores and buyers through photos. It will allow consumers to bridge the gap between online shopping and social browsing by tapping an image to instantly make a purchase. In addition, What’s On Pic is a new revolutionary way to monetize activity on social networks since our publishers of photos will get cash back from purchases made through their photos.",AWT,22nd Feb 2019,19th May 2019,http://whatsonpic.io,Australia,https://whatsonpic.io/wp-content/uploads/2018/08/WOP_WP_Eng.pdf
Cayman-Islands,,crowd machine,,"Crowd Machine is creating the Crowd Computer, a decentralized app execution engine that is powered by a peer-to-peer network of Crowd Virtual Machines (CVM"") that run on peer devices by device owners who are paid for their excess capacity. The Crowd Virtual Machine is blockchain-agnostic and can be used to develop and execute smart contracts and decentralized apps on any blockchain.""",CMCT,28th Apr 2018,22nd May 2019,https://crowdmachine.com,Cayman Islands,https://www.crowdmachine.com/docs/whitepaper.pdf
Cayman-Islands,,shercoin,36,"The SherCoin team has realized that the best way to create a good cryptocurrency that will achieve mass adoption is by creating a multi-functional token that has more than one utility. Most of the altcoins are Ethereum-based coins that only offer one application. SherCoin features five different related applications in one. The ecosystem has a theme: User provide valuable economic services for businesses such: as checking market place for counterfeits, reporting fake or suspicious products; filling out surveys and giving information, feedback, and data, so business can make informed decisions; giving the users an easy way to manage the cryptos the earned; and then giving them outlets to spend/exchange their tokens.",SHER,1st Feb 2019,2nd May 2019,https://shercoin.io,Cayman Islands,https://shercoin.io/wp-content/uploads/2018/10/SherCoin-whitepapers-v5.pdf
cyprus,,esperantoken,,"Blockchain powered global marketplace & loyalty points wallet, Where any consumer can trade, exchange and share their loyalty points globally, convert them into cash or services and trade them with other loyalty points holders.",ESRT,1st Jan 2018,31st May 2019,https://esperantoken.com,Cyprus,https://esperantoken.com/wp-content/uploads/2018/03/EsperanToken-Whitepaper.pdf
cyprus,,gese,,"The Gese blockchain-platform is a worldwide database of all alcoholic beverages, allowing users to quickly select a quality product that matches their taste preferences. Searching for information has never been easier: now, to get a complete product content information, a consumer just needs to place his smartphone over the NFC-label attached to the bottle. Gese will help the consumer make the right choices even before going to the store: the application will recommend alcoholic drinks based on the user's past preferences, show current reviews and help find the most optimal options from local stores. The buyer can verify the product authenticity by simply taking the bottle from the counter and placing his smartphone over the NFC-tag. Subsequently, the Gese user will be able to get a reward for writing a review about the purchased beverage and handing over the used packaging at a designated recycling point. Thus, the platform accompanies the buyer not only before, but also after the product purchase, thereby encouraging his activity within the system.",GSE Token,15th Apr 2019,1st May 2019,https://gese.io,Cyprus,https://drive.google.com/file/d/1AZTWSnpttM6c2MmjfHXyAPbftly4-Ke5/view
estonia,,betinreal,,"BetinReal is the first AR/VR gambling solution in the world, based on blockchain technology. We have combined gambling and social gaming to provide players with an exceptional experience the way they want it. Any time and in any where. BetinReal was founded by top talents from gambling, gaming, cryptocurrency and technology fields. We took advantage of different technologies to to make casino games social, interactive, immersive, reliable and fair. We focused on players needs and preferences to bring them an experience they never had before.",BetInReal,1st Mar 2019,31st May 2019,https://www.betinreal.com,Estonia,https://betinreal.com/wp-content/uploads/2018/11/bet_in_real-whitepaper-2-2.pdf
estonia,,bigbang,,"“Play and earn loyalty points you can trade” into cryptocurrencies! For players and operators, we present a gaming platform – BigBang. This platform indeed is one-stop-shop for players across the globe to make the most out of their online gaming experience. BigBang is an online gaming platform that provides players a medium for gaming and cryptocurrency token built on blockchain technology to reward all game players. BigBang has a gaming ecosystem that provides players with a safe and secure system that rewards the players through a cross-service loyalty token – BigBang Token (BBT). This ecosystem benefits the users by incentivizing, improving all-in-all entertainment and gaming experience, reducing cost and by providing automated marketing for operators.",BBT,1st Apr 2019,31st May 2019,https://www.bbtokens.io,Estonia,https://bbtokens.io/whitepaper.pdf
estonia,,clearaid,,"ClearAid is a digital platform that aims to connect the non-profit community through an easy-to-use interface which allows full transparency and traceability of donations made on the blockchain. The platform is supported by an ERC20 token, named CAID, which is based on the Ethereum blockchain and serves as the donation method of the ClearAid platform.",CAID,1st Nov 2018,1st May 2019,https://www.clearaid.org,Estonia,https://www.clearaid.org/assets/files/white-paper.pdf
estonia,,easyguide,,""EasyGuide" is a decentralized tourist platform that allows travelers from different countries to find fellow travelers, join companies of like minded persons, jointly creating tourist routes and safely sharing the costs of this organization. EasyGuide, based on reviews and ratings, will group people according to similar parameters and make up an individual proposal for each of them. The service will help independent tourists quickly and conveniently compose the ideal route with the right people! EasyGuide with the help of the technology blockchain will enable groups of tourists from all over the world to safely share the costs of traveling with other travelers and to select the necessary services in one place.",GDC,18th Apr 2019,18th May 2019,http://ico.guide-easy.com,Estonia,https://ico.guide-easy.com/whitepaper.pdf
estonia,,imusify,1.607008,"imusify is an award-winning music platform that is reinventing the global music industry in order to liberate music makers, music fans, and music entrepreneurs. Let imusify help you find your creative voice, build a loyal following, discover great music, and reward your contribution. IMU tokens are used as the engine to support imusify’s multi-layered, decentralized music economy. This will create an immense potential value for the token’s use throughout imusify’s infiltration into the industry. Through our smart reward and compensation system, ϑ IMU is either rewarded for contribution to the platform, or used as a currency for exchanging digital assets and services. By establishing trust and transparency between artists, supporters, fans, and industry service providers; a vibrant ecosystem emerges.",IMU,1st Apr 2019,31st May 2019,https://www.imusify.com,Estonia,https://imusify.com/whitepaper.pdf
estonia,,lynchpin token,9.5875,"A token that solves critical problems in the cryptocurrency industry. Making digital assets spendable to create a token that solves major problems in the Cryptocurrency industry. Firstly solve issues with tokenomics. A project has strong tokenomics which solve volatility, lack of intrinsic value, inflation and deflation and lack of utility.",LYN,15th Nov 2018,1st May 2019,https://www.lyntoken.com,Estonia,https://lyntoken.com/lyntoken-whitepaper.pdf
