cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,livenpay,,"Liven is an incentive-based mobile payments gateway and ecosystem purpose-built for the lifestyle and dining industries. Hundreds of thousands of people use Liven to discover thousands of restaurants, process millions in instant mobile payments, and earn LVN - The Digital Currency for Food. LVN can be saved up, spent at any Liven merchant, or donated to a nonprofit organization natively in the Liven platform.",LVN,28th Feb 2019,30th Jun 2019,https://livenpay.io,Australia,https://s3-ap-southeast-2.amazonaws.com/livenpay.io/LIVEN-WhitePaper(EN).pdf
Cayman-Islands,,membrana,0.6,"Why invest in Membrana Product. Working product (Public Beta) with over 3000 customers. Desktop and Mobile versions are released. Already 2888 trust management contracts concluded with $1,6M trading volume. Final release in Q4 2019. Rewards. Stack MBN tokens to receive profit in MBN tokens and BTC Team. Expert development team from Russia and worldwide network of brand managers and ambassadors. Supported by top experts from JP Morgan, CME, Goldman Sachs. Listing confirmed: Listing on 3 exchanges on 17th June - ABCC, Probit, Newaxall Community. High ratings on ICO trackers and big community - 80k telegram users. 2 US venture funds have already invested into the company. (Coinbar group and Firstblock Ventures) Token usage You can read detailed tokenomics and information about stacking rewards here: https://membrana.io/static/pdf/membrana_tokenomics.pdf Unsold tokens will be burned.",MBN,17th Jun 2019,9th Jun 2019,https://membrana.io,Cayman Islands,https://membrana.io/static/pdf/membrana_whitepaper_eng.pdf
cyprus,,nd invest,,"ND INVEST is a platform for instant purchases of real estate, cars, furniture and services at discounted and promotional prices. By signing the preliminary purchase agreement and paying the deposit upfront using ND tokens via our application or web page, the customer retains the ownership right for the asset, the pre-approved price and conditions of the deal. The remaining part of the asset price the buyer pays in fiat or another cryptocurrency.",NDC,20th Oct 2018,30th Jun 2019,https://www.ndinvest.ltd,Cyprus,https://www.ndinvest.ltd/docs/en/whitepaper.pdf
estonia,,ace casino,,"WORLDWIDE BLOCK CHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience where the players control the house. Ace Casino addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy CASI: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with CASI only, which will foster the token's growth. - The ever-growing market of online gambling.",CASI,1st Jan 2019,20th Jun 2019,http://acecasinochips.com,Estonia,https://acecasinochips.com/doc/Ace_whitepaer.pdf
estonia,,foodnation,0.15,"We are a online food delivery marketplace, developed collaboratively, using the blockchain technology and having as key part the distribution of the profits with the sellers and promoters for a more viral and sustainable growing. The online food order market is practically under the domain of big players whose profit margins are very significant, sometimes more than 50% of the services taxes. These monopolies eliminate good part of the business competition making both restaurants and clients run out of options. Nowadays this market moves USD 121 billion and the foresight is that will be still growing in high taxes (approximately 18% a year) reaching, in 2002, nearly USD 234 billions. FoodNation is creating a marketplace for food order by apps with division of efforts for conquer together this billionaire industry. All the partners that are involved in the network could enjoy, in a meritocratic way.",FOOD,1st Apr 2019,30th Jun 2019,https://www.foodnation.io,Estonia,https://files.foodnation.io/whitepaper.pdf
estonia,,securecryptopayments,12.0,"Secure Crypto Payments is a payment gateway for Enterprise eCommerce. Enterprise eCommerce software is a solution that is used by big companies that sell online to cover all their business needs. Adidas, BMW, Canon, Carter's, Columbia, etc. SecureCryptoPayments is a payment gateway main feature of which is quick and secure payments between buyers and merchants (individuals or companies) in a convenient for both parties way. We offer to merchants an opportunity to securely receive funds in fiat money. As for buyers, they will receive an opportunity to pay in cryptocurrency without using exchange offices or third-party services, which will save their time and money. Plus other benefits. We develop a payment processing system that you will be able to use on TOP eCommerce sites in order to pay for the things that you love. It is free from the limits of obsolete payment systems. Today we already offer more than other payment processing systems can do.",SEC,1st Apr 2019,1st Jun 2019,https://securecrypto.me,Estonia,https://securecrypto.me/files/whitepaper.pdf
estonia,,uncloak,,"Introducing Uncloak: The future of cyber threat detection. Advanced artificial intelligence to check public & hidden internet data for “Zero Hour” cyber threats. Next generation vulnerability cyber security scanning. EOS Blockchain powered, allowing verified IT security experts worldwide to collaborate in resolving cyber threat vulnerabilities and be rewarded through a fully automated system.",UNC,4th Jun 2019,7th Jun 2019,https://uncloak.io,Estonia,https://whitepaper.uncloak.io/
estonia,,wulet,,"WULET is a blockchain based platform that unites all loyalty programs with a synergy effect for companies. We are creating the ultimate tool that will help customers to store all their cards, discounts, and coupons in one convenient system, to exchange loyalty points of different companies and use them timely to their maximum effect. In the meantime, it will allow companies to elevate the management of loyalty programs to an absolutely new level, to benefit from entering a “blue ocean” market of tradable loyalty points and to increase ROI and client retention rate. WULET blockchain ecosystem with its innovative features will allow companies worldwide to: -benefit from entering a “blue ocean” market of tradable loyalty points; -breathe new life into the “tired” concept of loyalty programs; - receive data, which will allow to adjust loyalty programs strategy; -win and retain new customers on principles of personalization and exclusivity; - implement crypto cashback.",WU,1st Jun 2018,30th Jun 2019,https://wulet.io,Estonia,https://wulet.io/wu_onepager_en.pdf
france,,fashion coin,,"Fashion Coin (FSHN) is a purely peer-2-peer version of electronic cash for Generation Z. Based on creativity, game theory and steganography+cryptography, Fashion Coin provides seamless and effortless online payments - with maximum speed and limitless scale. Fashion Coin enables the customer to add value and issue coins on the Proof-of-Love DApp. Creativity leads to capital, credit, surplus, and even crowdfunding.",FSHN,2nd May 2019,20th Jun 2019,https://coin.fashion/#section1,France,https://coin.fashion/storage/Fashion%20Coin%20Whitepaper%20[EN]%20.pdf
france,,zynecoin,,"Zynecoin is a blockchain system created with the aim of supporting and rewarding talented innovators and entrepreneurs throughout Africa. To ensure maximum security, Zynecoin’s smart contracts are backed by Ethereum’s well-established blockchain system.",ZYN,25th Jan 2019,27th Jun 2019,https://zynecoin.io,France,https://zynecoin.io/wp-content/uploads/2019/01/wpz.pdf
germany,,mycro,1.5,"Post the job offer directly on our beautiful designed Mycro app and we make sure you will be quickly connected with a community member who can help you out! Explore the Mycro app and find a job which suits you perfectly. Apply now and get the job done. Simple as that. We unleash the power of local communities by implementing our protocol to connect people. Through this game changing platform we will open the doors to become the worldwide number one marketplace for realtime job matching.",MYO,11th Jun 2019,20th Jun 2019,https://www.mycrojobs.io,Germany,https://www.mycrojobs.io/download/Mycro-Whitepaper-English.pdf
