cat1,cat2,name,raised,desc,ticker,start,end,www
Cayman-Islands,,8hours,4,"8Hours Foundation is empowering a blockchain-based ecosystem of people who connect with each other with meaningful play. The ecosystem uses the Eight Hours Token (EHrT) as a utility token implemented within the PlayTable gaming console that facilitates social play with platform-level features. The Foundation serves to build a community consisting of Game Developers & Publishers, Players, Manufacturers, Collectors and Token Holders. EHrT tokens are used in every scenario when using the PlayTable gaming platform, including compatible toys, collectibles and cards. As EHrTs are used to create new assets, 50% are burnt, capturing the value of the object both as data and as a new stand-alone addtion to the ecosystem, with 50% being sent to the 8Hours Foundation for further development and community growth.",EHrT,1st Jul 2019,2nd Jul 2019,https://www.8hoursfoundation.org,Cayman Islands,https://assets.website-files.com/5c8c0cd36dbd3cf61db07696/5d0ad71f2ab90c4febf14a76_8Hours_White_Paper.pdf
estonia,,bit agro,2.841,"AGROCOIN is a crypto coin that will become the means and guarantor of payment between users. This is a token that will become a tool for the agro-industrial market, and with the help of which users of the agro-exchange platform will be able to conduct their transactions on the purchase and sale of goods in the agricultural sector. Token AGROCOIN supports smart contract technology and was created to develop trust and positive reputation of a credit platform on the Ethereum ecosystem. AGROCOIN aims to conduct the fastest, most transparent and secure transactions.",AGRO,5th Apr 2019,5th Jul 2019,https://bitagro.io,Estonia,https://bitagro.io/wp-content/uploads/2019/03/Agro-Exchange-WP1.2.pdf
estonia,,bolttcoin,1.2235,"2 years of development with a great team, already market leader with thousands of users, business customers and a strong partner ecosystem. Join us as we are set to revolutionise the way communities interact with each other, with the world’s first ever “Digital Health Currency” i.e, The Boltt Coin. We have launched a unique blockchain based online gamification platform which enables players to earn Boltt Coins for personal health, We call it the “WalkChain” that uses “Proof of Steps” to mine BOLTT COINS as you walk! Boltt Platform will also host fun tournaments & interactive peer to peer league matches/games, sponsored by brands, corporates & celebrities to reward participants with exciting prizes & BolttCoins. Bolttcoin holders will not only be able to use them to pay for tons of products , services & deals from the deceltraized marketplace ecosystem, but will also see their Bolttcoin value increase as a result of increased user base, demand and adoption of the token & its locked limited supply.",BOLTT,19th Jun 2019,3rd Jul 2019,https://bolttcoin.io,Estonia,https://bolttcoin.io/BolttCoinWhitePaper-V1.0.pdf
estonia,,coinware,,"COINWARE is developing a free and user-friendly cryptocurrency trading platform for both experienced and inexperienced users. We aim to reduce the burden on traders in exchanging cryptocurrency to fiat.",CWT,3rd May 2019,30th Jul 2019,https://www.coinware.co,Estonia,https://www.coinware.co/downloads/COINWARE_WHITEPAPER.pdf
estonia,,earthbi,1.5,"EarthBi combines the virtual world - through the creation of a special token utility for the "green" sector called "ERA" - with the production of polymers with characteristics of high biodegradability and quality and wide use. The project, in essence, is aimed at the diffusion of innovative biopolymers, generated thanks to proprietary industrial property rights (patents and know-how). The ERA token utility will allow buyers to obtain bigger quantity of raw materials (30%) or discounts (equal to 30% of the average market price of BVW) on the finished products made of bioplastic. ERA can be purchased and exchanged through special portals. The EarthBi project will also have use of the full traceability of the production chain thanks to the use of blockchain technology in order to guarantee customers and consumers the qualities and characteristics declared. The availability of EarthBi piopolymers at full capacity will be approximately 60,000 tons for year.",ERA,9th Apr 2019,26th Jul 2019,https://earthbi.io/en,Estonia,https://earthbi.io/en/whitepaper-2/
estonia,,fortem capital,5.124,"Fortem Capital is creating the first ever platform on the Polish market based on the blockchain technology. The platform allows to invest in our projects in a simple and secure way. We provide investors with an opportunity to invest their assets in real property sector, through our projects by using the Fortem Capital token. We have many years’ experience and so far we have carried out the projects of a total value exceeding 40 million USD. IEO offered by Fortem Capital is based on tangible assets. The purpose of our own IEO is to raise funds for our platform Fortem Capital and the development of selected projects. An investor will be able to enter into a trust agreement thus taking on a desired percentage of shares of a property to be further resold. The investor will know from the start the projected return on their investment. The process from the acquisition a property through its renovation and culminating in its further reselling is overseen by Fortem Capital in full. When a property is sold, the investor receives their share in cryptocurrency and their return depends on the final property selling price. That price should not be lower than the projected total return. As part of the first stage of the IEO, Fortem Capital selected a number of real estate projects. Their aggregate worth (including the cost of construction/renovation but excluding investor and company fees) stands at $35 million. IEO Fortem Capital will be on the Coinsbit.io.",FCQ,4th Jul 2019,7th Jul 2019,https://fortemcoin.io,Estonia,https://fortemcoin.io/assets/doc/ENG_Whitepaper.pdf
estonia,,geco.one,1.25,"Geco.one is a platform that enables you to safely invest in the cryptocurrency market using skills and knowledge of experienced traders. Our flagship service, called PAMM account, allows you to invest in cryptocurrency pairs by entrusting your resources to experienced traders as well as providing you with all the tools necessary to become a crypto-trader yourself.",GEC,1st Jul 2019,14th Jul 2019,https://geco.one,Estonia,https://geco.one/static/files/whitepaper.pdf
estonia,,tor,,"Tor (TOR) Anonymous cryptocurrency based on Tor browser. Safe, Open source, Community run and maintained.",Tor/TOR,16th Jun 2019,15th Jul 2019,https://tortoken.io,Estonia,https://tortoken.io/whitepaper.pdf
germany,,marketc,,"MarketC is a revolutionary digital platform that applies Blockchain with an open platform to be able to develop applications that serve multiple purposes in many areas. At the beginning, the development team focused on developing application platform: Market Pay - billing software that uses crypto based on the blockchain platform. Everything you need is in Market Pay: payment, transfer, currency exchange, instant loans. Our goal with Market Pay is to provide our customers with the most convenient banking experience in the world, using blockchain technology and non-contact wireless payment technologies. Market Pay will also become the development platform for all applications.",CMK,24th Jun 2019,24th Jul 2019,https://marketc.net,Germany,https://marketc.net/media/MARKETCWHITEPAPER.pdf
malta,,elrond network,1.9,"Elrond is a novel architecture which goes beyond state-of-the-art by introducing a genuine State Sharding scheme for practical scalability, eliminating energy and computational waste while ensuring distributed fairness through a Secure Proof of Stake (SPoS) consensus mechanism. Having a strong focus on security, Elrond’s network is built to ensure resistance to known security problems like Sybil attack, Rogue-key attack, Nothing at Stake attack and others. In an ecosystem that strives for interconnectivity, Elrond’s solution for smart contracts offers an EVM compliant engine to ensure interoperability by design.",ERD,22nd Jun 2019,1st Jul 2019,https://elrond.com,Malta,https://elrond.com/files/Elrond_Whitepaper_EN.pdf
russia,,fortfc,0.785876,"FortFC is a liquidity provider on the cryptocurrency market that aggregates buy and sell orders simultaneously from a pool of the most popular world exchanges and accumulates the necessary liquidity volume at the right time specifically for its customers. The unique set of services includes online Deposit/Withdraw/Exchange of various cryptocurrencies for another cryptocurrency or converting crypto into fiat currencies with the most favourable rates on the market.",FFCT,16th Feb 2019,31st Jul 2019,https://www.fortfc.com,Russia,https://www.fortfc.com/docs/whitepaper.pdf?v=4
