cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,aussie digital,,"With Brick and Mortar Retail dying out. E-Commerce is becoming more and more attractive to retailers every day. The problem is that now like the Greedy Landlord the E-Commerce providers “Ebay, Shopify, Amazon to name a few are also getting greedy. This is where Aussie Digital shines above the rest. Aussie Digitals “Tradezy” has been designed to help, not hinder the growth of small to medium business online. With Zero to low fees and unique low cost advertising which is fare to all users, the Aussie Digital Ecosystem can provide a place where these businesses can thrive. The addition of Crypto Payments opens these Businesses up to a new market which they may not have been able to reach in the past. Uses of the Tradezy.io will have access to the supply chain from start to finish allowing all their business to be done in one place rather than having to rely on a host of different methods and payments.",AUD,29th Jul 2019,12th Aug 2019,https://www.aussiedigital.io,Australia,https://www.aussiedigital.io/uploads/Whitepaper.pdf
australia,,cloverdex,,"Cloverdex offers a one-stop shop for multiple fiat gateways, hundreds of cryptocurrencies, and crypto debit card facilities. Incorporating the speed and liquidity of centralised exchanges with the security afforded in a decentralised exchange where the user owns their private keys. The Cloverdex trading platform will cater to both beginners and advance users through our 3-step ethos. This means that all actions (e.g. registration, trading) can be completed within 3 steps. Multiple Fiat pairings – up to 10 different fiat pairings initially with more to come.",CLDX,15th Feb 2019,15th Mar 2019,https://www.cloverdex.io,Australia,https://cloverdex.io/wp-content/uploads/2018/12/WhitepaperFinalV1.2.pdf
australia,,elisia,5.019818,"Elisia is the most exciting development in the blockchain world since Satoshi Nakamoto unleashed Bitcoin in 2008. Elisa provides lightning fast transactions with no fee. Each Elisia transaction will reach its destination in lightning speed without any fee to sender or receiver! Decentralized Applications (DAPPS) can be created with ease and deployed on the Elisia network with a click of a button without any fee for deployment.",ELSA,30th Nov 2018,19th Jan 2019,http://elisia.io,Australia,https://elisia.io/white-paper.pdf
australia,,gre8,,"The digitalized units or BEABS (blockchain enabled asset backed securities) issued by GRE8 are planned to be listed on major organized stock exchanges for added liquidity and security. The Fund aims to provide investors with income and long-term capital growth, through investment in a diversified portfolio of student accommodation properties, built-to-rent properties, serviced apartment, new age boarding houses, hotels and similar properties in Australia. The Fund primarily would invest in direct property (already operating, acquisition and development) and cash to assist in managing the Fund’s return and liquidity. The main objective of the Fund is to provide returns and growth to its investors by investing into mix of already operating, needing minor changes, completed and ready to develop properties. The Fund would aim to ensure that positive gearing is maintained and make the fund self-sustainable over a period of time. To reduce risk, diversification is achieved through investment in properties with a range of performance and risk profiles, located in different markets throughout Australia. STARIN has been investing, developing and managing real estate for over 9 years with a combined management experience of more than 200 years. The Fund benefits from this experience through the management’s deep understanding of Australian real estate markets. Refer a friend and be rewarded with bonus GRE8 Tokens equivalent to 10% of your referal's investment for the first $5M raised.",GRE8,12th Nov 2018,9th Jan 2019,https://ico.starin.com.au/#/app/home,Australia,https://ico.starin.com.au/assets/pdf/white-paper.pdf
australia,,iam,2.3,"iAM’s personal care record platform solves global problems in the healthcare industry using Blockchain technology. iAM’s platform is a unique solution for both consumers and healthcare professionals. All parties in health and social care can benefit from iAM solutions, including patients, doctors, nurses, care providers, funders, insurers, pharmaceutical companies, and researchers. Features developed specially for the iAM platform enable improved clinical outcomes while reducing global medical costs. iAM automates the clinical processes through evidence-based personal care pathways and minimises manual data entry.",IAM,16th Jan 2019,14th Mar 2019,https://www.instantaccessmedical.io,Australia,https://www.instantaccessmedical.io/documents/Litepaper.pdf
australia,,livenpay,,"Liven is an incentive-based mobile payments gateway and ecosystem purpose-built for the lifestyle and dining industries. Hundreds of thousands of people use Liven to discover thousands of restaurants, process millions in instant mobile payments, and earn LVN - The Digital Currency for Food. LVN can be saved up, spent at any Liven merchant, or donated to a nonprofit organization natively in the Liven platform.",LVN,28th Feb 2019,30th Jun 2019,https://livenpay.io,Australia,https://s3-ap-southeast-2.amazonaws.com/livenpay.io/LIVEN-WhitePaper(EN).pdf
australia,,mitewallet,,"We are building a platform to buy and sell assets, crypto and fiat simultaneously. Mitewallet.com is a platform for the future of spending that powering that for the new financial blockchain. While existing solutions offer to solve just one problem at a time, our team is up to build a secure, useful, & easy-to-use product based on private blockchain. It will include easy cryptocurrency payments integration, and even a digital arbitration system. At the end, Our aims to integrate all companies, employees, individuals and business assets into a unified blockchain ecosystem, which will make business and daily living truly efficient, transparent, and reliable.",MTE token,7th Jul 2019,3rd Aug 2019,https://www.mitewallet.com,Australia,https://mitewallet.com/whitepaper_v3.1.pdf
australia,,moveo,,"We started from a simple observation: A lot of people know that sport is good for them few or not enough make it. The lack of motivation proves to be one of the main obstacles to the practice of sport. With MOVEO, we want to eliminate this lack of motivation by paying you for exercising. So, you feel good and you have earn money for it! Our goal is to motivate people into exercising and becoming healthy with currency and to compensate those who are taking care of themselves every day.",MOV token,17th Jun 2019,31st Aug 2019,https://moveocoin.com,Australia,https://moveocoin.com/MOVEO%20WP.pdf
australia,,priceless object,,"This project is intended for people willing to make changes in our society. The mission of this project is to develop the citizen conscience by stating a Supranation with a global standard where a massive number of people declare themselves as World Citizens and declare their surroundings as Regions of The Supranation. The Priceless Object intends to standardize civic practices rather than cultural heritage.",PO9K,19th Feb 2019,9th Nov 2019,https://www.pricelessobject.com/site,Australia,https://www.pricelessobject.com/site/wp-content/uploads/White_Paper_PO9K_V1.1.pdf
australia,,trusted,,"TrustED is the first-of-its-kind academic credential verification service, that brings honesty, legitimacy, and convenience to the education and human resources industry.",TED,20th Jan 2019,20th Mar 2019,https://ico.trusteducation.io,Australia,https://ico.trusteducation.io/wp-content/uploads/2018/11/TrustED-Whitepaper.pdf
