cat1,cat2,name,raised,desc,ticker,start,end,www,,
Big Data,,lvx,,"Level01 is a peer to peer (P2P) derivatives exchange that allows investors to trade options contracts directly with one another, without requiring an intermediary or broker. Level01 combines Distributed Ledger (DLT) Technology for transparent and automated trade settlement on the blockchain, with Artificial Intelligence (AI) analytics that provides fair value pricing dynamically to counterparties in a trade, based on current & retrospective market data. The platform intends to effectively removes all forms of friction in the user experience present in conventional exchanges, such as fund deposits/withdrawals, multiple tier identity verifications, and wallet security concerns; allowing investors to fully focus on trading activities. The Level01 platform facilitates transparency & equality, and is designed to provide the most fair, efficient, even- level trading field for both retail & commercial investors.",LVX,1st Jul 2018,31st Dec 2018,https://level01.io,Hong Kong,
Business services,,fiii,10.708813,"Fiii aims to promote the wide acceptance of cryptocurrencies throughout the world. Fiii's ecosystem comprises of five different tech arms. FiiiPOS - The Only mobile instant cryptocurrency payment terminal in the world to be compatible with up to 1500 cryptocurrencies. Supporting unique DPoC. Over 2200 POS already launched in Asia and 15000 on order as of September 2018. FiiiPay - Mobile Wallet App compatible with FiiiPOS. Over 350k registered users as of September 2018. FiiiEx - CryptoCurrency exchange platform built to support FiiiPOS and FiiiPAY FiiiChain - Customizable blockchain framework enabling plug and play feature for commercial application FiiiCoin - Cryptocurrency created using FiiiChain, focusing on long term stability and commercial viability.",Fiii,1st Nov 2018,31st Dec 2018,https://fiii.io,Hong Kong,
Platform,,tokpie,,"TOKPIE is a unique peer-to-peer exchange where anyone, anywhere can buy and sell crypto assets for fiat money or cryptocurrency, safely and efficiently, through real-time auctions offering the best prices, using any payment method, FREE of charge. TOKPIE offers traders of all skill levels sophisticated features with unlimited scalability in a variety of use cases.",TKP,1st May 2018,5th Jul 2018,https://tokpie.io,Hong Kong,
Internet,,blockpass,,"Blockpass gives individuals control over their data and eliminates the painful process of having to constantly submit KYC data for every financial service or retailer they sign up for. For businesses, Blockpass is a shared KYC platform where a pool of pre-verified users is shared between businesses thus reducing the cost and time of on-boarding new customers.",PASS,31st May 2018,30th Nov 2018,https://blockpass.org,Hong Kong,
Art,,likecoin,5.323604,"LikeCoin aims to reinvent the Like by realigning creativity and reward. We enable attribution and cross-application collaboration on creative contents. With a reinvented Like button and our unique LikeRank algorithm, we trace content footprint and reward content creators by Proof of Creativity mechanism. Meanwhile, LikeCoin can only be purchased with ETH. For those who are new to the cryptocurrency, please purchcase ETH with fiat currencies such as USD, HKD or NTD at crypto exhanges. If you need any assistance, please don’t hesitate to contact us through the blue dialogue bubble at the bottom right hand corner of the token sale page.",LIKE,7th May 2018,21st May 2018,https://like.co,Hong Kong,
Other,,avinoc,,"AVINOC is a consistent, integrated and permissionless base data layer for decentralized, transparent and worldwide coordination of business flights within the general aviation, to achieve optimal utilization and reduce costs significantly. Every user involved in AVINOC possesses a local copy of all relevant data. This creates new opportunities for global, direct, permissionless, and fast communication between participants involved in the complex aviation business. AVINOC makes all necessary information of availability of staff and equipment visible in a decentralized manner. Efforts for communication and coordination can be reduced to a minimum or, in most cases, they can be totally eliminated.",AVINOC,15th Jul 2018,31st Jul 2018,https://www.avinoc.com,Hong Kong,
Business services,,emmares,2.365,"EMMARES is creating a global digital reputation of email content providers and their contents. Based on trusted evaluations and Quality score, recipients can find the best content based on their interests. Imagine a world of e-mail without spam, with only high quality targeted content. EMMARES, short for Email Marketing Rewarding System, is an evaluation system that highly benefits email marketers (senders) as well as email recipients (therefore everyone who uses email).",EMA,5th May 2018,30th Sep 2018,https://www.emmares.io,Hong Kong,
Business services,,alehub,4.681068,"The main aim of ALE - is to engage the technologies of decentralized applications for project management automation. It allows performing the search of works contractors and other labor force in the legal field. That is why we have created ALE – the platform to implement project management decentralized services, with a blockchain as a central element in it. One of the main ALE features - is to support multilateral smart contracts. By means of them, or, to be exact, due to the possibility to automatically administrate the relationship of the parties, the confiding environment is guaranteed. As for now, ALE is mirrored to Ethereum network in order to provide liquidity and to easier exchange listings. ALE is a security token, that grants a right for a share of ALE system profit.",ALE,25th Jul 2018,24th Nov 2018,https://alehub.io,Hong Kong,
Artificial Intelligence,,blackbox foundation,,"Blackbox is a group of PhDs, executives, and technologists joining forces to create the future of work - decentralized. Blackbox Token is used to manage people, teams, and projects as a distributed business operating system. Blackbox’s Deliverable Value Points (DVP) Proposal protocol is not influenced by socioeconomic factors resulting in a platform that is free of fees, politics, and other traditional organizational bloat. The protocol disincentives malicious actors and rewards those pursuing the common good.",BBOS,15th Jan 2019,15th Feb 2019,https://token.blackboxfoundation.org,Hong Kong,
Business services,,factr,,"Our mission is to bring decentralized, immutable Blockchain technologies to the logistics and freight industry, advancing and enhancing supply chain transparency, and enabling trusted global freight, fleet and logistics transactions management.",FTR,1st Jun 2018,31st Jan 2019,https://www.factrpay.io/#home,Hong Kong,
Banking,,kora network,12,"The Kora Network is a platform built on blockchain technology that unlocks global growth by linking the value in local ecosystems with global markets. We originate under-securitized assets such as agricultural cash flows, mining, corporate equities and bonds, and many more into security token chains. In doing so, we will create an efficient market, creating trust, security, and transparency.",KNT,18th May 2018,1st Jun 2018,http://kora.network,Hong Kong,
Banking,,localcoinswap,12.15,"LocalCoinSwap is building a P2P cryptocurrency exchange and launching an associated Cryptoshare ICO. LocalCoinSwap features a completely decentralized peer-to-peer trading structure. There are no centralized bank accounts, no verification requirements, and no restrictions on trade.",LCS,15th Apr 2018,15th Jun 2018,https://www.localcoinswap.com,Hong Kong,
Cryptocurrency,,tombola,2.85,"The first Cryptocurrency Lottery and Gambling platform based on Blockchain. Fair and fun, but no game fee spending. Tombola will be the standard of the world Game and Lottery platform.",TBL,1st Aug 2018,31st Aug 2018,https://www.tombola.io,Hong Kong,
