cat1,cat2,name,raised,desc,ticker,start,end,www,,
Art,,artwook,,"Art shared ownership trading platform cooperates with the world's top auction houses to provide online auction services. It only requires a small fund for investment and can be free from the time and region restriction.",AKC,20th Jul 2018,17th Aug 2018,https://artwook.com,UK,https://static.artwook.com/whitepaper/ARTWOOK_whitepaper_en.pdf
Art,,fenix.cash,,"FENIX.CASH seeks to provide the platform by which artists can interact directly with their fans underpinned by a new cryptocurrency, FENIX.CASH tokens. The principal purpose of FENIX.CASH is to allow the development of alternative revenue streams that gives fans the means to fairly reward the artists for doing so. In particular, FENIX.CASH provides the means for an artist to give fans that which they covet most – exclusivity and access beyond merely streaming their musical content, both of which are things that fans are prepared to pay handsomely for. Central to the proposition, FENIX.CASH has developed the FENIX.CASH App, which provides the following: A platform that allows artists to offer their fans products outside streaming of their music content; A search facility enabling fans to search against all of their favourite bands; An app that easily facilitates payment to bands in FENIX.CASH for the sale of their product; An App that is integrated with the FENIX App, which is key in ensuring massive distribution and scale from launch; An App that will reward for both bands and their fans for using FENIX and FENIX.CASH.",FENIX,31st May 2018,30th Jun 2018,https://www.fenix.cash,UK,https://docs.google.com/document/d/1RSIzbSWU9kik_0AZDaBQpsA1fPKyd7eKqjJRIuHas1Y/edit
Artificial Intelligence,,algotrading,,"Algotrading Institutional-Grade Automated Trading Software and Executing Multi-Asset Trading Strategies. We are Institutional-Grade Automated Trading Software and Executing Multi-Asset Trading Strategies. Algo Trading ltd is well known in Great Britain, being a major player in forex since 2010 and cryptocurrency market since 2013. We are a registered company based in London, UK. With the company number # 11435980. Registered office address Kemp House, 160 City Road, London, United Kingdom, EC1V 2NX. Our success is secured by the well-coordinated work of a big team of experts (AI Trading software, economists, analysts, traders) whose interaction leads to the efficient operation of the whole company.",ALGO,15th Jul 2019,16th Aug 2019,https://algotrading.ltd,UK,https://algotrading.ltd/Algotrading_Whitepaper.pdf
Artificial Intelligence,,ammut network,,"The AMMUT Ecosystem is built, designed and equipped to solve tasks that require high computing power such as deep learning, mining, scientific calculations, CGI rendering, 3d rendering and it’s made of several components: AmCU (Ammut Computing Unit), a low-cost hardware platform, specialized in the execution of tasks that require high computing power and designed to specifically and significantly improve on all pre-existing models in terms of profitability and longevity and the Ammut network, made up of all the AmCU devices connected to the network. AmCU takes tasks from the network, based on the earning coefficient that was initially set by the user, sends the results to the Ammut Network, and then it receives the reward based on the earning coefficient and the time spent to solve the task.",XAMM,1st Mar 2019,1st Jun 2019,https://ammut.network,UK,https://ammut.network/files/ammut.pdf
Artificial Intelligence,,autoblock,,"What Makes The Auto Block Stand Out? We're transforming the way people buy, sell and research cars. AutoBlock will revolutionize the auto industry and make it transparent so sales and purchases can take place without mishaps. A car sales portal for car dealers that accept the AutoCoin to advertise their stock free of charge, opening up new markets for them. Initially, prestige, performance and classic cars being transacted across the globe using AutoCoin, followed en masse by volume car dealers. Set to revolutionize used car valuations and vehicle data, Auto Block’s mission is to serve professionals such as insurance companies, car dealers and leasing companies in the motor industry with accurate and easy access to data and valuations. The Blockchain technology used to gather the real-time valuations with the help of live data will result in a rich database of all vehicle specifications which exist throughout the world. The Auto Block’s technology will make it possible for individual",AUTOCOIN,1st Dec 2018,31st Dec 2018,https://www.theautoblock.com,UK,https://www.theautoblock.com/white-paper
Artificial Intelligence,,bitbose,,"We, at Bitbose completely understand the insecurities related to financial investments in the current market scenario. Heavy transaction fees, third party interference, low interest rates, poor liquidity and over dominance by banks & other financial institutions, are to name a few. The current market scenario is prone to fluctuations and hence, unpredictable. The lack of modern technologies and obsolete approach towards all fiat-currency investment solutions is further leading to more dissatisfaction and lack of trust by the common man.",BOSE,16th Jul 2018,30th Nov 2018,https://www.bitbose.com,UK,https://s3.amazonaws.com/bitbose-documents/Update+bitbose+whitepaper-1.pdf
Artificial Intelligence,,cryptocurve,,"CryptoCurve’s mission is to accelerate the positive global impact of blockchain technology through an ecosystem of user-experience-driven products and programs that help individual investors, software developers, and corporate entrepreneurs achieve their goals with blockchain technology. Our vision is to be the world’s blockchain front-end solutions leader and a preeminent global thought leader in the blockchain industry. CryptoCurve’s first product -- the Curve Wallet -- is the first step toward achieving this mission. As the ‘Front-End’ of Wanchain and Browser to Blockchain, the Curve Wallet enables anyone in the world to seamlessly interact with all their digital assets, across different technologies and systems. Future products will include CurveSDK, a software development kit (SDK), that allows developers to share standard tools to easily build and create new blockchain applications on the CryptoCurve platform.",CURV,30th Oct 2018,30th Nov 2018,https://cryptocurve.io,UK,https://www.cryptocurve.io/documents/cryptocurve-whitepaper.pdf
Artificial Intelligence,,ftec,0.995,"FTEC is an an ecosystem of intelligent services and neural networks for conducting effective trading activities on cryptocurrency markets.",FTEC,20th Jun 2018,18th Jul 2018,https://ftec.io,UK,https://ftec.io/en/whitepaper
Artificial Intelligence,,glyff,,"We are building a next-generation decentralized platform that enables secure value transfers and smart contract execution, in complete confidentiality and with strong correctness guarantees. Glyff, like Ethereum, allows development of decentralized applications, but with a key difference: the ability to conceal data from the computing nodes. This enables developers to include sensitive data in their smart-contracts, directly on-chain, without compromise on security.",GLY,20th Mar 2019,29th Jul 2019,https://glyff.io,UK,https://glyff.io/gw?glyff-ip
Artificial Intelligence,,gpcc - global protected crypto copyright,,"GPCC - Service that utilizes the advantages of blockchain technology for global protection of the author work copyright with the possibility of selling it at the international market and conducting crowdfunding campaigns by authors to create new author works. We accept all types of media files (graphic, audio, video, text files).",GPCCT,1st Jun 2018,1st Sep 2018,https://gpcc.io,UK,https://gpcc.io/files/whitepaper.pdf
