cat1,cat2,name,raised,desc,ticker,start,end,www
Investment,,alethena,1,"Alethena is the first Swiss Blockchain-Asset rating agency. Reliable due diligence and a resulting rating are established by providing a professional, transparent and in-depth methodology. Proudly transferring the values of its Swiss heritage, Alethena sets itself the highest standards of neutrality and independence. A scalable and decentralised methodology is the definite goals to be achieved with A.I. and Machine Learning in the near future.",ATH,6th Jun 2018,27th Jun 2018,https://www.alethena.com
Big Data,,smart containers,1,"Smart Containers Group is a Swiss high-tech container provider aiming to create the first fully autonomous container based on blockchain technology, consequently disrupting the logistics industry. Blockchain-based software and an IoT infrastructure is the core of Smart Containers Group strong technological ground, enabling to track and monitor each container around the world and making Smart Containers Group the largest provider of IoT airfreight containers on the market. The combination of hardware, software and service enables Smart Containers Group to assertively position its division company SkyCell among the top four providers of pharma containers in the industry. Through the FoodGuardians division, the next generation of reusable containers and boxes to transport temperature sensitive food products will be offered regionally and globally, preserving the product’s freshness and traceability. Using blockchain as transformative technology in logistics, Smart Containers Group is driven by the opportunity to create the LOGI CHAIN, a fully integrated, seamless logistic ecosystem that will be accessible to all industry players at minimal cost. Therefore, Smart Containers Group will lead the way towards a more efficient, client-centric and cost-effective industry standard.","SMARC""",7th Jun 2018,30th Jun 2018,https://smartcontainers.ch
Banking,,nexo,1,Nexo is powered by A Leading FinTech Group serving millions of people across Europe for over 10 years. Strong 50k+ Telegram Community. Dividend Token.,NEXO,1st Apr 2018,1st Apr 2018,https://nexo.io
Cryptocurrency,,ubiatarplay.io,1,"ubiatar is the only technology ofering a viable and real solution to the ancient dream of mankind: having the power of ubiquity, or instant transfer to any place. We have seen this 'power' depicted in many productions, notably the teleportation devices in the 'Star Trek' sci-f TV shows and movies. Until today it has only been fantasy. Until today. Ubiatar delivers the power of ubiquity with modern mobile technologies, over a high-performance platform. The starting point is a normal smartphone held by a local individual (the Avatar); everything that is seen and heard by the Avatar is sent over the network to the Person at home (Usar) that in turn directs the Avatar so that he/she acts as his/her remote body. The directions are given with a revolutionary GUI (Graphical User Interface) superimposed over the live video stream. Avatars and Usars will meet on the UbiatarPlay marketplace, just like publishers ofer apps on the Apple Store andGoogle Play to customers all over the world.","UAC""",9th May 2018,8th Jun 2018,https://www.ubiatarplay.io
Business services,,friendz,1,Friendz is a working product with €1.2m in revenues and a community of 200k users. Friendz platform connects companies to people willing to provide support in the generation of advertising contents directly posted on their personal social media profiles. Users involved in this peer-to-peer communication process get rewarded for their collaboration on Facebook/Instagram/Twitter/Medium through our FDZ tokens. FDZ will be the standard token to manage and reward people for online activities.,FDZ,1st Mar 2018,20th Mar 2018,https://friendz.io
Platform,,quant network,1,"Overledger is the blockchain Operating System (OS) for the future. It empowers applications to function across multiple blockchains. Overledger securely removes the barriers that prohibit communication across multiple blockchains, providing endless possibilities for your data and applications. Overledger is the blockchain operating system that provides the ability to distribute value and applications across current and future blockchains without being limited to a single technology or method. Overledger is an agnostic platform that connects the world’s networks to current and future blockchains. Overledger sits on top of current and future blockchains providing a meta-gateway for existing networks to connect to blockchains and vice-versa.",QNT,2nd Apr 2018,30th Apr 2018,https://www.quant.network
Platform,,cardstack,1,"Cardstack — the application framework and the team behind it — is ready to organize this community, in order to build an alternative app market with open-web technologies, guided by the open-source ethos and enabled by a one-in-a-generation breakthrough of blockchains.",CARD,31st May 2018,30th Jun 2018,https://cardstack.com
Cryptocurrency,,globcoin,1,"Your tokenized currency basket. Easy, fast, secure: the gateway to a global currency for a global village. The Platform will enable the launch of customised currency baskets for a variety of uses. Currency baskets are portfolios of selected currencies with different weightings.",GCP,5th Mar 2018,27th Mar 2018,https://globcoin.io
Cryptocurrency,,pikciochain,1,"PikcioChain is a fully distributed information superhighway that brings individuals and organisations together to buy, sell and exchange data with confidence. Pikcio has been designed to store, secure, verify and certify data while ensuring the data source retains full control of their information at all times. Pikcio lets the user choose how to share their data, who to share it with, while also providing them with the opportunity to be paid for its use.",PKC,17th Mar 2018,31st Mar 2018,https://pikciochain.com
Communication,,experty,1,"Experty.io is the first Ethereum powered voice and video application which allows users to monetize their time, knowledge, and expertise on a global scale. The Ethereum blockchain allows for automatic payments from client to contractor based on the predetermined rate and the length of the conversation. Experts on any subject can share a link to their Experty profile on any platform they see fit, including but not limited to, social media, websites, and emails. There is no central marketplace.",EXY,25th Jan 2018,25th Feb 2018,https://www.experty.io/en&utm_medium=listing&utm_campaign=ico.tokens-economy.com
Real estate,,monaco estate,1,Monaco Estate is a cryptocurrency real estate investment fund focusing on high end apartment rentals in Monaco and utilizing blockchain smart contracts to allow token holders to receive a monthly profit share via Ethereum payments. Rental payments for all properties owned by Monaco Estate will accept BTC/ETH/EUR. Making Monaco Estate the only real estate rental service in Monaco accepting cryptocurrency.,MEST,1st Jun 2018,30th Jun 2018,https://monacoestate.io
