cat1,cat2,name,raised,desc,ticker,start,end,www,,
Artificial Intelligence,,globexsci,,Globex Sci is an ecosystem for storage and use of scientific papers allowing to exchange experience and knowledge and also to teach and launch neural network and AI products.,GSI,20th Apr 2018,1st Jul 2018,https://globexsci.io,,
Artificial Intelligence,,icod identity,,"iCod’s proposal is to create a digital portfolio of profiles, thanks to which the user will be able to effectively manage accounts, while organizing a high level of information security. Technical solutions are based on possibility to use Blockchain and Distributed Ledger technologies. As a result, the user is able to: Implement a decentralized data storage with cryptography. The approach principle is the distribution of information in Blockchain. As a result, to gain access the attacker will have to hack all the computers of the system members, which is impossible (due to the complexity of organization, due to the need to use a colossal level of the computation capacity). Obtain a single account management center. iCod also offers the opportunity to move to a new level of security, through the use of biometric data. The possibility of remote identity authentication will allow to expand the list of available services.",iCod,1st Nov 2019,23rd Dec 2019,https://icod.io,Cyprus,https://icod.io/download/iCod_v.3.1_en.pdf
Banking,,exenium,7.61E-04,"Exenium is a ready to use fully functional product implemented in the form of a CHATBOT (@exenium_bot). Our platform is adapted to the most widespread messengers in the world Telegram, WhatsApp, Facebook Messenger and Discord. Exenium Exchange is rapidly growing and constantly attracts users by the most efficient advertising channels. After the ITO (Initial Token Offering) our token will have guaranteed liquidity through the redemption as payment for our services valued at market price +10%, with the subsequent withdrawal from circulation.",XNT,14th Feb 2018,15th Apr 2018,https://exenium.io,,
Banking,,inspeer,7,"Inspeer combines years of business experience and scoring expertise with ample opportunities of blockchain technology. We are building a modern financial platform, designed to meet a demand of blockchain projects, offline and online companies, and individuals. Inspeer provides high-quality scoring based on AI and machine learning, ensures getting data from Credit Bureau, and controls AML/CFT. Therefore our clients get favourable terms while taking out a loan, and make a profit on investing in P2P lending. We know how to handle risks, and are excited to build a reliable financial platform for everyone. Inspeer is one of the first p2p lending services on the market that allows lending and borrowing in cryptocurrency alongside with fiat.",INSP,11th Dec 2017,5th Feb 2018,https://inspeer.io,,
Banking,,the main global bank,,"We are building comprehensive financial and business MGBank platform (codenamed Tokamak) to drastically expand blockchain and cryptocurrencies from a sandbox to the real world. The project aims at providing the participants of the market with the blockchain instruments of decreasing the costs, increasing the speed and convenience of financial and business operations, expanding the use of products and services of participants, increasing profits. We offer the concept of Cryptopair - MGCoin and MGCash. This approach provides the stable course of cryptocurrency on the one hand, and the opportunity to invest on the other hand. Wherein, the high speed of transactions and their low cost are realized. Main key features of platform are: • cryptopair; • stable cryptocurrency; • P2P lending; • personal capitalization; • payments (including API for social networks, messengers, games, etc.); • multicurrency (both fiat and crypto currencies); • smart account; • digital wallet; • third-party services; • smart contracts; • electronic workflows; • financial marketplace (including bonds, shares, loans, insurances, etc); • KYC provider and so on.",MGT,20th Feb 2018,20th Apr 2018,https://mainglobalbank.com,,
Banking,,wawllet,55,"WAWLLET launched an ICO for up to 89 million of its WIN Tokens, at $3 USD per Token, including a reservation of $35m USD worth of Tokens for issuance (with a lock-in period of up to 18 months) pursuant to an agreement with an EU listed Venture Capital firm. WIN Tokens are being delivered to buyers with multiple safety checks in place, which ensure that the Tokens are being distributed securely and promptly. 44 million Tokens are available on the Public ICO, with 45 million Tokens available in a VC and Hedge Funds session. WAWLLET have already sold over $1,000,000 USD worth of WIN Tokens since the 29th of January, suggesting a strong public cryptocurrency investor interest in WIN Tokens.",WIN,29th Jan 2018,30th Mar 2018,https://www.wawllet.com,,
Business services,,beeasy,3.969129,"BeEasy makes the world of cryptocurrency more clear and available to any users regardless of their skill levels. It is reached due to development of clear interfaces and flexible management system by the most demanded services: mining, conversion, trading, purchase of goods and services, investments, assignments on charity, etc. With the help of a one window system"" the user authorized at once can use all system services - from rent of capacities for a mining till receiving goods for cryptocurrency and services from partners of the project.""",ETKN,1st Feb 2018,30th Jun 2018,https://beeasy.io/en,,
Business services,,crypt on,3.75045,"Crypt-ON - a multiservice p2p platform to provide safe and secure transactions based on smart contracts. Besides the escrow service, the Crypt-ON ecosystem includes a p2p lending service, a crypto freelance marketplace and a p2p local crypto-exchange. Crypt-ON is aimed at a wide range of users — from beginner crypto-enthusiasts and freelancers to marketplaces and managers of blockchain projects. Using a variety of Crypt-ON services it will be easy to buy and sell goods, apply for loans, look for work or hire professionals and to exchange cryptocurrency for fiat. All operations of the platform users are stored in smart-contracts. Users’ reputation will be determined through the trust token smart-contract mechanism. All user actions, transactions results, reviews and etc. will affect their rating. In fact, a trust token is a cryptographically secure rating of the reliability/trustworthiness of each user in the Crypt-ON system and it is stored in a smart-contract. There is another security feature to protect our users: an independent arbitrage system which is getting more and more independent with the ongoing project’s development and eventually forming a full-fledged community where DAO delegates will act as judges. Creating a DAO on the foundation of the platform is an important task for the Crypt-ON team. Thus, many of the tasks associated with developing a platform, improving functionality, increasing the user base and managing legal issues will be performed by the community itself. The mission of the Crypt-ON project is to create a global workspace for reliable and mutually beneficial cooperation of cryptousers all over the world. I-Point token (IPT) is an utility token, a universal way for settlements of any transaction on the p2p platform Crypt-ON. Also, using of IPT provides a 50% discount on fee services, insurance of trades, access to hiring through the crypto freelance marketplace and rapid growth of user rating.",IPT,31st Oct 2018,21st Jan 2019,https://crypt-on.io,Cyprus,https://drive.google.com/file/d/1ItcfVNhOnSiXhRlf-OIAjZDSnfJuIS66/view
Business services,,esperantoken,,"Blockchain powered global marketplace & loyalty points wallet, Where any consumer can trade, exchange and share their loyalty points globally, convert them into cash or services and trade them with other loyalty points holders.",ESRT,1st Jan 2018,31st May 2019,https://esperantoken.com,Cyprus,https://esperantoken.com/wp-content/uploads/2018/03/EsperanToken-Whitepaper.pdf
Business services,,even,,"EVEN - decentralized exchange platform with high-speed functioning and advanced trading tools. It's available for everyone, developed and supported by EVEN Foundation company. With EVEN Platform’s liquidity and quality it is comparable with centralized professional services, still maintaining all the features of decentralization. In the basis of DEX there is an underlying distributed storage among master-nodes. All trading operations are registered in EVEN blockchain, this is performed by the usage of upgraded DPoS consensus algorithm. Protection of Money (PoM) algorithm and economy model provide required speed and security of the platform. This model protects all users from financial losses, volatility of EVEN’s rate, master-nodes’ unreliable operation, insufficiency of storage capacity. At the same time it keeps participants interested in working in line with protocol.",EVEN,4th Jun 2018,3rd Aug 2018,http://evenfound.org/en,Cyprus,http://evenfound.org/assets/files/EVEN_WhitePaper_EN.pdf
Business services,,Even,,"EVEN - decentralized exchange platform with high-speed functioning and advanced trading tools. It's available for everyone, developed and supported by EVEN Foundation company. With EVEN Platform’s liquidity and quality it is comparable with centralized professional services, still maintaining all the features of decentralization. In the basis of DEX there is an underlying distributed storage among master-nodes. All trading operations are registered in EVEN blockchain, this is performed by the usage of upgraded DPoS consensus algorithm. Protection of Money (PoM) algorithm and economy model provide required speed and security of the platform. This model protects all users from financial losses, volatility of EVEN’s rate, master-nodes’ unreliable operation, insufficiency of storage capacity. At the same time it keeps participants interested in working in line with protocol.",EVEN,4th Jun 2018,3rd Aug 2018,http://evenfound.org/en,Cyprus,http://evenfound.org/assets/files/EVEN_WhitePaper_EN.pdf
Business services,,fintab,0.503184,"FinTab is an accounting system for cryptocurrency portfolios. Keep a record of cryptocurrencies and analyze the current state of your funds on various exchanges and e-wallets with the help of our system. Besides, we already have a working beta-version of our service. FinTab is a SaaS product with paid services. The cost for the service for the Pro"" and ""Manage"" accounts will be fixed in USD"," but payment is accepted in FinTab tokens (FNTB). In addition there are other interactions that perfectly complement our system: P2P interaction: traders could sell the information about their crypto-portfolio through our system. In addition the rating of best traders will be compiled. Advertising platform: placement and display of advertising will be held decentralized: each user can enable or disable ads. For the ads view the user obtains tokens from the advertisers. Analytical system and recommendations for trade using Artificial Intelligence.""",FNTB,10th Dec 2017,30th Jan 2018,https://fintab.io,
Business services,,hashhive,,"Cloud mining – it is a process of extracting of crypto currency, using remote data center, where you can receive income without big risks when investing, to be exact, extracting of crypto currency on equipment installed remotely.",CELL,20th Nov 2017,19th Dec 2017,https://hashhive.io,,
Business services,,jincor,,"Jincor is a platform which will allow any business to work with smart contracts and cryptocurrency payments easily with no legal, technical or operational complications and in a cost-efficient manner. While existing solutions offer to solve just one problem at the time, their team build products, that will include smart contracts constructor, cryptocurrency payments, and even digital jurisdiction to work out the right judgements on unclear matters in smart contracts.",JCR,15th Nov 2017,31st Jan 2018,https://ico.jincor.com,,
Business services,,kvantor,2.752,"The KVANTOR platform raises your deals to a new level and provides freedom of relations between economic entities, going beyond traditional payment channels and eliminating intermediaries. Clients of the KVANTOR platform are banks, raw material manufacturers and traders. Marketplace for commodity trading: Direct settlements (bypassing traditional channels), digital guarantees, factoring, other opportunities based on blockchain and smart contracts Enhancement of banking systems with an ability to operate financial instruments based on blockchain technology Mutual settlements without SWIFT and burdensome control.",KVT,27th Aug 2018,10th Oct 2018,https://kvantor.com/en,Cyprus,https://kvantor.com/docs/whitepaper_en.pdf
Business services,,scrinium,6,"Scrinium is a decentralised blockchain-based portfolio investment platform that operates using smart contracts. It solves several widespread investors problems: 1) Amount of knowledge and analytics skills required for trading is hard to keep up with, 2) Copy trading presents a user with significant level of risks and investment loss and don’t guarantee profits, 3) Several intermediaries participation and centralised schemes of trading result in low profit from archaic forms of investments.",SCR,11th Feb 2018,11th Mar 2018,http://scrinium.ai?utm_source=iсobench.com&utm_medium=listing,,
Casino & Gambling,,pbet,0.25,"The PBET project is a unique innovation that addresses the convergence between physical and online gaming through a Unified Gaming Platform. PBET generates synergies between these two channels while integrating crypto-currencies instant payments and combining partners in a unique token based Reward Club.",PBET,5th Aug 2019,31st Oct 2019,https://pbet.io,Cyprus,https://pbet.io/documents/pbet-white-paper-2019-1.pdf
Communication,,irbis network,,"SC Telecom develops the blockchain network for the Irbis Network and conducts IEO to attract investments. Irbis Network is a decentralized network created by SC Telecom. It serves the purpose of combining telecom, messengers, VoIP, Internet-of-Things (IoT), and 5G network technologies with encryption and routing technologies based on a decentralized infrastructure. Blockchain technology eliminates a large number of vulnerabilities that are contained in the SS7/GSM protocol. These vulnerabilities are critical from the standpoint of data security and privacy. The protocol is technically adapted to work with communication channels/gateways, messengers, sensors and payment solutions. The first applications are formed from SC Telecom products and will be launched as DApps after the conclusion of IEO and the launch of the Irbis Network. IBS Token is a service coin with clear meaning that circulates in the SafeCalls ecosystem.",IBS,1st Aug 2019,31st Dec 2019,https://irbis.network,Cyprus,https://safecalls.io/ieo/docs/SCTelecomWPv1.2.pdf
