cat1,cat2,name,raised,desc,ticker,start,end,www,whitepaper,reason,lifetime,author,link
singapore,,oneroot,,"Concept and applications based on the blockchain technology are disrupting and transforming the traditional economy and will eventually form a new comprehensive and efficient system. ONEROOT aims to make use of the immutability, transparency and traceability of blockchain while embracing values of decentralization and shared economy to build a network of value that better fits with the characteristics of distributed network and tokenization of assets. Upholding the ideals of sharing and co-operation, our team provides infrastructures for digital assets and co-builds an ecosystem in conformity with characteristics of decentralization, fastening this migration of value.",RNT,5th Dec 2017,4th Jan 2018,https://www.oneroot.io/en,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
UK,,bitrent,14.62721,"BitRent platform enables every individual on Earth invest and own any commercial and residential property item. We make buying hotels, businesses and shopping centers affordable to everyone.",RNTB,1st Dec 2017,31st Mar 2018,http://bitrent.io/,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
estonia,,vlb,,"VLB Tokens streamline the $1.8 trillion vehicle lifecycle industry. Vehicle Lifecycle Blockchain creates cost saving and operations optimization opportunities for auto industry players. Value of these opportunities exceeds the value of VLB Tokens at ICO by multiple orders of magnitude. Vehicle Lifecycle Blockchain will ultimately be fully decentralized and will be deployed by CarFix in cooperation with QIWI Blockchain Technologies (NASDAQ: QIWI) CarFix, the issuer of VLB Tokens, is a transaction platform that is reshaping one of the largest consumer industries in the world – auto sale, repair & maintenance. CarFix, just after 18 months since creation, has already brought a significant degree of order and transparency into the industry. CarFix has developed and implemented software that establishes algorithm based final fixed prices for all key repair and maintenance works. CarFix has support of institutional investors.",VLB,12th Mar 2018,9th Apr 2018,http://vlb.io,,Failed ICO, 2017-2018, Oskar Hartmann, https://www.coinopsy.com/dead-coins/vlb-token/
estonia,,cryptaldash,15.287911,"CryptalDash is a robust crypto exchange and trading platform. Equipped with institutional grade matching engine and third party crypto exchanges order routing capabilities. All located under one Dashboard.",CRD,19th Apr 2018,19th Jun 2018,https://www.cryptaldash.com,,Failed ICO, 2017-2017, George Powell, https://www.coinopsy.com/dead-coins/carderion/
russia,,truedonate,,"TrueDonate is a decentralized ecosystem, it allows social entrepreneurs, community groups, non-profit organizations and individuals to share social ideas, create projects and gather funds.",TDN,1st Dec 2017,15th Jan 2018,https://truedonate.io,,Failed ICO, 2017-2018, Roman Sirota, https://www.coinopsy.com/dead-coins/truedonate/
UK,,mcoin,,"mCoin is a unique, inclusive cryptocurrency, available with or without the Internet (hybrid).mCoin creates a financially inclusive opportunity for unbanked people and businesses. Together with ONEm applications, mCoin will generate more economic activities with transaction records. These records will establish a trusted credit history for everyone. Having a credit history is a step towards micro-financing in emerging markets. mCoin is a cryptocurrency based on Bitcoin technology. The main difference is that mCoin doesn't need access to the Internet. Half of the world's population doesn't have Internet and can't access a cryptocurrency. Of these, 1.7 billion can use mCoin on their mobile, even though they don't have data.",MCN,16th Apr 2018,7th Jul 2018,https://mcoin.onem.com,,Failed ICO, 2017-2018, Denis Kozik, https://www.coinopsy.com/dead-coins/admine/
UK,,africunia,2.5,"AFRICUNIA is introducing an innovative banking model that allows the use of digital currency without hurdles, risks and technical barriers linked with owning, transferring, and trading in cryptocurrencies and tokens.",AFCASH,1st Jan 2018,31st May 2018,https://africunia.com/,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
cyprus,,forever has fallen,,"Forever Has Fallen is a global transmedia game, with an online/offline economy to utilise Forever Coin utility tokens; underpinned by a business model for generating multiple sources of revenues, including FIAT currencies. The strategic use of the total token supply enables funding to complete the game and to provide support for the utility token when the game is launched. The game token sale event offers 35% of the total token supply at 1ETH = 10,000 Forever Coin (FC), for a hard cap of 35,000ETH. Purchasing the game token provides player rights and privileges in the game. The funds generated will complete the global experience-game, along with marketing towards gamers in an uncontested market space. The business plan has strategies to meet variations in ETH values, in order to go to market with a world class game/service offering.",FC,8th May 2018,19th Jun 2018,https://www.foreverhasfallen.com,Australia,https://foreverhasfallen.com/assets/fhf_whitepaper.pdf,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
USA,,coinlion,7.0,"CoinLion is the industry solution for managing the complex jungle of trading digital assets. We believe trading digital currency should be a rewarding process. CoinLion empowers investors of digital currencies to exchange and trade under one portfolio management platform while providing market research and analytics to enable the execution of smart, controlled and disciplined trading strategies. CoinLion users can earn LION in the form of many community incentives, and for sharing portfolios, research, and strategies with users. In a rapidly expanding market with no simple solution, CoinLion users enjoy access to a dedicated customer service team devoted to answering your questions and keeping up with evolving regulatory and compliant standards. You buy and sell digital currency, CoinLion does the rest.",LION,18th Dec 2017,25th Feb 2018,https://coinlion.com,,Failed ICO, 2017-2018, Max Elistratov, https://www.coinopsy.com/dead-coins/4lions/
russia,,beefcoin,,"Restaurant business in Moscow is experiencing great growth, especially those with natural organic food. Therefore, it was decided to expand our working model in green business to raise additional funds. We are accomplishing this by launching a Token Sale using crypto-currency and blockchain technology. Tokens will be issued with name BeefCoin (BEEF). There will also be bonus tokens with name BeefGold.",BEEF,1st Jan 2018,31st Mar 2018,http://beefcoin.org,,Failed ICO, 2017-2018, Hamir Modhwadia, https://www.coinopsy.com/dead-coins/beesocials/
australia,,shping,6.631311,"With Shping, it’s our goal to help consumers make safer, more informed decisions about the products they buy. Now they can also access information about any product just by scanning a barcode, to discover exactly what it’s made of, where each ingredient is from, whether it is certified and for some products, if it’s authentic.",SHPING,22nd Feb 2018,23rd Mar 2018,https://tokensale.shping.com,Australia,https://tokensale.shping.com/assets/shping_coin_whitepaper.pdf,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
switzerland,,dav,18.559653,"DAV is a blockchain-based transportation protocol that enables a decentralized, peer to peer, global transportation network. Our underlying infrastructure enables vehicles to discover, communicate, and transact with one another using DAV tokens. DAV’s advisors and team comes from some of the best brands in the world, including several Ethereum veterans, the former CTO at General Motors, Nasa astronauts, and additional executives from the likes of SAP, UPS, Equinix, IBM, Cisco, and Google. We've been acknowledged with ratings exceeding 90% from top reviewers such as TheGobOne and Rocket Fuel Capital, and have been featured in Forbes Magazine, VICE, and CoinDesk. We already have several working prototypes with partners across the transportation industry and are launch.",DAV,11th Jun 2018,25th Jun 2018,https://dav.network,,Scam/Premine, 2017-2018, Unknown , https://www.coinopsy.com/dead-coins/davorcoin/
USA,,medchain,0.467396,"MedChain's mission is to use blockchain technology to establish a better, more secure and transparent framework for Electronic Medical Records (EMR) that vastly improves the quality of care for patients while reducing healthcare providers' costs. This allows companies and individuals to build software and applications within a globally compliant framework facilitating secure storage and transparency. MedChain is offering a blockchain and distributed storage solution for Electronic Medical Records (EMR) and electronic Protected Health Information (ePHI). The MedChain Network (MCN) is an extensible, layered architecture and protocol system governed and secured by multiple blockchains that utilize a multi-crypto-token framework.",MDX,28th Dec 2017,30th Apr 2018,http://medchain.us,,Failed ICO, 2017-2018, Denis Kozik, https://www.coinopsy.com/dead-coins/admine/
