cat1,cat2,name,raised,desc,ticker,start,end,www
failed ico,,BBC,1,2017-2017,BBC,"","",https://www.coinopsy.com/dead-coins/battle-ball/,
failed ico,,DIGI,1,2017-2017,DIGI,"","",https://www.coinopsy.com/dead-coins/digi-token/,
abandoned coin,,ZRC,1,2015-2017,ZRC,"","",https://www.coinopsy.com/dead-coins/ziftrcoin/,
scam management,,FRST,1,2016-Current,FRST,"","",https://www.coinopsy.com/dead-coins/firstcoin/,
abandoned project,,BILS,1,2014-2017,BILS,"","",https://www.coinopsy.com/dead-coins/bilshares/,
abandoned,,10MT,1,2017-2018,10MT,"","",https://www.coinopsy.com/dead-coins/10m-token/,
failed ico/abandonment,,CDT,1,2017-2018,CDT,"","",https://www.coinopsy.com/dead-coins/cryder/,
volume/swap,,SDC,1,2014-2018,SDC,"","",https://www.coinopsy.com/dead-coins/shadowcash/,
abandoned token,,IPY,1,2017-2018,IPY,"","",https://www.coinopsy.com/dead-coins/infinity-pay/,
failed ico,,BBX,1,2017-2018,BBX,"","",https://www.coinopsy.com/dead-coins/blockbits/,
volume/website,,SDP,1,2015-2018,SDP,"","",https://www.coinopsy.com/dead-coins/sydpak/,
failed ico,,AAA,1,2017-2017,AAA,"","",https://www.coinopsy.com/dead-coins/abab/,
scam ring/abandoned,,DIGIFEL,1,2018-2018,DIGIFEL,"","",https://www.coinopsy.com/dead-coins/digifel/,
scam/abandonment,,AC,1,2014-2018,AC,"","",https://www.coinopsy.com/dead-coins/asiacoin/,
scam program,,BCC,1,2017-Current,BCC,"","",https://www.coinopsy.com/dead-coins/bitconnect/,
twin blockchain,,RBX,1,2017-Current,RBX,"","",https://www.coinopsy.com/dead-coins/ripto-bux/,
possible scam,,BTBc,1,2017-2018,BTBc,"","",https://www.coinopsy.com/dead-coins/bitbase/,
abandoned project,,DGCS,1,2015-2018,DGCS,"","",https://www.coinopsy.com/dead-coins/digital-credits/,
abandoned coin,,AM,1,2014-2016,AM,"","",https://www.coinopsy.com/dead-coins/aerome/,
failed ico,,B1,1,2017-2017,B1,"","",https://www.coinopsy.com/dead-coins/be-one/,
abandoned project,,BTCA,1,2017-Current,BTCA,"","",https://www.coinopsy.com/dead-coins/bitair/,
abandoned project,,GMX,1,2016-Current,GMX,"","",https://www.coinopsy.com/dead-coins/goldmaxcoin/,
failed ico,,RCH,1,2016-2017,RCH,"","",https://www.coinopsy.com/dead-coins/rich-coin/,
website/wallet issues,,MILO,1,2017-2018,MILO,"","",https://www.coinopsy.com/dead-coins/milocoin/,
failed ico,,LION,1,2017-2018,LION,"","",https://www.coinopsy.com/dead-coins/4lions/,
closed down,,CFD,1,2017-2018,CFD,"","",https://www.coinopsy.com/dead-coins/confido/,
volume/social,,BTWTY,1,2017-2018,BTWTY,"","",https://www.coinopsy.com/dead-coins/bit20/,
no traction,,BIOB,1,2017-Current,BIOB,"","",https://www.coinopsy.com/dead-coins/biobar/,
closed down,,ARCH,1,2014-2017,ARCH,"","",https://www.coinopsy.com/dead-coins/archcoin/,
failed ico,,FLN,1,2017-2017,FLN,"","",https://www.coinopsy.com/dead-coins/folio-ninja/,
abandoned/volume,,J,1,2014-2018,J,"","",https://www.coinopsy.com/dead-coins/joincoin/,
failed ico,,DFBT,1,2017-2017,DFBT,"","",https://www.coinopsy.com/dead-coins/Dentalfix/,
failed ico,,FLR,1,2017-2018,FLR,"","",https://www.coinopsy.com/dead-coins/florio/,
failed ico,,VLB,1,2017-2018,VLB,"","",https://www.coinopsy.com/dead-coins/vlb-token/,
wallet issues,,BITOK,1,2017-2018,BITOK,"","",https://www.coinopsy.com/dead-coins/bitok/,
no volume,,ABN,1,2016-2018,ABN,"","",https://www.coinopsy.com/dead-coins/abncoin/,
website inactive,,C2,1,2014-Current,C2,"","",https://www.coinopsy.com/dead-coins/coin2/,
abandoned project,,SFC,1,2016-2018,SFC,"","",https://www.coinopsy.com/dead-coins/solarflarecoin/,
failed/scam ico,,BT,1,2017-2017,BT,"","",https://www.coinopsy.com/dead-coins/baochain/,
failed ico,,ABT,1,2017-2018,ABT,"","",https://www.coinopsy.com/dead-coins/abt/,
failed ico,,FLZ,1,2016-2018,FLZ,"","",https://www.coinopsy.com/dead-coins/flipz/,
social/volume,,ICOO,1,2016-2018,ICOO,"","",https://www.coinopsy.com/dead-coins/ico-openledger/,
no updates,,SOIL,1,2015-Current,SOIL,"","",https://www.coinopsy.com/dead-coins/soilcoin/,
abandoned project,,TCOIN,1,2016-Current,TCOIN,"","",https://www.coinopsy.com/dead-coins/t-coin/,
failed swap/volume,,BTCR,1,2016-2018,BTCR,"","",https://www.coinopsy.com/dead-coins/bitcurrency/,
issues/abandonment,,CC,1,2015-2018,CC,"","",https://www.coinopsy.com/dead-coins/cybercoin/,
deleted websites,,XPY,1,2014-Current,XPY,"","",https://www.coinopsy.com/dead-coins/paycoin/,
failed ico,,BEE,1,2017-2018,BEE,"","",https://www.coinopsy.com/dead-coins/beesocials/,
social/volume,,ISL,1,2015-2018,ISL,"","",https://www.coinopsy.com/dead-coins/islacoin/,
failed/premine,,ETHCA,1,2017-2018,ETHCA,"","",https://www.coinopsy.com/dead-coins/ethcash/,
failed ico,,FML,1,2017-2018,FML,"","",https://www.coinopsy.com/dead-coins/flying-money/,
failed ico,,ACF,1,2017-2017,ACF,"","",https://www.coinopsy.com/dead-coins/art-coin/,
no volume,,ACN,1,2016-2018,ACN,"","",https://www.coinopsy.com/dead-coins/avoncoin/,
low volume,,KARMA,1,2014-2018,KARMA,"","",https://www.coinopsy.com/dead-coins/karmacoin/,
abandoned/volume,,REC,1,2017-Current ,REC,"","",https://www.coinopsy.com/dead-coins/regalcoin/,
abandoned project,,JOBS,1,2016-Current,JOBS,"","",https://www.coinopsy.com/dead-coins/jobscoin/,
closed/abandoned,,BIOS,1,2015-2018,BIOS,"","",https://www.coinopsy.com/dead-coins/bioscrypto/,
abandoned token,,EGAS,1,2017-2018,EGAS,"","",https://www.coinopsy.com/dead-coins/ethgas/,
quickie,,FNC,1,2017-2018,FNC,"","",https://www.coinopsy.com/dead-coins/fincoin/,
voting scam,,ELC,1,2017-2017,ELC,"","",https://www.coinopsy.com/dead-coins/electionchain/,
swapped to xsn,,POSW,1,2017-2018-Swap,POSW,"","",https://www.coinopsy.com/dead-coins/posw-coin/,
failed ico,,STUB,1,2017-2017,STUB,"","",https://www.coinopsy.com/dead-coins/tokenstub/,
low volume,,ADL,1,2017-Current,ADL,"","",https://www.coinopsy.com/dead-coins/adelphoi/,
abandoned,,ADN,1,2014-2015,ADN,"","",https://www.coinopsy.com/dead-coins/aiden/,
failed ico,,ADO,1,2017-2017,ADO,"","",https://www.coinopsy.com/dead-coins/agadro/,
pump and dump,,EMB,1,2017-2017,EMB,"","",https://www.coinopsy.com/dead-coins/embercoin/,
failed/scam ico,,ALLOY,1,2017-2018,ALLOY,"","",https://www.coinopsy.com/dead-coins/alloycoin/,
scam/abandonment,,JWL,1,2016-Current,JWL,"","",https://www.coinopsy.com/dead-coins/jewels/,
abandoned/removed,,PBS,1,2018-2018,PBS,"","",https://www.coinopsy.com/dead-coins/phobos/,
scam/failed ico,,DROPS,1,2017-2017,DROPS,"","",https://www.coinopsy.com/dead-coins/droplex/,
missing info,,EMP,1,2017-2017,EMP,"","",https://www.coinopsy.com/dead-coins/emoneypower/,
scam ico,,UMC,1,2017-2018,UMC,"","",https://www.coinopsy.com/dead-coins/umbrella-coin/,
scam ico,,DNTX,1,2017-2018,DNTX,"","",https://www.coinopsy.com/dead-coins/dentix/,
scam coin,,SCRT,1,2015-Current,SCRT,"","",https://www.coinopsy.com/dead-coins/secretcoin/,
abandoned token,,TRMB,1,2015-2017,TRMB,"","",https://www.coinopsy.com/dead-coins/trmb/,
volume/abandoned,,MSCN,1,2017-2017,MSCN,"","",https://www.coinopsy.com/dead-coins/master-swiscoin/,
abandoned token,,FRWC,1,2017-2018,FRWC,"","",https://www.coinopsy.com/dead-coins/frankywillcoin/,
scam coin,,XYOC,1,2017-2018,XYOC,"","",https://www.coinopsy.com/dead-coins/yocoin-classic/,
instamine scam,,ENE,1,2016-2017,ENE,"","",https://www.coinopsy.com/dead-coins/enecoin/,
volume/abandonment,,FC,1,2017-2018,FC,"","",https://www.coinopsy.com/dead-coins/facecoin/,
abandoned,,BIGUP,1,2015-Current,BIGUP,"","",https://www.coinopsy.com/dead-coins/bigup/,
abandoned project,,GRN,1,2014-2017,GRN,"","",https://www.coinopsy.com/dead-coins/granite/,
abandoned/removed,,HARC,1,2018-2018,HARC,"","",https://www.coinopsy.com/dead-coins/hashrentalcoin/,
pump and dump,,UNF,1,2016-2017,UNF,"","",https://www.coinopsy.com/dead-coins/unfed/,
developer abandoned,,PDG,1,2016-2018,PDG,"","",https://www.coinopsy.com/dead-coins/pinkdog/,
pump and dump,,DASHS,1,2017-2018,DASHS,"","",https://www.coinopsy.com/dead-coins/dashs/,
failed ico,,VPY,1,2017-2018,VPY,"","",https://www.coinopsy.com/dead-coins/vanillaplay/,
development stopped,,RIDE,1,2017-2018,RIDE,"","",https://www.coinopsy.com/dead-coins/ride-my-car/,
abandoned project,,PIZZA,1,2016-Current,PIZZA,"","",https://www.coinopsy.com/dead-coins/pizzacoin/,
abandoned project,,MONETA,1,2015-Current,MONETA,"","",https://www.coinopsy.com/dead-coins/moneta/,
abandoned/removed,,MOUSE,1,2018-2018,MOUSE,"","",https://www.coinopsy.com/dead-coins/mousecoin/,
failed/scam ico,,BREM,1,2017-2018,BREM,"","",https://www.coinopsy.com/dead-coins/brem/,
failed ico,,TMC,1,2017-2018,TMC,"","",https://www.coinopsy.com/dead-coins/team-coin/,
abandoned coin,,QORA,1,2014-2018,QORA,"","",https://www.coinopsy.com/dead-coins/qora/,
abandoned project,,PAYP,1,2016-2017,PAYP,"","",https://www.coinopsy.com/dead-coins/paypeer/,
failed token,,LEAF?,1,2017-2018,LEAF?,"","",https://www.coinopsy.com/dead-coins/bitraiser/,
scam ring,,SANDG,1,2015-Current,SANDG,"","",https://www.coinopsy.com/dead-coins/save-and-gain/,
failed ico,,RIL,1,2017-2018,RIL,"","",https://www.coinopsy.com/dead-coins/rilcoin/,
scam coin,,BITSUPRA?,1,2015-2018,BITSUPRA?,"","",https://www.coinopsy.com/dead-coins/bitsupra/,
volume/social,,FRC,1,2013-2016,FRC,"","",https://www.coinopsy.com/dead-coins/freicoin/,
failed ico,,TMT,1,2017-2017,TMT,"","",https://www.coinopsy.com/dead-coins/tothemoon/,
pump and dump,,WSX,1,2014-Current,WSX,"","",https://www.coinopsy.com/dead-coins/wearesatoshi/,
abandoned/removed,,FRM,1,2018-2018,FRM,"","",https://www.coinopsy.com/dead-coins/ferrum-coin/,
website redirects,,G3N,1,2015-Current,G3N,"","",https://www.coinopsy.com/dead-coins/genstake/,
abandoned/delisted,,XVC,1,2015-Current,XVC,"","",https://www.coinopsy.com/dead-coins/vcash/,
failed/scam ico,,AHT,1,2017-2018,AHT,"","",https://www.coinopsy.com/dead-coins/ahoolee/,
deleted socials,,BITZ,1,2015-Current,BITZ,"","",https://www.coinopsy.com/dead-coins/bitz/,
abandoned,,HZ,1,2014-2017,HZ,"","",https://www.coinopsy.com/dead-coins/horizon/,
no exchanges ico,,ARIB,1,2017-2018,ARIB,"","",https://www.coinopsy.com/dead-coins/arib/,
low volume,,SLM,1,2015-2017,SLM,"","",https://www.coinopsy.com/dead-coins/slimcoin/,
failed ico,,ABIO,1,2017-2018,ABIO,"","",https://www.coinopsy.com/dead-coins/abio-coin/,
no volume,,TSTR,1,2017-2018,TSTR,"","",https://www.coinopsy.com/dead-coins/tristar-coin/,
website dead,,FAZZ,1,2014-Current,FAZZ,"","",https://www.coinopsy.com/dead-coins/fazzcoin/,
no activity,,KUSH,1,2017-Current,KUSH,"","",https://www.coinopsy.com/dead-coins/kushcoin/,
abandoned/scam,,DTCT,1,2017-2018,DTCT,"","",https://www.coinopsy.com/dead-coins/detectortoken/,
possible abandonment,,AIO,1,2017-2018,AIO,"","",https://www.coinopsy.com/dead-coins/aio-coin/,
website redirects,,BENJI,1,2016-Current,BENJI,"","",https://www.coinopsy.com/dead-coins/benjirolls/,
