cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Art,,imusify,1.607008,"imusify is an award-winning music platform that is reinventing the global music industry in order to liberate music makers, music fans, and music entrepreneurs. Let imusify help you find your creative voice, build a loyal following, discover great music, and reward your contribution. IMU tokens are used as the engine to support imusify’s multi-layered, decentralized music economy. This will create an immense potential value for the token’s use throughout imusify’s infiltration into the industry. Through our smart reward and compensation system, ϑ IMU is either rewarded for contribution to the platform, or used as a currency for exchanging digital assets and services. By establishing trust and transparency between artists, supporters, fans, and industry service providers; a vibrant ecosystem emerges.",IMU,1st Apr 2019,31st May 2019,https://www.imusify.com,Estonia,https://imusify.com/whitepaper.pdf
Art,,photochain,,"Photochain revolutionizes the status quo of photography trading. It is a decentralized, peer-to-peer image platform on blockchain with fair conditions, attractive incentivisation mechanisms, lowest fees in the market and full control over the content, price and license type for the photographer. On the IPFS Photochain database, each uploaded photo is linked to a photographer through a blockchain transaction. This link cannot be removed or manipulated in any way. Photochain is in the pole position and ready to disrupt the monopolized photography industry with a great, experienced and influential team and board of advisors. We recently won 3rd place in the ICO Pitch Competition at the Blockchain Leadership. Thanks to our attractive demo MVP, the judges could see envision exactly what the final product will look like in addition to what we will achieve for photographers. We are partnered with the highly rated Blockchain Zoo (top 3 blockchain consulting firm world wide).",PHT,8th Jan 2018,7th Sep 2018,https://photochain.io,Estonia,https://docs.google.com/document/d/1C4UPA9-9o2cOLJOEYMIVwN_Fi3Ebtn2YcRua58hQ7_0,,,,,,
Artificial Intelligence,,ai opinion,,"The technology designed by AI Opinion will be able to determine the type of nosology on any medical scan or image. The mission of the AI OPINION project is to provide people with affordable high quality diagnostic services worldwide that will lead to a significant increase in the number of people saved.AI OPINION will create an opened infrastructure that can be used by medical institutions, patients, and developers to upload new data and add new algorithms that will allow a continuous development and improvement of the system.",AIOP,1st Jul 2018,31st Aug 2018,http://aiopinion.org,Estonia,http://aiopinion.org/static/webapp/documents/AI-Opinion-White-Paper.36e1a3dc68b1.pdf,,,,,,
Artificial Intelligence,,aitheon,25.352867,"Aitheon intends to use AI and robotics to automate backend processes that are time consuming for businesses on a single, simple platform. Aitheon’s Miners will be “Specialists/Pilots” on computers to assist the robotics with tasks that they encounter. Depending on difficulty of tasks will reward the Miners with tokens for completing the task. Specialist for example will overlook papers that can’t be interpreted or a phone call with a heavy accent that may be hard to understand. Pilots, for example would assist in parking autodriving vehicles. These are few of the many tasks that will be allowed by specialists and pilots with our training. We also have a Creators program that enables creators worldwide to use our system to help develop new robotics and AI with assistance.",AIC,20th Apr 2018,5th Jun 2018,https://aitheon.com,,,,,,,,
Artificial Intelligence,,amon,1.3326,"Amon is an every-day Crypto debit card for everyone. It has a powerful multi-currency crypto wallet and state-of-the art artificial intelligence to provide the best value to the crypto holder in every-day purchases. Amon Card solves two existential problems with crypto spending: (1) Real time conversion, (2) Dealing with crypto volatility. We believe we have revolutionised and de-mystified crypto payments enabling Crypto spending in daily life!",AMN,4th Mar 2018,4th Apr 2018,https://amon.tech,,,,,,,,
Artificial Intelligence,,blueqbit,,"Over 80% of the world’s trade is moved by sea. Marine Industry by its nature involves cross-border transactions with the involvement of conspicuous paperwork and bureaucracy together with the slowdown in international payments. The blockchain introduces disruptive advancements: transparency, tractability, enhanced security and immutability. The blockchain technology offer for the first time in history a shared ledger of information globally distributed and globally accessible that found its logic on strong security that cannot be violated also by the decision of multiple Governments together. This new technology can cut many of the middle-man that slow down the business processes, and serve as the ground of a new digital revolution. Trust in data is fundamental in a world more and more based on computers and data, data that is growing exponentially during the years. Our solution will help achieve significant gains in efficiency and transparency.",24Car,1st Jan 2019,31st Aug 2019,https://www.blueqbit.club,Estonia,https://www.blueqbit.club/white-paper
Artificial Intelligence,,drivr network,,DRIVR is a new generation blockchain based startup that seeks to disrupt the big rideshare companies like Uber and Lyft with it's A.I. driven platform on the blockchain. It promises to give riders and drivers great new benefits.,DVR,6th Mar 2018,6th Apr 2018,https://drivr.network,,,,,,,,
Artificial Intelligence,,gana,,The medical and IT industries have already proven this by applying Watson from IBM and AlphaGo from Google. The apprehensions of applying AI are wide and involve drawing manipulated results from particular individuals and groups to applying social responsibility and ethics when AI endangers humankind after its application to the field of health and life. The resolution of the above mentioned social issues shall be achieved by applying blockchain technology to AI. GANA Technologies would like to achieve a solution to this social disquiet through applying blockchain technology to AI.,GANA,21st May 2018,21st Jul 2018,https://ganacoin.io,Estonia,https://cdn.ganacoin.io/wp/GANAwhitepaper_v2.1_eng.pdf,,,,,,
Artificial Intelligence,,parsiq,1.69891,"PARSIQ’s ultimate goal is to push forward the mass adoption of blockchain technology by helping cryptocurrency businesses to keep up with regulatory compliance. We believe that there is still a dialogue that needs to be established between cryptocurrency businesses, banks and regulators. With PARSIQ we are making it easier to integrate blockchain infrastructures into existing businesses with an additional layer of security for blockchain-specific asset management. We want to give everyone the ability to understand and manipulate blockchain data streams.",PRQ,30th Sep 2019,30th Oct 2019,https://www.parsiq.io,Estonia,https://www.parsiq.io/whitepaper.pdf
Artificial Intelligence,,roobee,4.5,"Roobee is an investment platform that allows you to fund in any projects with an entry threshold of 10$: users can invest in IPOs, ETFs, the venture capital investment market, real estate, cryptocurrency assets and much more. This project at the was supported by crypto-whale on pre-IEO stage he invested 4.5mln$ in the development of the platform. MVP is already working - the total amount of transactions in the Roobee network exceeded 15 million dollars, all the evidence is on the site (roobee.io). The first round of IEO at Bitforex was closed in just over an hour, 100btc+ were raised. Thanks to the collected 4.5 million dollars, product is being developed and money in further IEO stages are raising for obtaining licenses and product scaling. During the second IEO on EXMO exchange, Roobee raised 300btc, noteworthy, that first 100 btc were sold in just 8 minutes.",ROOBEE,4th Jun 2019,7th Sep 2019,https://roobee.io,Estonia,https://roobee.io/docs/whitepaper_en.pdf
Artificial Intelligence,,smarthealthcare,,SmartHealthcareToday is the first person-centric decentralized healthcare eco-system integrating and processing health related data collected from different data sources. What is the problem? Currently people usually visit doctors when they already have problems with their health. Hospitals also face different problems such as lack of resources and information about patients. Our solution. We provide dynamic integration process for healthcare data collected directly from person (Peronal Health Records) and differnet hospitals (Electronic Health Records). Data collection is followed by data processing in the context of cross-organizational porcessses with the help of Ethereum smart contracts. Person has a better overview about his current health status and can easily send collected data for anonimous analysis performed by AI that results in different notifications. Also we connect doctors to create personalized guidelines for individuals. Stakeholders interested in anonimous medical data for researches are also part of the eco system and can buy data directly from the individuals. SHT tokens are based on the Ethereum blockchain and are used as internal currency in the eco-system.,SHC,12th Feb 2018,13th Mar 2018,https://smarthealthcare.today,,,,,,,,
