cat1,cat2,name,raised,desc,ticker,start,end,www,
Art,,pixinch,,"Pixinch is a project that aims to create a broadcast platform for Artists, Collectors and Art lovers. Pixinch is also a marketplace where anyone can collect and trade artworks from artists, worldwide. The mining factor at Pixinch is based on owning and exchanging artwork. Pixinch wants to create a new quote currency (Pixinch / PIN) for artists and artworks on the platform. Selling art worldwide need a free currency. The blockchain technology allows Pixinch to provide artists and collectors a decentralized way to register and deliver proof of ownership.",PIN,27th Feb 2018,13th Apr 2018,https://ico.pixinch.com,
Artificial Intelligence,,tresorio hub,,"Tresorio HUB is a transparent, decentralized, sustainable and scalable ecosystem, accessible through a cloud platform, our HUB Platform, allowing an easier access to computing resources. These resources will be used for various use cases such as blockchain mining, 3D rendering, Machine Learning model training, or complex scientific computations. The HUB platform will be powered by our Green Network’s clusters and smart-boilers, as well as computing resources made available from thousands of contributors through decentralized marketplaces. Our ambition is to create an efficient ecosystem, democratizing access to computing resources to all types of users. We aim at disrupting the centralized paradigm in Cloud Computing.",HUB,1st Dec 2018,31st Jan 2019,https://tresoriohub.io,https://www.tresorio.com/resources/en/White%20Paper%20-%20Tresorio%20HUB.pdf
Banking,,atisios,,"Thanks to an innovative & universal program, based on the block chain technology and using the latest technological advances. The Atisios program aims at substituting all existing loyalty programs in order to allow customers to get universal « loyalty’s points », in the form of crypto currency and biometric identification.",ATIS,1st Dec 2018,28th Feb 2019,http://atisios.io/en/atisios-crypto-currency-for-all,https://atisios.io/wp-content/uploads/2018/10/white-book-EN.pdf
Banking,,cryptonity,0.5,"Cryptonity is the combination of two words: Crypto and Community. Simple but strong and meaningful, our goal is to be an exchange that is respected by the Cryptocurrency Community. We aim at providing the most comprehensive, secure, transparent and collaborative exchange platform in the market. We want to bring good vibes to the Crypto World, breaking with the ‘only profit’ policy of most exchanges.",XNY,1st Nov 2018,31st Dec 2018,https://tokensale.cryptonity.io,https://tokensale.cryptonity.io/storage/Whitepaper_EN.pdf
Banking,,limonx,,"LimonX, formerly dépensersesbitcoins.com, is looking to make crypto-assets fungibility a reality. First with the help of gift cards usable in 500+ brands and stores, but also prepaid cards top ups, all over Europe since January 2018. In Q1 2020, LimonX will launch its own PoS network, on which will be deployed a marketplace allowing users to do peer-to-peer trading of goods and services with ease and security. It will also make it possible to use the network's native currency, LMXC, which has two properties : - Allowing users to benefit from cashback when using the currency within the ecosystem - Granting node operators a portion of the monetary issuance as a reward for securing the network. - LimonX will then develop bank as a service features in order to make crypto-assets fungibility even smoother and easier.",LMXC,1st Dec 2019,1st Jan 2020,https://limonx.io,France,https://drive.google.com/open?id=1BfASlf0qWTDC6XKD-fX1dBNU8WO01PBS
Banking,,monaize,,"Monaize is a European m-banking platform that provides a mobile-first current account for freelancers and small businesses. Using the latest technology, Monaize is the first platform to provide an instant KYB (Know Your Business) on-boarding process allowing users to create a business current account in less than five minutes with a smartphone.",MNZ,1st Sep 2018,31st Mar 2019,https://www.monaize.com/#/uk,France,https://www.monaize.com/#/uk/ico
Banking,,neurochain,25,"NeuroChain is an evolution of the Blockchain that integrates machine learning and AI to drastically improve the performance of distributed systems. It’s a technological platform specifically designed to carry collective AI applications .NeuroChain’s technology is based on years of extensive scientific research. It relies on 4 key concepts to go above and beyond the capabilities of Blockchain. Intelligent Applications: No smart contracts, which force you to lay down all the possible outcomes in advance. Intelligent applications, where AI is now embedded into the contract. NeuroChain’s architecture was designed to carry intelligent applications from the start. The scope of potential intelligent applications is endless. Reliability: NeuroChain favors quality over quantity, Intelligent bots over brute computer processing. Incredible Speed: Thousands of times faster than the regular Blockchain. Security : NeuroChain doesn’t rely on external validation. Crypto-currency: NCC",NCC,19th Mar 2018,15th Apr 2018,https://www.neurochaintech.io,
Banking,,winnest,4.776404,"Because the future lies in the convergence of services, Winnest offers you all the benefits of tomorrow's market today. Social marketplace, Winnest offers a global marketplace supported by a social economy that allows everyone to be rewarded for his contributions and have his visibility increased.",WNC,15th Nov 2018,4th Mar 2019,http://www.winnest.io,France,https://winnest.io/docs/WHITEPAPER-ENGLISH.pdf
Big Data,,zynecoin,,"Zynecoin is a blockchain system created with the aim of supporting and rewarding talented innovators and entrepreneurs throughout Africa. To ensure maximum security, Zynecoin’s smart contracts are backed by Ethereum’s well-established blockchain system.",ZYN,25th Jan 2019,27th Jun 2019,https://zynecoin.io,France,https://zynecoin.io/wp-content/uploads/2019/01/wpz.pdf
Business services,,btu protocol,5.5,"Booking Token Unit (BTU) protocol is a standardized building block for any decentralized application (dApp) or web site willing to implement booking features for their end-users. The BTU protocol also brings interoperability among decentralized applications that incorporate it. BTU protocol is currently under standardization in the Ethereum ecosystem as ERC-808. BTU token will be an ERC20 token running the protocol. All platforms implementing the BTU protocol would benefit from a hybrid approach combining an on-chain smart contract and off-chain software components, providing more scalability. A transparent and public inventory enabled by an open-source protocol would considerably lower the entry barriers to many internet booking markets.",BTU,7th Jun 2018,30th Jun 2018,https://www.btu-protocol.com/en,
