cat1,cat2,name,raised,desc,ticker,start,end,www,,
Art,,authoreon,1.5,"The Authoreon A-ID enables you to verify, authorize, authenticate or certify any identity or asset – fast, seamlessly and securely on the Blockchain.",AUN,19th Aug 2017,31st Dec 2017,https://www.authoreon.io,Germany,https://www.authoreon.io/Authoreon-Whitepaper.pdf
Art,,multra,0.1,"Millions of people read news on a daily basis. The MulTra News App pays readers for reading news. At the same time, news publishers earn substantial revenues. The news industry is in decline. While music and movie distributors like Spotify and Netflix have established successful subscription-based revenue models, news publishers did not replicate their success yet. MulTra Tokens ensure news content monetization. The MulTra News App is a blockchain-powered news aggregator that uses AI to consolidate news based on readers' interests into an all-in-one, personalized experience. Mass adoption of MulTra Token is ensured because it’s the first cryptocurrency for millions of people entering the crypto world for the first time by simply reading news.",MTT,9th Jun 2018,9th Jul 2018,https://www.multra.io,,
Artificial Intelligence,,coin analyst,,"CoinAnalyst is an information and analysis platform for all cryptocurrencies and ICOs worldwide. Purchase and sale decisions can be made on the basis of valid data and intelligent analyses. This enables the user to identify opportunities and risks and react promptly and proactively to price fluctuations. The application thus creates a high degree of transparency when it comes to operating in this new and volatile market.",COY,7th Jul 2018,31st Mar 2019,https://www.coinanalyst.tech,Germany,https://www.coinanalyst.tech/whitepaper
Artificial Intelligence,,faima,,"FAIMA is a company which develops applications for mobile devices and PCs. The application will diagnose diseases, identify their possible causes and provide primary recommendations for patient treatment and disease prevention. Our goal is to make medicine more accessible to everyone, witch can be achieved by automating and simplifying the process of diagnosing diseases, as well as improving the quality and speed of medical care. All this is possible with the creation and training of artificial intelligence (AI). FAIMA is a multilanguage app that is why the communication with AI will be accessible for everyone. By using of blockchain technology it will be possible to pay for services and for training artificial neural network.",MEDS,1st Apr 2018,1st May 2018,https://faima.ai,,
Artificial Intelligence,,hox,,"We have built Hugo and HUP apps for earning by sharing happiness of HOX We investigated that dating apps which are blended with lovelessness and insincerity give people some hope and many frustrations. That is why we have put forward the idea of Hugo App and HOX that allow real hugs and donation campaigns. These activities are crowned with discounts at the meeting points and rewards to be made by the app. HOX is an ERC20 token that performs Hugo app functions. Fuel of Hugo App (Membership level, event, donation, transaction, send-receive commissions) Reward Mediator (Event, donation, referral rewards) Heartwarming Currency (Donation, send-receive) Tradable Value (Exchange) Donation Tool (UNICEF & UNESCO donations)",HOX,1st Jul 2019,23rd Aug 2019,https://hugoxytocin.io,Germany,https://hugoxytocin.io/doc/whitepaper.pdf
Artificial Intelligence,,iamhero,,I AM HERO is a career platform. Connecting people and companies in a smarter way through our AI algorithms. We don’t match jobs to people - We match jobs to personalities,IAHC,17th Apr 2018,17th May 2018,https://iamhero.io/ico,,
Artificial Intelligence,,inbot intoken,,"InToken is a cryptocurrency for business referrals and introductions. Inbot Ambassador is a global community of over 46,000 ambassadors in 161 countries. Our members help companies get introduced to customers worldwide. Our People Graph AI finds the person who can best introduce you to the customer. The graph currently covers over 7 million people. We piloted the community during 2017 with fiat currencies, growing our revenue to 6 figures, and proved our model. Businesses purchase InTokens, which are ERC-20 tokens, to offer them as rewards to the community members for their referrals and introductions. Our community members can also earn long term income by helping companies that participate our InShare program. InShares pay InTokens as dividends on monthly basis.",InToken,8th Aug 2018,8th Sep 2018,https://inbot.io,Germany,https://docs.google.com/document/d/12siRqjuHIHelPS-NaVVZxnq4AJ1hGlDXoGo6DeVw51U/edit?usp=sharing
Artificial Intelligence,,servadvisor,,"Revolutionary approach leveraging benefits of blockchain technology and providing direct connection between retailers, service providers and users. ServAdvisor is on the verge of revolutionizing the way we consume services by bringing customer experience to a new level due to a combination of Augmented Reality (AR), Artificial Intelligence (AI) and customer incentivized review platform. Key platform advantage is that service consumers around the world will be rewarded for sharing accurate information and high quality reviews about consumed services whereas retailers\ service providers will have a direct access to potential consumers, literary standing at their doors. Award motivated users are more likely to write a review as soon as the service was consumed, thus significantly increasing the number of total unique personalized reviews. At the same time majority of such reviews tend to be positive. Whereas standard approach is that `not award motivated` service consumers will rather wright a review on most popular sites (i.e. tripadvisor, google, yelp etc.) only when they are not satisfied with the service. Dissatisfaction is the only review motivation for many service consumers. At the same time, satisfied service consumers are not personally motivated to place a review. As a result, many retailers\ service providers have lower review scores than their real quality of service. Our mission is to change that trend. ServAdvisor aims to create a real time constantly updated and maintained worldwide platform of trustworthy, accurate, and helpful retailers\ service providers information and recommendations. ServAdvisor also aims to build a database of service consumers habits and preferences from which artificial intelligence can provide each individual user with personalized unique recommendations that are adjusted specifically to them. With artificial intelligence based recommendations and blockchain based high quality information, ServAdvisor will become the new standard for service discovery platforms with smart and trustworthy information. ServAdvisor is a marketing and consumer engagement platform that enables participating brands to incentivize consumers who check their info via App. This becomes a sustainable mechanism for retailers\ service providers to maintain customer loyalty, to provide rich product and promotional information to influence purchase decisions right at the time when the user is actually standing at the door. ServCoins are utility tokens that will become the currency that enables retailers and service providers to utilize this powerful blockchain distributed platform to influence and reward consumers to make smarter choices.",SRV,21st Jan 2019,28th Feb 2019,https://servadvisor.co,Germany,https://servadvisor.co/wp-content/uploads/2018/05/ServAdvisor-WP.pdf
Artificial Intelligence,,subaj global network,5,"SUBAJ solves the problem of traditional points as loyalty. Now customers get value based SUBAJ coins as loyalty points on every Incentive, Discount, Rewards, Offers, Coupons, Deals they collect through the SUBAJ GLOBAL NETWORK. Using cutting edge Technologies like Augmented Reality, Artificial Intelligence, GeoDrop Technology, Social Gamification, Merchants can drop their respective offers onto the real world and define it within a proximity zone, which are then collected augmentedly by customers moving within that zone. Each Time a Customer collects a Reward, he gets SBJ Coins for free. Merchants also get SBJ coins once their rewards are collected.A percentage of the SUBAJ Coin collected goes to SUBAJ Charity Foundation, where SUBAJ implements various projects for homeless and deprived children of the world. Clean Water I Vaccines I Digital Literacy I Internet SUBAJ Coin powers the whole Global Shopping Ecosystem and its values increases each time shopping is being done anywhere.",SBJ,2nd Aug 2018,31st Oct 2018,https://subaj.com,Germany,https://subaj.com/assets/pdf/Whitepaper_v_2.pdf
Banking,,choice,,"Choice is the easiest way of sending and receiving money over the blockchain. It combines personalized payment and data-protected payment in one coin. Most of the time you don't want, that your payments can be traced back. Hackers, scammers or websites that want to track your shopping habits should not be able to get detailed informations about personal payments. There are a few cryptocurrencies that support anonymous transactions, but sometimes there is the need for a transaction that can be traced back, so that you can prove, that the transaction has been taken place. For example, if you have paid a rent and want to prove the payment. With Choice you can have both. By taping the Choice-button of your wallet you can either select „0“ for a public or „1“ for a data protected transaction. By just adding the recipients address and the amount of Choicecoins, the payment is ready to be sent.",OI,2nd Jun 2018,14th Jul 2018,https://Choicecoin.tech,Germany,https://choicecoin.tech/wp-content/uploads/2018/04/choicecoin_whitepaper.pdf
