cat1,cat2,name,raised,desc,ticker,start,end,www
Art,,artnoy,,"ArtNoy tokens are Equity tokens registrate in the security of the USA. Equity tokens are a new brand of tokens. they are better,safer and more profitable, especially when it registrate in the United States securities. The profit of ArtNoy is going to purchase the ArtNoy tokens as substitute for the dividends. No distribute of dividends profits or bonuses to director or shareholder.",ART Token,1st Jul 2018,15th Dec 2018,https://artnoy.com,Israel,http://artnoy.com/docs/ArtNoy_WP.pdf  http://artnoy.com/docs/ArtNoy_PPM.pdf
Communication,,sishub,,"The SISHUB project is developing an anonymous messenger and a decentralized system for sharing data through the utilization blockchain technologies. Does Not Log IP Address. Only complex identifiers and tunnels for data transfer will be used, which will change every 10 minutes. Absence of information collection, control over users and collection of geodata. SISHUB uses triple encryption of its own design, based on AES CBC, DSA, HMAC, when most use Curve25519, RSA 2048. All data is hashed using the SHA-2 protocol (64-bit architecture).",STEEL,20th Jun 2019,20th Aug 2019,https://sishub.network,Israel,
Cryptocurrency,,allstocks,,"The All-Stocks Network is a distributed global stock exchange platform which aims to interface with all major stock exchanges and stock brokers around the world. It also allows the trading of crypto tokens backed by real financial assets. The network will create a decentralized system, which will allow all stakeholders trade with its ERC20 standard-compatible token. These backing assets will be held in an escrow account. Moreover, the network will allow users trade in financial assets (such as currencies and bonds) on Blockchain technology. All-Stocks Network will expose generic API interface, giving developers greater capacity to develop their tools and apps for investing, hedging and carrying out transactions using All-Stocks tokens. Well, decentralized organizations that are exposed to cryptocurrency can safeguard their funding through stable assets. While the network will enable investors manage diverse investment portfolios, it will also enable companies issue capitals with ease and flexibility.",AST Token,15th Apr 2018,30th Jun 2018,https://all-stocks.net,Israel,http://all-stocks.net/wp-content/uploads/2018/03/Allstocks_whitepaper_rectified.pdf
Cryptocurrency,,blockium,0.0598,"Blockium is a financial gamification platform using smart P2P technology to offer trading competitions on stocks, crypto, FX, and indices from the top global exchanges. The application creates an innovative opportunity for traders to execute financial skills with friends and strangers, and make large daily profits. This technology’s mechanism is bringing a large profit potential for traders, while making financial trading attractive for everyone.",BOK,24th Jun 2019,27th Jun 2019,https://www.blockium.io/Home/Welcome,Israel,https://www.docdroid.net/sAMYojj/blockium-whitepaper.pdf#page=4
Cryptocurrency,,gpn coin,,"Our Block chain will be anonymous and highly Secured in Order to make sure all transaction will stay on the same GPN Network and the network will be anonymous and fast transacted between users. Each user will have id number and he will not need to login with email or phone or name! Login and authentication will be with id and password and GPN (Gambling Porn Network) will be safe and anonymous for all users. Users that will by tokens of GPN will need to fill up a form and when we finish development of the wallet and block chain, user will login with his id and password that he set while register in PRE ICO Or ICO and they will see the coins that they bought in the secure anonymous wallet. Our technology will be based on ERC 20 and we wish to start development when we finish the PRE ICO and ICO.",GPN,16th Apr 2018,15th Jun 2018,https://www.gpncoin.com,Israel,https://www.gpncoin.com/gpncoin_whitepaper.pdf
Cryptocurrency,,lendoit,,"Lendoit is a decentralized P2P lending platform, connecting borrowers and lenders from all over the world in a trusted, fast and easy way, using the advantages of smart contracts and blockchain technologies.",LOAN,13th Dec 2017,13th Jan 2018,https://lendoit.com,Israel,https://lendoit.com/Lendoit-whitepaper.pdf
Energy,,greeneum,,"Greeneum is an innovative, smart, decentralized marketplace platform reinventing the way that renewable energy exchange values and carbon footprint reduction is incentivized. We have been working with international brands and communities like IBM, National Utility of Cyprus, large solar producers, international NGO, etc. Our growing community exceeds 70.000 people.",GREEN,22nd Apr 2019,21st May 2019,https://www.greeneum.net/greeneum-home,Israel,https://www.greeneum.net/greeneum-whitepaper/
Energy,,p2pep,,"P2PEP aims to revolutionize, boost convenience, increase efficiency and lower costs for all parties aspiring to make the transition towards clean energy. In addition, the P2PEP trading platform strives to push for its adoption by green energy companies that want to deal directly with end consumers. Using P2PEP, green energy consumers and producers can bypass the old, outdated polluting energy and trade green energy peer to peer as easily as picking up an uber ride.",null,22nd Aug 2018,7th Sep 2018,https://p2pep.com,Israel,https://www.p2pep.com/whitepaper-v2/
Energy,,solar dao,0.44334,"Reduce risks and costs while surpassing technical barriers of investing in PV solar plants across the globe. Own solar assets freely, safely, and anonymously.",SDAO,27th Jul 2017,6th Sep 2017,https://solardao.me,Israel,http://solardao.me/files/wpeng.pdf
Entertainment,,brainerz,,"BrainerZ is the world’s first knowledge-based gaming platform operating on blockchain, allowing users around the world to compete in skills-based micro-games and earn BRNZ tokens. We call the BrainerZ platform a “skills-based playground,” where winning depends on knowledge, skills, and curiosity. BrainerZ will create a new way for people to use their cryptocurrencies, letting crypto-gamers use their mental abilities to gain and expand their crypto-holdings in an online knowledgebased playground full of top-notch crypto-games. The BrainerZ platform uses an interactive feed with a range of social games designed for groups, individuals, and peer-to-peer competitors.",BRNZ,23rd Jul 2018,23rd Sep 2018,https://www.brainerz.io,Israel,http://brainerz.io/images/whitepaper-1.0.pdf
Health,,dnatix,,"DNAtix is an innovative company in the genetic testing space, integrating two cutting edge technologies – Digitized genetics and Blockchain. DNAtixhas developed adirect-to-consumer genetic platform for the era of whole genome sequencing. DNAtix provides web-based anonymous and secured genetic services including digitized DNA storage, transfer and testing.",DNAtix,15th Nov 2018,15th Dec 2018,https://www.dnatix.com,Israel,http://www.dnatix.com/download/White_Paper.pdf
