cat1,cat2,name,raised,desc,ticker,start,end,www
Banking,,auricoin,80.0,"Classic trade flow products (including letters of credit and letters of credit waiting in cryptocurrencies), Structured trade and export, Finance Structured financing of commodity trade, Exchange of business partners. These negotiable instruments offer nothing less than transparent and safe payments for international trade activities. With a letter of credit, AURIcoin guarantees the release of payments to their suppliers as soon as certain conditions are met, for amounts of up to several hundred million cryptocurrencies that you have and that is accepted by the seller, can be BTC, ETH, AUR, REG etc.",AURICOIN,23rd Nov 2018,20th Mar 2019,https://auricoin.org,Liechtenstein,https://auricoin.org/doc_page/whitepaper_en.pdf
Banking,,bitminutes,1,"BitMinutes is the first prepaid airtime token to provide low-cost financial services to the world's two billion unbanked consumers. BitMinutes serve as the universal cryptocurrency for enabling global telecommunications providers, retail merchants and a network of trusted agents to offer free money transfer and guaranteed loans to billions of cellphone users. BitMinutes represent a business opportunity to entrepreneurial individuals, retail merchants and telecommunications carriers to offer financial services cost-effectively. By reducing money transfer costs, adding liquidity to a major global asset class of prepaid minutes and establishing credit history for the global unbanked, BitMinutes will raise the standard of living in many countries, greatly expanding the middle class to the benefit of all. Hence, the primary goal of The Bitminutes ICO is to provide access to these key financial services for over two billion unbanked worldwide.",BMT,30th Apr 2018,28th Jun 2018,https://www.bitminutes.com
Banking,,lcx,,"IEO started now at Liquid.com, listing Oct 1st 2019. https://app.liquid.com/ieo-market/lcx LCX, the Liechtenstein Cryptoassets Exchange, is a blockchain ecosystem for professional investors. LCX’s goal is to become one of the world’s first licensed and supervised blockchain banks seamlessly blending traditional and crypto assets. The initial product is LCX Terminal, an advanced crypto trading desk to trade on all major crypto exchanges within a single interface. At LCX Assets the fast-growing technology startup is planning a compliant security token platform for issuing, storing and trading of cryptocurrencies, tokenized securities and digital assets - after necessary regulatory approval has been obtained. LCX is a member of the World Economic Forum C4IR and had been named Blockchain Pioneer by the Blockchain Research Institute. The advisory board of LCX includes leading experts, such as Don Tapscott (Author Blockchain Revolution), Jimmy Wales (Founder Wikipedia), Frank Gessner (",LCX token,13th Sep 2019,23rd Sep 2019,https://lcx.com,Liechtenstein,https://www.lcx.com/wp-content/uploads/LCX-Vision.pdf
Business services,,nobobox,,"Our NOBOCARD hybrid represents a crypto/debit and credit card in one single card in order to pay with crypto at all Visa or Mastercard acceptance points, while the merchant, as usual, receives fiat money - i.e. euros, dollars, etc. Our goal is to make the crypto experience even easier and more attractive. With the PLUG‘N‘PAY service, NOBOBOX opens up new possibilities for merchants to accept payments with crypto. With PLUG‘N‘PAY, merchants can now accept different crypto curren¬cies in addition to established payment options with Fiat money and win new target groups and thus conquer new markets NOBOCARD hybrid: With this physical or virtual card all users are offered the possibility to pay always and everywhere with cryptocurrency. It is complete¬ly irrelevant which currency a merchant accepts. NOBOCARD hybrid combines conventional payment habits with the crypto world using crypto/debit and/or credit cards.",NBX,10th Feb 2019,10th Aug 2019,https://www.nobobox.com,Liechtenstein,https://www.nobobox.com/Whitepaper/Index/en
Entertainment,,tv-two,8.7,"We are TV-TWO, a Blockchain-based Open Platform for the Television Ecosystem. TV-TWO eliminates the gatekeeper status of TV networks and prevents centralistic tech giants like Google and Facebook from owning the medium in the future. Television is still the biggest advertising market. We aim to re-distribute the budgets and reward consumers for their attention and shared data.",TTV,24th May 2018,24th Jul 2018,https://tv-two.com,Liechtenstein,https://tv-two.com/TV_Whitepaper.pdf
Infrastructure,,apla,,"",APL,1st Nov 2018,27th Jul 2019,,Liechtenstein,
Infrastructure,,lition,4.9,"Lition is developing the only scalable public-private blockchain with deletable data features, made for commercial products. Designed with Lition's live P2P trading use case, and co-innovated with SAP. Lition, in co-innovation with SAP, is a foundation that develops the next generation blockchain infrastructure designed for businesses to bring blockchain applications from their currently predominant Proof-of-Concept stage into commercial products with mass-market adoption in a legally compliant way. Our infrastructure is the only scalable public-private blockchain with deletable data features. SAP, a company with >400.000 customers and the power of >10.000 developers, is developing the decentral ledger and smart contract layer, with Lition providing the open consensus layer.",LITION,18th Mar 2019,26th Mar 2019,https://www.lition.io,Liechtenstein,https://www.lition.io/docs/Lition_Whitepaper.pdf
Internet,,reme-coin,9.558576,"repay.me is convinced that profits from user data belong to customers themselves. repay.me’s community is grounded on the spirit of fair trade: most of repay.me’s advertising revenues are repaid as cashback to the community.",REME,1st Mar 2018,31st Dec 2019,https://www.remecoin.io,Liechtenstein,https://www.remecoin.io/whitepaper_en.pdf
Investment,,chainium,1,"At Chainium we have a simple mission: to disrupt the global equity market. We stand for any business that wants to raise capital to grow. We stand for any investor who wants to buy shares in businesses they believe in. That’s why we built Chainium. To connect businesses directly to investors, using blockchain. To make buying and selling shares easy. Our platform is already available as a prototype on our website. It provides solutions to the problem of raising capital for large enterprises and smaller businesses alike. We offer business owners access to the sophisticated tools and techniques of the listed markets for a fraction of the price. For investors we provide direct access to a huge range of equity offers previously only open to institutional investors, for zero fees. Raising capital through equity in the traditional way is a complicated and costly process. Running an IPO takes months of planning, multiple engagements with advisors, negotiations with banks and law firms to gain regulatory approval, and pitches to attract institutional investors. The process takes a minimum of twelve months, attracts hefty fees, and the end result is uncertain. Our back-to-basics approach to raising capital reduces bureaucracy, whilst our use of blockchain technology removes duplication and eliminates errors. We allow investors and businesses to exchange digital share certificates for fiat or crypto-currency in a transparent, tamper proof and immutable distributed ledger. No intermediary or other reconciliation steps are involved in transactions, cutting through hundreds of legacy systems and solutions from the old world.",CHX,25th Dec 2017,12th Jan 2018,https://www.chainium.io/
Investment,,curioinvest,,"CurioInvest is a platform that enables you to invest in rare, collectable cars by purchasing security tokens. CurioInvest aggregates individual demand through its Liechtenstein-based tokenization structure which issues tokens directly link into the underlying target collectable car",CURIO,21st Aug 2019,22nd Aug 2019,https://curioinvest.com,Liechtenstein,https://docs.google.com/document/d/16RBxiuPNhG7DkvTx9odzcQvPc9EdTKnmKaohURxrLTA/edit
