cat1,cat2,name,raised,desc,ticker,start,end,www
Business services,,waves,16.0,"Waves Platform was purpose-built from scratch and came into operation after a successful ICO in 2016. Today Waves is the fastest, most secure and user-friendly open blockchain platform in existence, with a wide range of effective tools for everyday use by enterprises and individuals.",WAVES,12th Apr 2016,31st May 2016,https://wavesplatform.com?utm_source=ico.tokens-economy.com
Cryptocurrency,,neo,28.056944,"NEO Formerly known as Antshares is the People’s Republic of China’s first ever open source blockchain. Since its founding, NEO’s mission has been to improve and revolutionise the way e-commerce is done. Neo has been designed to get the existing up to date and get it plugged into the new age smart economy. Neo is making use of tech to connect and network people and businesses en masse. The Neo blockchain will implement P2P networking, digital certificates, cross-chain interoperability, Superconducting Transactions and dBFT consensus technologies to effectively execute the management of smart assets within a safe and legally binding framework.",NEO,8th Aug 2017,9th Sep 2016,https://neo.org/?utm_source=ico.tokens-economy.com
Cryptocurrency,,firstblood,5.5,"FirstBlood is a blockchain based eSports platform that allows players to directly challenge each other to matches and win rewards.",1ST,25th Sep 2016,26th Sep 2016,https://firstblood.io?utm_source=ico.tokens-economy.com
Platform,,darcrus,0.297426,"Protecting information is a core tenant of any successful business, customers’ sensitive information is mission critical. The Darcrus project will change the current way of business completely with our Jupiter blockchain in combination with decentralized applications. We can tailor applications to clients’ specific needs, like tracking, billing, accounting or authentication purposes, with fully customized GUIs. Information will be automatically encrypted and replicated in the Jupiter Nodal System (JNS). As every change will be recorded in the JNS, no one can modify the information unnoticed and no unauthorized person can read the encrypted information stored in the JNS.",DAR,21st Dec 2016,26th Dec 2016,https://www.darcr.us/?utm_source=ico.tokens-economy.com
Platform,,golem,8.0,"Golem is a global, open sourced, decentralized supercomputer that anyone can access. It's made up of the combined power of user's machines, from personal laptops to entire datacenters. Anyone will be able to use Golem to compute (almost) any program you can think of, from rendering to research to running websites, in a completely decentralized & inexpensive way. The Golem Network is a decentralized sharing economy of computing power, where anyone can make money 'renting' out their computing power or developing & selling software.",GNT,13th Nov 2016,13th Nov 2016,https://golem.network?utm_source=ico.tokens-economy.com
Cryptocurrency,,incent,1.0,"Incent will allow merchants to boost engagement and repeat business by incentivising customers with better than money rewards, at low cost and no risk",INCNT,1st Sep 2016,1st Sep 2016,https://incentloyalty.com/?utm_source=ico.tokens-economy.com
Platform,,iconomi,10.0,"ICONOMI’s mission is to provide an opportunity for investors looking for high profits, not possible in the old economy. It will do so through a simple and trustworthy entry point, providing them with an excellent experience, which is crucial for keeping them investing in the new economy. ICONOMI is creating the missing link between the old and the new economy. Speaking the language of the old economy and acting by the principles of the new one, ICONOMI’s transparent management will be provided by an EU legislation compliant and regulated service operator. The whales of this world don’t want to go into hundred of different blockchain projects and cryptocurrencies, they often just want to invest into the broader picture: Blockchain – yes or no? ICONOMI will enable them to do just that.",ICN,25th Aug 2016,29th Sep 2016,https://www.iconomi.net/?utm_source=ico.tokens-economy.com
Platform,,singulardtv,7.5,"SingularDTV is an Ethereum-based token “for a Blockchain Film & Television Entertainment Studio & Distribution Portal, with a Smart Contract Rights Management Platform”. The initial project plan consists of several parts – an original television series, a documentary division, a digital rights management (DRM) platform built on Ethereum, and a video-on-demand portal based around Ethereum.",SNGLS,2nd Oct 2016,2nd Oct 2016,https://singulardtv.com/?utm_source=ico.tokens-economy.com
Platform,,komodo,1.983781,"Komodo will bring about the anonymity of Zcash along with the NXT style PoS security, the witness based consensus system inspired by Bitshares, and the security and reliability of the Proof of Work Bitcoin Blockchain, which is a tested and proven system kept by thousands of nodes. Komodo's the Delayed Proof of Work (dPoW) consensus method will make Bitcoin the center of all PoS/dPoW cryptocurrencies, allowing the energy that is used in bitcoin mining to be utilized to secure other cryptocurrencies, thus making Bitcoin more energy efficient, while making other cryptocurrencies safer. this will add value to the entire alternative cryptocurrency sphere and to bitcoin itself as it becomes a vital part of other currencies and platforms.",KMD,15th Oct 2016,16th Nov 2016,https://komodoplatform.com/?utm_source=ico.tokens-economy.com
Software,,plutus,1.0,"Plutus is a unique mobile Bitcoin wallet for making in-store purchases at NFC terminals worldwide. Bitcoin is converted to fiat on-the-go, using a true peer-to-peer exchange on the Ethereum network.",Pluton,30th Jun 2016,8th Jul 2016,https://plutus.it/?utm_source=ico.tokens-economy.com
Platform,,synereo,4.7,"The Synereo model balances the individual and the collective will with a combination of attention-based currency that can be used to enforce individual will, AMPs and an attention-based measure of the collective will, Reo. AMPs are blockchain based tokens that can be used to amplify the reach of a specific piece of content, while Reo automatically manages the importance of the content according to the behavior and reputation of the users.",AMP,18th Sep 2016,18th Oct 2016,http://www.synereo.com?utm_source=ico.tokens-economy.com
Software,,digixdao,5.5,"Digix created DigixDAO (DAO stands for Decentralized Autonomous Organization) – a way for all of us to build a digital gold payment system together on the blockchain. It allows all DigixDAO token holders to participate in the direction Digix takes to build this gold payment system into reality. Instead of a company or an individual issuing shares, a software protocol issues DAO tokens as a software product.",DGD,29th Mar 2016,30th Mar 2016,https://digix.global/?utm_source=ico.tokens-economy.com
Media,,decent,15.0,"Publish your content via decentralized DECENT Network, decide its price and share with the world.",null,11th Sep 2016,6th Nov 2016,https://decent.ch/?utm_source=ico.tokens-economy.com
Casino & Gambling,,vdice,3.0,"vDice is a blockchain-based betting game for the Ethereum network. It went live on June 13th, 2016. It has processed almost 10,000 bets to-date. It is a classic ‘SatoshiDICE-style’ betting game, implemented as an Ethereum Smart Contract (Dapp), and exists on the Ethereum blockchain.Ethereum builds and improves on the Bitcoin blockchain. In the same way, vDice builds and improves on blockchain betting technology, generally. Whereas SatoshiDICE was somewhat decentralised, vDice is fully decentralised. vDice leverages the power of Ethereum smart contracts to build a game that has no server architecture. Instead, bets are processed through an Oracle, using the 3rd party services of random.org for the random number source. The Smart Contracts are live, network tested, and processing bets on a continuous basis.",VSL,15th Nov 2016,15th Dec 2016,https://www.vdice.io/?utm_source=ico.tokens-economy.com
Banking,,bankcoin,1.0,"BANKCOIN.global is a new concept in cryptocurrency and digital assets on the internet with the highest security standards in a very intuitive platform that will allows users to have a intuitive navigation experience at the site. The world market is showing signals of accelerated growing in the cryptocurrency demand where commercial and financial brands are starting to test the concept and are slowly moving as a payment method, using the "blockchain" technology.",Bankcoin,5th Nov 2016,19th Dec 2016,http://bankcoin.global/index.php?lang=en&utm_source=ico.tokens-economy.com
Business services,,bitpark coin,0.291956,"Through P2P Insurance and crypto-currency, we strive to provide an insurance service that is both transparent and user-directed. We will provide a variety of services, including smart contract technology to ensure fulfillment of contractual obligations, separation of billing management costs, an approval and compensation system managed between users, a user-based evaluation system and more. In doing so, we will bring this service to fruition.",BITPARK,15th Sep 2016,20th Oct 2016,https://bitpark.net/?utm_source=ico.tokens-economy.com
Platform,,newbium,0.03818,"NEWBIUM has begun its evolution in the Digital Currency space to provide a service to Crypo Experts, Traders and Investors in this field with smart tools to be able to make smarter decisions. Using cutting edge technology and precision marking data that anyone involved will be able to access in order to generate more wealth.",NEWBIUM,1st May 2016,31st May 2016,http://www.newbium.com?utm_source=ico.tokens-economy.com
Software,,beyond the void,0.291956,"The Nexium ICO has two main purposes: Fund the game’s development and get the Nexium tokens circulating to allow the players to purchase from the shop (the shop only currency will be Nexiums).",NxC,1st Nov 2016,30th Nov 2016,https://beyond-the-void.net/?utm_source=ico.tokens-economy.com
Platform,,blockpay,0.53836,"BlockPay is an easy, fast & free payment platform that supports all of the new digital currencies (like Bitcoin, Steem, Ethereum, Dash and Smartcoins) plus Loyalty Points and eReceipts. BlockPay runs Standalone (as a free App) or Integrated with existing systems (e.g. Odoo), and is available worldwide in 44 languages.",Blockpay,23rd Aug 2016,15th Sep 2016,https://blockpay.ch?utm_source=ico.tokens-economy.com
