cat1,cat2,name,raised,desc,ticker,start,end,www,,
Art,,arqute g.a.s.,,"The studio unites the best specialists in the animation sphere. Among their cases are products that bring investors an annual profit of millions of dollars - “Be-be-bears”, “Cartoon in Movie”, “The Fixies”, “Arkadiy Parovozov”, “The Pooches”, “Masha and the Bear”. “License royalties for the use of the brand and characters bring an additional income, which is 80% of the basic profit.” Animation is a product of intellectual property. Rights holders get profit from any monetization of the product. ARQUTE G.A.S – studio based on blockchain technology, in which every token contains the copyright’s to intellectual property. “Similar products in this industry bring investors from $ 2,000,000 per year.”",AGAS,19th Mar 2018,1st Jun 2018,https://www.arqute.com,,
Art,,bablos,4.068,"Blockchain platform for collective film production. The best present-day solution to source funding is a direct participation of the interested parties — sponsors, and, of course, the viewers themselves, in launching and financing film and TV projects in the early stages. The creation of such a platform will allow: the ability to generate mass investment in film using blockchain and cryptocurrencies; provide the financing of filmmaking and TV content in the most transparent manner possible; Provide an investment opportunity to every fan, who by virtue of his/ her contribution will personally affect the growth and the scope of opportunities awarded to the project managers. Competitors: Cinematix, Bond platform. What can be done using Bablos? Storing the tokens to receive dividends from the film screening; Exchanging for other cryptocurrencies or fiat; Using to gain access to exclusive crypto-premiere of «Empire V»; As the platform functionality grows, the token can be further used on the platform (including making profit from investing in the projects). The token holder has a right to a dividend proportionate to the number of tokens in their possession. The company will be making the dividend payments quarterly from the net profits generated by the respective project in the Russian Federation and internationally, including broadcasting and licensing for TV and digital distribution systems.",BLS,5th Sep 2018,1st Dec 2018,https://bablos.com/en/index.html,Russia,https://bablos.com/en/bablos_wp.pdf?v1
Art,,brain space,20.14,"Platform "Brain Space" - your step on the international arena. “The creation of an infrastructure that will become a strong foundation for the intellectual property market in the world, as well as reduce the process of identifying and developing the potential of authors to the level of access to the international arena at times”: the Brain Space team works to solve this task, because without the accessible, convenient and understandable procedures for registration and recording of the results of intellectual activity, and without the necessary and understandable tool it is difficult to imagine the achievement of the goal indicated in the strategies of a multitude of institutions scientifically technological development of the cultural sphere.",IMPCN,14th Jan 2019,10th Feb 2019,https://brain-space.io,Russia,https://brain-space.io/documents/white-paper-en.pdf
Art,,movieschain,,"A revolution in the distribution of independent films, MoviesChain by TVzavr decentralizes and disintermediates the global independent film distribution industry, delivering unmatched efficiency, transparency and global scalability.",ZVR,16th Apr 2018,16th Jul 2018,http://www.movieschain.io,,
Artificial Intelligence,,inspem,,"Employment of learning neural networks allow to reach exceptional video analytics effectiveness results. The search for the required person comes to a brand new level. By 2020 there would be more than 1 billion of vidceo cameras worldcwide. Any of those devices would be able to operate under our platform. Active implementation of partner services, which are targeted on the city safety improvement, ranging from the online registration of street fights and robberies with immediate transfer of such information to the appropriate services, to saving lives through prompt responce.",INP,1st May 2018,28th May 2018,https://ico.inspem.com,,
Artificial Intelligence,,pallium,,"Pallium is a decentralized platform for the fast learning, secure storage, and easy deployment of AI models. The platform also has its own blockchain called Myelin. Pallium’s functional unit is an intellectual agent. In abstract, agents are isolated entities with a decision-making system and the ability to interact with each other and the outside world within instructions. They also have their own “account” in the form of Spike tokens.",PLMT,1st Aug 2018,31st May 2019,https://pallium.network,Russia,https://pallium.network/docs/pallium_white_paper_EN.pdf
Banking,,feon,0.3603,"The world's first decentralized cryptobank of the future FEON with multicurrency transactions, instant payment of any payments, of any size to any point of the world, working directly, without intermediaries with its crypto-exchange and with the implementation of a smart contract that ensures guaranteed safe conduct of all transactions.",FBC,15th Oct 2018,30th Nov 2018,https://feon.io,Russia,
Banking,,floaterium,,"Providing cryptocurrencies to mainstream everyday users, will require dedicated Float banking services. Only once a person is able to use cryptocurrency in the same way that they use any other currency, will all of the benefits of cryptocurrency, such as lower transaction costs, speed of payment, removal of national boundaries and so on, become real. There are already 3 million daily users of cryptocurrencies, a number that is expected to exceed 200 million by 2025. The demand for cryptocurrencies exists now and will grow at an annual CAGR of ~70% for the foreseeable future.",FLI Token,1st Mar 2018,25th Apr 2018,https://www.floaterium.com,Russia,https://www.floaterium.com/media/FLOATERIUM_WHITEPAPER.pdf
Banking,,freezone,,"FreeZone is a new ecosystem for blockchain business. It includes: A Free Crypto Economic Zone, A financial infrastructure comprising five businesses, A libertarian blockchain community. FreeZone stands for: Taking an interest in the development of blockchain technologies at government level; Ensuring the legality of using blockchain technologies and conducting business using cryptocurrencies; Transparent and stable soft regulation by the state; Soft KYC / AML procedures; Minimal or no taxation; Liberal currency regulation and a soft visa policy; Setting up the infrastructure to facilitate business using blockchain technologies. FreeZone enterprises will operate with both fiat money and cryptocurrencies. All financial services can be utilized within FreeZone framework. The financial infrastructure includes: Universal trading platform; Fiat crypto bank; Crypto investment bank; Fiat crypto payment system; Marketing agency.",FRZ,3rd Apr 2018,30th Apr 2018,https://www.freezone.one,,
Banking,,gelios,,"Gelios is global P2P lending platform. Gelios token is used on the platform to provide value through different parties. The key feature of Gelios is platform approach — not to provide scoring or KYC by itself, but let services connect to it for better coverage and synergy. Risk-analysts are miners of blockchain, encouraged by data about borrowers, implemented into blockchain. Lender can choose risk-algorithm, focused on particular country, age, income, etc.",GLS,13th Mar 2018,12th Apr 2018,https://gelios.io,Russia,https://gelios.io/wp-content/uploads/2017/11/Gelios-by-Brainysoft-Whitepaper-013.pdf
