cat1,cat2,name,raised,desc,ticker,start,end,www,,
Art,,axl,2.0,"Cryptocurrency AXL is a Reverse ICO Project that represents the ‘AXIAL ENTERTAINMENT CRYPTOCURRENCY’. AXL project aims to become a ‘key currency’ on global entertainment contents consumption market and recover the ticket market which infringes consumer’s right by ticket scalping which sums to the amount of 17.6 billion USD.",AXL,10th Jan 2019,18th Jan 2019,https://axl.team/index_eng.php,Singapore,https://axl.team/doc/AXL_Whitepaper%20(Eng).pdf
Art,,dipchain,8.5,"DIPChain aims to facilitate all advantages which the blockchain implementation may give in the area of valuing and trading art as well as funding and investing in artists and artworks. 1,000,000,000 DIPC tokens will be supplied with 35% of tokens for sale in total: Presale Private sale, presale and public sale tokens are locked up by 80%, divided into 6-month average releases. Project team 15% of the DIPCs will be assigned to the project team and locked for 2 years. The DIPC test chain released 5% (50 million DIPCs) after release and the remaining quarters released 1.25% (12.5 million DIPCs). Foundation 15% of DIPCs will be allocated to Foundation Holders to promote community development, motivate outstanding young artists or teams, and reward consultants who are helpful to the DIPC project. The saved address of this part of the DIPC will be announced after the project is launched, and each reward will be announced in the DIPC community and voted by the Artists Committee. Ecological incentive 20% of DIPCs will be used as initial ecological incentive funds. The DIPC platform determines the reward elasticity coefficient based on activity and contribution evaluations to motivate participants in the ecosystem. Commercial promotion 15% of the DIPCs will be used for commercial promotion and operation of the project, for project commercial marketing, user operations, community building and other activities.",DIPC,19th Jul 2019,20th Sep 2019,https://www.dipchain.io,Singapore,https://www.dipchain.io/newDome/pdf/DIP_WhitePaper.pdf
Art,,pibble,21.299632,"The PIBBLE project is based on this popularity based ""image"". PIBBLE is a blockchain based cryptocurrency that collects image creators and consumers together and compensates for the activities they create, consume and enjoy. The image of the PIBBLE Project includes not only a picture or a stock image but also all images such as a cartoon, a character, an illustration, a graphic, an entertainers(singer, actor etc.) picture and video still. The biggest advantage about our token is that our service is already running and we have technologies, such as ContentsPro, that are functioning at the moment. Also, anyone can participate in the PIBBLE Ecosystem as image content creator or consumer. As the system is built on a global network, everyone can produce and use images without time or space limitations.",PIB,1st Apr 2018,15th Apr 2018,http://pibble.io,,
Art,,record foundation,,"The RECORD Project is attempting to re-create the economics of the music business in favor of the artist. By using the blockchain and the RECORD (RCD) token to measure and reward an artist for the use of their work, RECORD Foundation can be one of the first companies to succeed in removing the 16th Century system whereby an artist gives up most rights to a publisher and instead becomes their own publisher. Artists will be able to track where their music is being played and calculate the amount of usage and get paid.",RCD,30th Apr 2018,30th Jun 2018,https://www.recordfarm.com,,
Art,,songin,,"High-performance open commercial blockchain based in songin consensus and referendum. A open block chain platform which is available for upper business environment. A block chain systemcan which can continue to expand and evolve.",SOIN,1st May 2019,10th Jun 2019,https://www.songin.io,Singapore,https://www.songin.io/whitepaper/WP_English.pdf
Art,,the man cave project,,"We want to empower men with the clarity and abundance mindset to go out and achieve anything they can dream up or think of. Our main aim here is to create an awesome network of men that empower each other.",BROCOIN,1st Sep 2018,1st Oct 2018,https://themancaveproject.com,Singapore,https://themancaveproject.com/wp-content/uploads/2018/08/The-Man-Cave-Whitepaper-1.pdf
Artificial Intelligence,,arium 2.0,,"Arium 2.0 is a decentralized app for the Ethereum network which makes it possible to sell goods and services internationally for free. Human translation, product sponsorship, shipping and payment are all handled automatically by an artificial intelligence operating smart contacts on the Ethereum network. Sellers simply register their product information in their local language, and then arium 2.0 automatically finds human translators and advertising affiliates who promote the products worldwide. Sellers simply sit back while sales are generated automatically. When a purchase is made, the appropriate shipping company is dispatched to handle all international shipping procedures, so with arium 2.0, selling internationally is just as easy as selling domestically. XRM Tokens are the native cryptocurrency which decentralizes the arium 2.0 platform. All purchases on the platform are made with XRM. Translators and promotion affiliates are incentivized with XRM sales commissions. Sellers face no initial or monthly costs and pay for advertising and translation only when a profitable sale is made. arium 2.0 is e-commerce upgraded for the blockchain era.",XRMT,11th Jan 2019,31st Mar 2019,https://ico.arium.shop,Singapore,https://crowdsale.arium.shop/assets/img/top/en/wp.pdf
Artificial Intelligence,,blockcart,,"BlockCart is an open, permissionless, e-commerce enabler powered by blockchain, with a vision towards establishing a trustless e-commerce framework where data can be openly shared for seamless consumer experiences. With AI and blockchain as the key to aggregating and distilling quality, relevant data for use, transactions are done through a secure open-source decentralised network, promising greater security and transparency for all. With Blockcart, traditional e-commerce and retail will be transformed to more efficiently, accurately and securely utilise data and also creating an unprecedented ecosystem for end users, merchants, e-commerce stores and data consumers.",BCART,31st Jul 2019,31st Aug 2019,http://www.blockcart.net,Singapore,https://blockcart.net/blockcart-whitepaper.pdf
Artificial Intelligence,,chynge.net,,"At Chynge, we make the world a better place. With the digitisation, democratisation and socialization of money, we make payments instant, free, and safe within a decentralized financial system where people of all income levels can access simple-to-use and secure financial services.",XCLP,28th Jun 2018,30th Nov 2018,https://chynge.net,Singapore,https://bit.ly/chynge_whitepaper
Artificial Intelligence,,conun,,"CONUN is a platform for building a horizontally distributed desktop computing system that can share the idle processing resources of personal computers to handle multiple projects (tasks) that require high performance computing resources. The platform includes not only personal computers but also the resources of smartphones that individuals carry. CONUN connects a personal computer to a peer-to-peer (P2P) network from the Internet, the owner ("Requestor") of an application that requires high performance computing power leases some compute power from the computer of the person or group (the "Provider") that wants to share their computing resources. This configuration can be useful for projects that typically require large amounts of work and long processing times. CONUN implements a method for organizing the necessary processes from the requestor's applications and effectively executing them on distributed computing resources. This approach replaces costly cloud computing services, reducing computing time and making complex applications such as scientific calculations and machine learning easier to use at lower cost. CONUN does not have to pay for using existing cloud computing because it builds high computing power by collecting and sharing resources of personal desktop computers. In addition, because of the distributed computing architecture, certain groups do not have a single control authority to monopolize and regulate resources.",CONUN,1st Jul 2018,15th Aug 2018,https://www.conun.io,Singapore,https://conun.io/file/CONUN_Whitepaper_v1.0_en.pdf
Artificial Intelligence,,dateat,,"DatEat is the world’s first ever dating platform that integrated the power of Blockchain technology, cryptocurrencies and AI engine to create an intelligence, transparent, secure and compatible environment for users around the world. DatEat is not just about dating, we embedded with several different functions such as Eat, Travel, Concert, Hotel… all in one place to bring the best experiences and make life much easier.",DTE,5th Jun 2018,25th Sep 2018,https://dateat.io,Singapore,https://dateat.io/wp-content/uploads/2018/04/Whitepaper-English-8.0-PDF.pdf
