cat1,cat2,name,raised,desc,ticker,start,end,www,,
Artificial Intelligence,,eligma,11.377277,"Eligma, a cognitive commerce platform, will be connecting existing e-commerces and second-hand marketplaces into a one-point-stop for users. By harnessing AI and blockchain technology, Eligma is changing the way users discover, purchase, track and resell items online.",ELI,17th Apr 2018,10th May 2018,https://www.eligma.io,,
Artificial Intelligence,,enkronos,12.6,""Enkronos Apps” is a Blockchain-based accountability system that ensures ethical behavior, complete protection of personal data and privacy and then it is the solution to great often unsolved problems and unanswered questions such as: 1. Lack of respect of ethical conduct in data driven projects; 2. Lack of protection of personal data and privacy; 3. Platform and app development high cost and low financial efficiency. "Enkronos Apps” is a powerful multi-application ecosystem for advertising solutions, marketing and promotions, gamification, artificial intelligence, augmented reality, internet of things, big data and e-democracy, just to name a few areas and then it creates value to the ecosystem since it enables quick publishing of complex and heterogeneous data driven solutions, it solves different problems (such as the mentioned ones), it reduces the required time and skills to realize complex data driven campaigns and projects.",ENK,18th Sep 2018,20th Nov 2018,https://ico.enkronos.com,Slovenia,https://ico.enkronos.com/wp-content/uploads/2018/05/EnkronosApps_WP_1.4.pdf
Artificial Intelligence,,robotina,10,"For the first time in the history, opportunity, technology, as well as legal and social conditions are favourable and ready for the Robotina Platform to step onto the stage. Internet of Things, Blockchain Technology (enabling smart contracts) and Artificial intelligence bring great benefits to users and investors. Connected to the Robotina Platform, an enabling Universe, empowered people will save the electricity by using smart grids in order to save and earn money and reduce the pollution of our planet. We won’t do more, we will just do it smarter! The Robotina Platform will be a vertical, high-tech all-inclusive enabling solution, consisting of connected Internet of Things (IoT) elements (things, processes, data, people) and the Power Platform (PP). It will use Smart Rules, Artificial Intelligence and Blockchain technologies. It will be run in the cloud, available as a service. Robotina Platform and connected IoT will execute thousands of calculations per second. Each calculation will result in a small benefit and a small slice of revenue, which will accumulate every second. At the end of the day, this will become the driving force of the business.",ROX/ROX,21st Mar 2018,30th Apr 2018,https://www.robotinaico.com,,
Banking,,decem (preico),,"Decem will provide secure, simple to use and fast payment system using blockchain technology and publicly backed one to one ratio with fiat currency. Our mission is to bridge the gap between modern and traditional economy for every person with a mobile phone. The solution is in two separate tokens, whereby with the help of the first one (DECEM), we provide a connection of the other (MOVE) with any traditional currency in a ratio of 1: 1, all of which happens on a public account. Thus, our assets are firmly linked to the traditional currency without the risk of crypto fluctuation, but nevertheless, in the transactions, we take full advantage of the blockchain technology.",DECEM,30th Apr 2018,10th Jun 2018,https://www.decem.io/#!/en/home,,
Banking,,decem,,"Decem will provide secure, simple to use and fast payment system using blockchain technology and publicly backed one to one ratio with fiat currency. Our mission is to bridge the gap between modern and traditional economy for every person with a mobile phone. The solution is in two separate tokens, whereby with the help of the first one (DECEM), we provide a connection of the other (MOVE) with any traditional currency in a ratio of 1: 1, all of which happens on a public account. Thus, our assets are firmly linked to the traditional currency without the risk of crypto fluctuation, but nevertheless, in the transactions, we take full advantage of the blockchain technology.",DECEM,30th Apr 2018,10th Jun 2018,https://www.decem.io/#!/en/home,Slovenia,https://decem.io/pdf/whitepaper.pdf
Business services,,cargox,6.766164,"CargoX aims to disrupt the global logistics industry by introducing Smart B/L documents based on blockchain technology, replacing old-style paper Bill of Lading documents. With the Smart B/L users will be able to state and transfer cargo ownership rights without the hassle of handling paper.",CXO,23rd Jan 2018,4th Mar 2018,https://cargox.io,,
Business services,,hive project,8.949421,"Hive (HVN) uses blockchain (distributed ledger) technology to give every issued invoice a unique fingerprint. This enables businesses to automate the invoicing process and make it available to the general public. We create a central data room for all invoices, with a record kept of the issuer, owner and payer. Invoices can therefore be offered to the market for trading. This will rapidly increase the liquidity available to small businesses and create a central database of invoices available for scoring and auditing. In addition to bridging the liquidity gap for small businesses, the technology provided by Hive will help credit checks to be made on companies and facilitate rapid and real-time auditing.",HVN,3rd Jul 2017,14th Aug 2017,https://www.hive-project.net,,
Business services,,iiottel,,"IIoT Telecom (Industrial Internet of Things Telecom) company creates Industrial Internet of Things Platform – decentralized specialized software on the Blockchain, allows to gather information from numerous "smart" IIoT devices. The IIoT Platform consists of two main components. One is the decentralized software on the Blockchain and the other is wireless network LoRaWan, that based on own design equipment. Access to the network infrastructure will be provided from the smartcontracts. Due to the low cost of deployment and attractive conditions for partners, conditions will be created for the rapid entry into the market of the Industrial Internet of things. Due to tokenization IIoT Telecom plans to deploy LoRaWAN networks in whole world and provide Services of the Industrial Internet of Things in any country of the world, where Internet is and where are no restrictions on circulation the cryptocurrency.",I2,19th Mar 2018,19th May 2018,https://iiot.tel,Slovenia,https://iiot.tel/wp-iiot.pdf
Business services,,notary,,"The Notary Platform is the first mobile application which enables you to engage in contracts on the go. With the help of our app, you can sign a contract wherever, whenever, and without a third party involved.",NTRY,10th Oct 2017,17th Oct 2017,https://www.notary-platform.com,,
Business services,,rialto.ai,10,"RIALTO.AI is a team of data scientists designing proprietary algorithms for arbitrage and market making. By providing liquidity and matching orders, they are increasing market efficiency and connecting crypto markets, while earning a fraction on every transaction.",XRL,1st Jul 2017,14th Jul 2017,https://www.rialto.ai,,
Business services,,sportyco,5.087896,"SportyCo is the first decentralized sports ecosystem connecting athletes, clubs and organizations directly with fans and investors. Based on the Ethereum platform, SportyCo aims to disrupt the world of sports financing with the digital world of virtual currencies, opening new possibilities for individual athletes and sport organizations to raise sports funds on a global scale.",SPF,21st Nov 2017,8th Dec 2017,https://sportyco.io,,
Business services,,the 4th pillar,1,"4th Pillar is a technology infrastructure, where we are developing several revolutionary DLT-based products to solve challenges in the exchange of digital assets and recruitment. The project goal is to become an independent DLT eDelivery, professional identity and recruitment infrastructure for individuals and organizations. 4th Pillars first product is FOURdx.",FOUR,15th Oct 2018,31st Oct 2018,https://www.the4thpillar.io,Slovenia,https://www.the4thpillar.io/documents/whitepaper.pdf
Business services,,valus,,"VALUS is a blockchain platform which will be based on Ethereum platform. VALUS will allow customers to verify items through QR code. The customers will get basic information about scanned items (VALUS Verify). In a case of purchasing an item customers can register ownership of that item (VALUS Ownership). If customers often buy items online, they can check whether the website where they buy is trustworthy. The existing customers can provide their experience and also the trademark can verify that website. (VALUS Website). Customers can also check if retailers sell genuine items. On the other hand, customers can help trademark to reduce the number of manufacturers that sell fake items and for reporting them, customers will be rewarded with VLS tokens (VALUS Store).",VLS,13th Oct 2017,29th Oct 2017,https://www.valus.one,,
Communication,,2100news ico,0.6329,"We are the first news platform of the decentralized economy: delivering business and market news, data and analysis to the world (crypto, blockchain, IoT, ICOs, new financial markets and decentralized economy in general). We serve as a depository for disclosure of authorized price sensitive information regarding token issuing companies. Our services run on mobiles, tablets and computers via online TV, radio, squawk box, newsletters and podcasts. We are raising funds to produce 2nd iteration of our news platform using blockchain technology. 2100NEWS is the leading crypto and token market news hub, offering real-time data and price sensitive information regarding token issuers, news on all crypto market issues and analyst coverage. As a bottom-up system, we enable news to be sourced and verified from the crowd, granting publication and rewarding up/down voting (curation) of published content. We are already in the top third of ICO listing websites and expect to reach 40 million monthly page views and 500,000 community members by the end of 2018.",NWS,14th Mar 2018,23rd May 2018,https://www.2100news.io,,
Cryptocurrency,,atrix,,"Atrix is a protection system for the Initial Crowdsale contributors. Its goal is to make projects more financialy transparent to its contributors, by offering a initial contribution buyback guarantee if the contributor is not satisfied with the projects progress later on.",ATRIX,25th Nov 2017,20th Dec 2017,https://atrix.io,,
Cryptocurrency,,futourist,2.334666,"Futourist is the first block-chain based review platform that rewards you for your content. You create reviews, share and get rewarded.",FTR,20th Feb 2018,20th Mar 2018,https://futourist.io,,
