cat1,cat2,name,raised,desc,ticker
Health,,Ambrosus,30,"A universally verifiable, community-driven ecosystem to assure the quality, safety & origins of products.",AMB
Health,,Litra,23.5,New ecosystem based on complete circle of EHR updates and free access.,LTA
Health,,TE-FOOD,19.1,"TE-FOOD, the world's largest publicly accessible, farm-to-table food traceability system is moving to blockchain and tokenization.",TFOOD
BANKING,,Nexo,52.5,Nexo is powered by A Leading FinTech Group serving millions of people across Europe for over 10 years. Strong 50k+ Telegram Community. Dividend Token.,NEXO
BANKING,,Monaco,26.7,"The functionality of Monaco VISA® Card makes it a must-have item not only for every Ether or Bitcoin holder, but also for everyone who spends money.",MCO
BANKING,,Santiment,12.2,"Market Datafeeds, Newswires, and Crowd Sentiment Insights for the Blockchain World.",SAN
BANKING,,Bread,32,"Bread tokens will unlock perks for users of the Bread platform. Token holders will enjoy discounts, complementary or exclusive access to premium features.",BRD
BANKING,,Traxia,15,A Blockchain Solution to Disrupt Trade Finance.,TMT
BANKING,,Dashlite,,Global decentralize enterprise blockchain solution for global payments.,DSL
Cryptocurrencies,,Globcoin,,"Easy, fast, secure: the gateway to a global currency for a global village.",GCP
Cryptocurrencies,,Pikciochain,12.3,"PikcioChain is a secure, compliant and distributed data ecosystem that enables the collection, certification and exchange of personal data.",PKC
Cryptocurrencies,,X8 project,4.39,"X8X Tokens grant you a 0% fee for issuing X8Currency, a 100% fiat & gold backed Token.",X8X
Cryptocurrencies,,Kencoin,,"The mission is to serve as the standard currency for anonymous, safe transactions in all sex and dating-related purchases.",KCN
Cryptocurrencies,,Epoch,,"We are committed to building a secure, reliable and efficient commercial blockchain development platform.",EPO
Cryptocurrencies,,Bitcrystals(),,BitCrystals (BCY) are digital assets acting as both the game-fuel & the premium in-game currency in Spells of Genesis.,BCY
Cryptocurrencies,Investment,Jibrel network,50,"The jibrel network allows anyone to digitize, list, trade and sell traditional assets, such as currencies, bonds and other instruments, on-chain.",JNT
Cryptocurrencies,Investment,Streamr,27,"Unstoppable data for unstoppable, decentralized apps. Powered by Ethereum.",DATA
Cryptocurrencies,Investment,Epos,,"The EPOS-Team has developed a special high frequency trading program (""EPOSoftware"") that allows almost every person to make profit on the crypto market.",EPOS
Cryptocurrencies,Investment,Tend,4.155,"TEND is a blockchain company that creates a new investment world driven by passion, purpose and meaning.",TND
Cryptocurrencies,Investment,Global ico fund,,"Our mission at Global ICO Fund is to find the best investments while, at the same time, minimising risk.",GLIF
Cryptocurrencies,Banking,Swissborg,51,The new era of crypto wealth management with smart contracts.,CHSB
Cryptocurrencies,Charity,Aidcoin,15.8,"AidCoin is the token used to donate transparently and to power AIDChain, a platform that provides an ecosystem of services for the non-profit sector.",AID
Cryptocurrencies,,Hdac,258,"The platform allows IoT devices to quickly and effectively communicate, handling identity, authentication, data storage and micro-payments.",DAC
Cryptocurrencies,Energy,Adenium,1.95,"Adenium is a cryptocurrency based in Geneva, Switzerland. It’s built on the Ethereum Blockchain.",ADE
Energy,,Mybit,2.7,Mybit makes financing and maintaining revenue streams efficient and automatic.,MyB
Energy,,Synthestech,0.737,Cold transmutation of chemical elements technology of synthesis of precious metals.,STT
