cat1,cat2,name,raised,desc,ticker,start,end,www,,
Art,,craftr,0.045908,"The project was born to bring the e-commerce of creative assets to the Web 3.0 world through a decentralized platform, featuring token payments and storage of digital resources made available by freelancers. The platform is targeted to freelancers and developers that want to get involved in a new form of global e-commerce. Vendors will offer self-made products to customers that will be in research of the missing piece to proceed in a stuck point, or simply to learn about new skills. The marketplace will offer a wide range of digital creative assets, fastly accessible and easy to trade. This initiative will let the customers to reach our P2P marketplace, with the intention to purchase or sell their desired product through the CRAFTR payment processor. Our platform will offer zerofees between customers transaction and will only check for its validity. Customers will have total control of their finances.",CRAFTR,15th Jul 2018,30th Nov 2018,https://craftr.io,Switzerland,https://craftr.io/WP/craftr-whitepaper-v2.pdf
Art,,fresco,,"Through blockchain technology, FRESCO enables artists, investors, dealers, galleries, and administrators around the world to demonstrate their artworks and evaluate collection strength, eventually creating an efficient and intuitive art value measurement system. FRESCO tokens (FRES) represent the level of trust distributed to each artwork.",FRES,21st Mar 2018,15th Apr 2018,http://fresco.work,Switzerland,http://fresco.work/wp-content/uploads/2018/03/FRESCO-Whitepaper-V2.0-EN.pdf
Art,,playtrip,,"PlayTrip is a mobile application that allows you to experience a tourist itinerary through the narration of a story. A solution that combines the suggestion of travel storytelling with the added convenience of a mobile solution. PlayCOIN is the currency of exchange within the mobile application. The coins are point packages (utility tokens) that allow to purchase packages of stories in order to experience the territory with a new model of mobile enjoyment. PlayTrip authors (storytellers) create a story linked to an itinerary and upload it within the PlayTrip platform from their PC; the PlayTrip editorial office reviews it and, once approved, it is uploaded into the app’s library. The traveler chooses his story in the library, browsing through the different categories. Once he has chosen his favorite story, he purchases directly through the app a package of Playtrip points (utility token) that allow to unlock the story and live it from his device. The chosen story will guide him to discover the itinerary through an original story, which does not just provide information but also actively engages the user.",PLTC,30th Oct 2018,15th Nov 2018,https://playtrip.io,Switzerland,https://drive.google.com/file/d/1I8g_3FsrUUopVLECv62Kg2o-wzeX70RW/view
Artificial Intelligence,,4artechnologies,,"Global platform for artworks on the Ethereum blockchain. The symbiosis of 4ART Technologies ensures the ultimate solution for all problems of the art business.",4ART,31st Aug 2018,30th Mar 2019,https://j.mp/2ztzMRx,Switzerland,https://www.4art-technologies.com/wp-content/uploads/whitepaper/4art_whitepaper_english.pdf
Artificial Intelligence,,bgx,,"BGX created a blockchain algorithm that processes up to 100,000 transactions per second at very low costs, while maintaining decentralization and unmatched security. BGX used the algorithm to build a platform that is ideal for financial processing in a large market, reliant on microtransactions, such as the $60bn mobile games industry. BGX impressed large industry partners by lowering their financial costs threefold, by doubling the available channels of monetization, and by maximising user ARPU. BGX is the fastest, low-cost, and most secure decentralized method of payment processing.",BGX,5th Sep 2018,3rd Oct 2018,https://bgx.ai,Switzerland,https://bgx.ai/documents/BGX_White_Paper_1.0.pdf
Artificial Intelligence,,ezycount,,"AI-Powered blockchain automation - no more manual work. We are a Swiss project with the aim to fully automate accounting on the blockchain backed by banks, fiduciaries and hundreds of customers. Accounting is currently manual and it should not be the case. EZYcount is build on an actual successful accounting solution and a network of banks, fiduciaires and customers in order to fully automate the last bit of manual work in accounting we will implement AI. We are different because we don't want to only automate accounting but we are creating the next automated financial assistant who is helping you to automate your accounting.",EZY,15th Sep 2018,18th Dec 2018,https://www.ezycount.ch/en/ico,Switzerland,https://www.ezycount.ch/wp-content/uploads/2018/07/EZYcount-TaaL-whitepaper-v0.9.2.pdf
Artificial Intelligence,,hai project,,"The HAI Project plans to bring a reliable, unexpensive and easy to use platform enabling users all over the world to interact with AI & use its power in Cyber Security, Finances and Business Intelligence serving as a solution for many problems in the world.",HAI,14th May 2018,28th Jun 2018,https://www.haiproject.com,Switzerland,https://haiproject.com/documents/HAIProject.V1.0.1.pdf
Artificial Intelligence,,icostart,0.2,"We created the ICOStart platform, to provide specific services to start-ups or established companies, which want to create their own ICO (Initial Coin Offering) simply, safely and professionally. Specific services such as Know your Customer, the Audit of the projects supported by our Artificial Intelligence system, the smart contract configurator to make your unique ICO, Legal template, Master Nodes management, everything you could wish for a successful ICO configured on a single platform.",ICH,22nd May 2018,23rd Aug 2018,https://icostart.ch,Switzerland,https://icostart.ch/wp-content/uploads/2018/03/WhitePaper_web.pdf
Artificial Intelligence,,kasko2go,3.431524,"We reduce insurance costs for safer drivers, making streets safe and promoting overall driving culture. Our AI technology, world-class team and unique business model make us believe we can disrupt whole insurance industry.",K2G,12th Jun 2018,25th Jun 2018,https://tokensale.kasko2go.com,Switzerland,https://tokensale.kasko2go.com/uploads/document/file/29/kasko2go__whitepaper.pdf
Artificial Intelligence,,n'cloud.swiss,,"n’cloud.swiss ICO is the ICO of proven business case. The target is to establish the cloud platform as a Swiss/European alternative to Amazon AWS, Microsoft Azure, Google Cloud Platform, IBM Softlayer and Alibabacloud. In fact, the leaders of the cloud market are four Americans and one Chinese. n’cloud.swiss is aiming at being a serious Swiss made alternative.",NCU,30th Apr 2018,8th Jul 2018,https://www.ncloud.swiss,Switzerland,https://ncloud.swiss/ICO.pdf
