cat1,cat2,name,raised,desc,ticker,start,end,www
Cayman-Islands,,levolution,1.88384,"Levolution is an all-in-one platform that makes it easy for blockchain entrepreneurs to create, develop, market, and optimize ITO projects. In addition to showcasing ITOs and connecting projects with global sales teams with whom Levolution will develop working relationships, the platform helps entrepreneurs in the areas of service provider procurement, campaign creation, campaign management, and post-ITO execution.",LEVL,18th Mar 2019,1st Apr 2019,https://ito.levolution.io,Cayman Islands,https://ito.levolution.io/wp-content/uploads/2019/03/LEV-WP-ENG-1.3.9.pdf
estonia,,decimated,,"Fracture Labs are a videogame company, creating a persistent online multiplayer game, where players must use skill and intelligence to harvest resources, trade with other players, and survive in a hostile apocalyptic environment. DECIMATED is the first use-case scenario of this which they are developing in Unreal Engine 4 and SpatialOS to achieve this massive scale, and meaningful persistence. There are two factions of players: human citizens and cyborg cops, both of whom are played by real people. Fracture Labs are using blockchain technology to manage in-game items and currency.",DIO,6th Mar 2019,5th Apr 2019,https://www.decimated.net,Estonia,https://www.decimated.net/whitepaper-browser-version/
estonia,,windhan energy,28.724073,"Windhan is a blockchain-based green energy Crowdfunding and trading platform which uses blockchain technology to create a more meritocratic next generation of renewable energy assets. It brings together green energy producers and consumers to sell and buy renewable energy without overpaying to corporations, suppliers and other intermediaries. It is a platform to combine energy developers, investors, and consumers and facilitates carbon credit trading through a global and decentralized network that allows energy assets to be funded and launched.",WHN,21st Mar 2019,17th Apr 2019,https://windhanenergy.io,Estonia,https://windhanenergy.io/file/whitepaper-English.pdf
russia,,aliencloud,0.631331,"AliensCoin - utility coin for AlienCloud platform. AlienCloud is not a startup. We build comfortable united platform for miners, traders and investors. Aliencloud now has functionality: cryptoexchange, cloud mining, IEO, contests for traders, mobile applications (beta, download from main page), payments from bank cards, cryptoindexes (beta). We build in future: 1) Alien Chain - own blockchain. 2) PAMM - accounts and trust management. 3) Own social network for traders and investors 4) DEX. 5) Masternodes plaftorm. 6) One account for Stocks&ETF, Currencies, Metals, Futures, Options, Funds, Bonds - buy all from crypto! 7) Shorts and margin orders. We plan to add bonuses for ALS holders: 1) discount for cloud mining. 2) the discount on the commission for exchange. 3) bonuses in the mining pool.",ALS,16th Apr 2019,17th Apr 2019,https://aliencloud.xyz,Russia,https://aliencloud.xyz/docs/whitepaper_v4.pdf
singapore,,duo network,0.9411,"To help market participants navigate such volatile market conditions, we present a decentralized platform named DUO Network, which enables issuance, trading, and settlement of tokenized crypto derivatives. It mainly consists of Collateralized Autonomous Tokens (CAT), Price Oracle, CAT Exchange, and DUO Network Token. The platform aims to reduce risks and barriers in traditional derivative transactions, through collateralized smart contracts and distributed price feeds, thereby creating a transparent and autonomous derivative marketplace. DUO Network is a Singapore-based blockchain project initiated by FinBook Pte Ltd in the fall of 2017. The team came from diverse backgrounds with extensive experience in trading, consulting, blockchain, information technology, and entrepreneurship.",DUO,27th Apr 2019,27th Apr 2019,https://duo.network,Singapore,https://duo.network/papers/duo_economic_white_paper.pdf
singapore,,multivac,16.2,"MultiVAC is the next-generation public blockchain designed for large-scale and complex distributed applications. MultiVAC's vision is to enable large-scale commercial DApps to integrate smoothly into our ecosystem, enabling everyone to quickly and easily use blockchain applications to improve their work efficiency and quality of life, thereby creating a trustworthy, fair and harmonious society.",MTV,3rd Apr 2019,7th Apr 2019,https://www.mtv.ac,Singapore,https://www.mtv.ac/assets/file/MultiVAC_Tech_Whitepaper.pdf
singapore,,newton,1.107,"Technology is reshaping the world’s economies – and not always for the better. Newton provides blockchain infrastructure that focuses on a freer, fairer, and more open economy by providing the means for governance, collaboration, and motivation. Our technology stack, protocols and applications enable a community economy that fights for the public good, supported by a non-profit foundation with the vision that everyone should benefit from economic growth. This new kind of economy cuts out middlemen and puts more money in the pockets of both consumers and retailers. We’ve designed a complete economic model for tokens and business, made up of both human and machine nodes. Each node will receive NEW tokens based on their contribution to the economy, ensuring that all participants can benefit from Newton. Our first commercial application, NewMall, will launch at the end of 2018.",NEW,16th Apr 2019,16th Apr 2019,https://www.newtonproject.org,Singapore,https://www.newtonproject.org/whitepaper/
singapore,,pantheonx,0.018822,"PANTHEON X is a 4th generation financial platform that applies components of the blockchain system which provides transparency and reliability. It provides encyclopedic crypto financial services that can generate, trade, circulate and mediate security tokens based on stocks, bonds, and assets along with utility tokens. Based on the performance recorded on the blockchain, anyone can be an accredited crypto financial expert on PANTHEON X and investors can trade crypto financial products easily, safely, and quickly.",XPN,18th Apr 2019,28th Apr 2019,https://pantheonx.io,Singapore,https://drive.google.com/file/d/1eC1dGVQqmtHwcozjHW06zk5Tlo1G1cq1/view
USA,,dos network,1.7,"DOS Network - A Decentralized Oracle Service supporting multiple heterogeneous blockchains. DOS Network brings real word data, event and computation power to smart contract in a secure, reliable, efficient and scalable way.",DOS,11th Apr 2019,11th Apr 2019,https://dos.network,USA,https://docsend.com/view/ak3rdft
USA,,gtex gaming platform,,"GTEX PoA Network is blockchain designed specifically for gaming. By using Proof of Authority technology to validate transactions, GTEX PoA Network will have the fastest transaction speed and make our chain home of decentralized gaming. GTEX Token will provide a wide variety of benefits to its holders. Lower transaction fees, access to newest games and exclusive game token airdrops are going to be just some of the benefits for GTEX Token holders. IMPORTANT NOTE: GTEX is conducting token pre-sale through IEO. GTEX will not do the ICO. In order to join our pre-sale, go to Coineal exchange and find us on their Launchpad (https://h5.coineal.com/ieo-10026.html#en_US).",GTEX,12th Apr 2019,23rd Apr 2019,https://gtexgame.io,USA,https://www.gtexgame.io/gtex-whitepaper.pdf
USA,,oath protocol,,"Traditional decision-makers are being replaced by smart contracts. Code, however, is limited by itself and cannot execute when the parties involved face a conflict. Oath Protocol gives back power to general users who become jurors and then decide what should be done. In fact, any regular user can participate and give his/her opinion while our categorized random algorithm & built-in credit level system prevent collusion and increase accuracy of the verdict. Being a layer two chain-agnostic solution, Oath Protocol connects to public chains or dApps. The current partner network includes world-class chains such as NEM, Qtum, HPB, MOAC and many more. In addition, Oath Protocol can be implemented to replace centralized customer services on traditional internet platforms in e-commerce, rentals or data analysis.",OATH,11th Apr 2019,11th Apr 2019,https://oaths.io,USA,https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf
USA,,veriblock,7.0,"We develop Decentralized, Trustless, Transparent and Permissionless Blockchain Solutions. Inventor of the Proof-of-Proof (”PoP”) Consensus Protocol and the Blockchain of Custody® PoP mining enables blockchains to inherit and leverage the Proof of Work from a superior blockchain such as Bitcoin. Blockchain of Custody® provides high-volume data integrity services for law enforcement, healthcare, and beyond.",VBK,2nd Apr 2019,5th Apr 2019,https://www.veriblock.com,USA,https://www.veriblock.org/wp-content/uploads/2018/03/PoP-White-Paper.pdf
