cat1,cat2,name,raised,desc,ticker,start,end,www
Cayman-Islands,,axel,,"The AXEL.Network isn’t coming, it’s here. It’s live. A fully operational Masternode network bringing the future of the distributed web. We’ve built our Content Distribution Network (CDN) from the ground up using distributed technologies to foster a movement from centralized systems to a decentralized world. It’s a network that will change how the internet handles data.",AXEL,12th Aug 2019,13th Aug 2019,https://axel.network,Cayman Islands,https://axel.network/wp-content/uploads/2019/07/AXEL-White-Paper-v2.0-English.pdf
estonia,,allbebet,0.27981,"Allbebet is an infrastructure project in the sports and gaming industry. Designed to help achieve high results in sports using neural networks, machine learning algorithms, and blockchain. Allbebet development thrust is the creation of business models based on AI and blockchain technologies that unite millions of people from the sports, gaming and betting industry.",ALB,26th Aug 2019,27th Aug 2019,https://allbebet.io,Estonia,https://allbebet.io/docs/white_paper_eng.pdf
estonia,,allsesame,0.7,"AllSesame - Decentralized Social Food Network Powered by Blockchain. AllSesame Token is a Blockchain Ecosystem, architecturally designed to create the most Socialized Global Food Delivery Marketplace, developed collaboratively, using the blockchain technology. In today's world the technological development strives ahead very quickly. The trends of digitization and automation are already in full swing. The development of the Blockchain technology has led to a new trend- the trend of decentralization. The principles that are declared and strictly observed by the company: • Transparency to investors and the state. • Transparency of activities and transparency of decision-making. • Readiness to cooperate with all interested people and organizations; • Fairness- a fair payment to investors. • Fair conditions for partners and employees.",SST,21st May 2019,30th Aug 2019,https://www.allsesame.com,Estonia,https://allsesame.com/allsesame-whitepaper.pdf
estonia,,betmatch,,"Betmatch is a blockchain solution for bookmakers that primarily allows players to bet against each other and the house using cryptocurrencies with trustworthy customer fund depositing, bet execution, and payouts. The second layer of the system is social betting network with original players and project supporters motivation system.",XBM,5th Jul 2019,5th Aug 2019,https://tge.betmatch.io,Estonia,https://s3.eu-central-1.amazonaws.com/btm-prod-tge-static/media/public/landing/white_paper/BetMatch_WP_20.11.18_english2_16.53.pdf
estonia,,farm2kitchen,,"Farm2Kitchen® is building a decentralized Food Traceability platform on the Blockchain for the Food Distribution industry. The Blockchain is a distributed digital ledger to track the food at every stage of the supply chain from the farm all the way to the kitchen. We are providing secure Application Programming Interfaces (APIs) for Software Developers to build apps to access the platform. To protect people from unsafe food, you have to be fast and you have to be right – and Farm2Kitchen® Blockchain technology offers a chance to improve speed, accuracy and trust levels as never before. Farm2Kithen® founders have already successfully delivered Food Traceability solutions to farmer producer organizations in India. In sustainable agriculture space since last 5 years, Farm2Kitchen® is also a pioneer of organic food retailing in India.",F2K,22nd Apr 2019,5th Aug 2019,https://www.farm2kitchen.io,Estonia,https://www.farm2kitchen.io/downloads/f2kwhitepaper.pdf
estonia,,stabledex,0.3,"The stableDEX platform offers a 100% decentralized peer to peer trading environment. By using stableDEX the users retain full custody and control of the assets within their wallet. The platform offers most of the stablecoin pairs that are currently traded and many more asset-backed tokens will be listed ongoing. stableDEX will offer many tools to assist and support the trading community. Margin Trading to increase the transactional capacity, automated trading for the traders using algorithms with top speed execution. Asset Manager tools to enable decentralized 3rd party trading. stableDEX has its own platform currency called the STDEX token that can be used to pay transaction fees and services at a discount and earned by executing orders on stableDEX. stableDEX is developed to offer digital assets to the trading community in a professional manner. Tools and features are designed for institutional trading, products are selected with a focus on stability.",STDEX,4th Jul 2019,31st Aug 2019,https://stabledex.io,Estonia,https://stabledex.io/download/Whitepaper.pdf
estonia,,venusenergy,5.986183,"VenusEnergy - a project that, in conditions of large-scale environmental pollution - offers an alternative. Mining of cryptocurrency, using electricity generated from renewable sources of energy. Symbiosis between the socially responsible idea of "Way to a Green World" and a well-built financial model that will allow you to earn more than 24 cryptocurrencies and provide income for all depositors.",VENUS,1st Jun 2019,31st Aug 2019,https://venusenergy.io,Estonia,https://venusenergy.io/data/uploads/docs/venusenergy_wp_en.pdf
liechtenstein,,curioinvest,,"CurioInvest is a platform that enables you to invest in rare, collectable cars by purchasing security tokens. CurioInvest aggregates individual demand through its Liechtenstein-based tokenization structure which issues tokens directly link into the underlying target collectable car",CURIO,21st Aug 2019,22nd Aug 2019,https://curioinvest.com,Liechtenstein,https://docs.google.com/document/d/16RBxiuPNhG7DkvTx9odzcQvPc9EdTKnmKaohURxrLTA/edit
malta,,whirl,,"You can use WHIRL to get funding for just about anything, as long as it’s legal. Your dream could be a startup сompany, a charitable project, a gift, a holiday or even a new car. All you back someone else’s campaign before you seek backing for your own. WHIRL is ideal for people who don’t have the contacts, skills, or funds to campaign in other ways. By joining the WHIRL community, you can back people with similar dreams, and get their backing in return. WHIRL is not a typical crowdfunding platform tacked onto the blockchain; it offers a number of key improvements and innovations over legacy crowdfunding platforms.",WRL,26th Nov 2018,27th Aug 2019,https://whirl.com,Malta,https://whirl.com/WHIRL_WP.pdf
singapore,,octera,,"The award winning "Complete Integrated Blockchain Business Solution” platform for outstanding blockchain-power business case - Singapore 2019. A real-world accounting and fully-fledged business framework powered by Distributed Ledger and Artificial Intelligence",OT,1st Jun 2019,31st Aug 2019,https://octera.io,Singapore,https://octera.io/docs/OCTERA%20CIBBS%C2%A9%20Whitepaper%20EN.pdf
singapore,,perlin,52.95,"Perlin is a highly scalable, PoS smart contract platform that achieves throughput of 31,000+ TPS and consistently has 0 to 4 second time to finality, all of which is made possible by Wavelet, a DAG-based probabilistic consensus mechanism. Perlin utilises leaderless PoS protocol which does not use committees or delegation, thereby ensuring the security properties of bitcoin but speeds comparable to private chains. Perlin is pursuing several adoption strategies but is currently focused on the $US 11 Trillion international trade market with its distribution partners such as the International Chamber of Commerce, Enterprise Singapore, Dubai Chamber of Commerce and others.",PERL,24th Aug 2019,25th Aug 2019,https://www.perlin.net,Singapore,https://wavelet.perlin.net/whitepaper.pdf
