cat1,cat2,name,raised,desc,ticker,start,end,www
,,tig,,"TIG has developed a Community-based, no-fees solution for sending money, at home and abroad, using blockchain and social media. TIG enables anyone, anywhere, in any currency, in any language, to send money to friends and family for free on their social media platform of choice. TIG has a working product ready to launch, and is seeking funds to go-to-market in early 2020.",TIG,9th Dec 2019,20th Jan 2020,https://www.hellotig.com,USA,https://res.cloudinary.com/exmarkets/image/upload/v1573031090/Pages/Tigereum_Whitepaper_2019_test4_v3sapd.pdf
Artificial Intelligence,,stan world,,"Digital revolution has changed entertainment forever. The Stars and Brands that took action and evolved became mega franchises while the others, dinosaurs. Now blockchain revolution is changing things even more: activating real ownership, complete globalization, and equal opportunity. Stan World is a virtual world platform where Stars & Brands launch their virtual resorts in a virtual world powered by blockchain. A virtual resort consists of “fan-fantasy” experiences and activities such as virtual concerts, nightclubs, shopping malls, galleries, rides and generates revenue from ads, goods, and services.",STAN,24th Oct 2019,30th Nov 2019,https://stan.world,USA,https://drive.google.com/file/d/1Pu1t4vRxQs5Ef2DveoKdpu0e6ghHVSFy/view?usp=sharing
Business services,,cybr,2.0,"The CYBR Ecosystem is a holistic, cyber security solution for the blockchain which ensures secure smart transactions occur via a portal designed to provide real-time safeguards, countermeasures and threat intelligence to the CYBR community as well as other crypto entities and exchanges who rely on our cyber security solutions. CYBR ecosystem is powered by BlindSpot, a proprietary, powerful CYBR security engine which identifies and disrupts bad actor and associated illicit file activity that seeks to affect the confidentiality, integrity and availability of crypto smart contract transactions. CYBR commercializes and monetizes emerging threat intelligence by turning the data into actionable intelligence. CYBR users are rewarded with CYBR tokens for their direct threat intelligence contributions to the CYBR ecosystem.",CYBR,23rd Jun 2019,3rd Jul 2019,https://cybrtoken.io,USA,https://cybrtoken.io/wp-content/uploads/2018/09/cybr-whitepaper.pdf
Business services,,fr8 network,1.213222,"The $700B US trucking industry is the backbone of American commerce with 80% of all cargo transported overland by trucks, yet it is plagued with inefficiency and ultimately controlled by a bloated intermediary brokerage system whose incentives are not aligned with the true stakeholders. Imagine forming a blockchain platform bringing together shippers, carriers, truckers and brokers where they can place and track orders, assess performance records, compare pricing and extend credit. Add in a set of decentralized applications (DApps) linking up these stakeholders--and a new digital token speeding their transactions--and you could cut billions of dollars in inefficiencies from the $700 billion-dollar-a-year trucking industry. That is the vision of Fr8 Network, a newly formed upstart that aims to take the pain out of shipping by targeting, in particular, the $66 billion a year in fees exacted by some 16,000 middleman brokerages. Some key points: · Potential savings are huge. Trucks travel an astounding 29.6 billion miles every year only partially loaded or entirely empty--a waste of capacity even as businesses struggle with a shortage of drivers. · Cut that unused capacity in half, and we could save $30 billion a year in fuel costs and reduce carbon emissions from trucks by 100 million tons per year, 20% of their total carbon output. · By matching customers to and carriers online, the industry could sidestep broker fees that pose up to 20% of the cost of shipping goods; cut fees in half and the industry saves some $30 billion.",FR8,16th Apr 2019,22nd May 2019,https://fr8.network,USA,https://drive.google.com/file/d/17UV10bQIOHBbGtcpKPYSeIgnD2jTo70H/view
Business services,,sessia,3.0,"SESSIA’s team has developed a unique iOS and Android software that eliminates the technological debt issue of many companies in less than 10 minutes. Using all the advantages of blockchain technology, Sessia presents a new way of communication between businesses and customers. We call it «social marketplace» - an ecosystem where brands can simply develop and apply effective promotional tools by sharing the purchases of their client with their Friends and followers. SESSIA’s team has developed a unique iOS and Android software that eliminates the technological debt issue of many companies in less than 10 minutes. It provides businesses with 6 Sessia products in one place: SessiaPay – provides any business with instant crypto merchant account. SessiaMarket – allows offline business to launch e-commerce with maximum ease and speed. SessiaCRM – a smart CRM system with integrated AI features. SessiaSMM – an innovative approach on how to advertise products and services to the friends and followers of their current clients. SessiaLoyalty – the first globally connected cryptocurrency cashback system in the world with instant payouts. SessiaLogistics – ability to easily integrate with all the logistic companies without API. Sessia is absolutely free for businesses, and a personal manager is provided to each company. We make money by charging a 20% commission fee on the cashbacks and kickbacks that business is providing to it's customers using Sessia app.",KICKS,17th Jul 2019,20th Jul 2019,https://sessia.com,USA,https://www.sessia.com/stasic/doc/wp_eng-2018.compressed.pdf
Communication,,zoptax,,"What is Zoptax and what problem it solves? Zoptax is truly decetralized VOIP application which provide complete security for its user when they are connected to each other using Zoptax Network. Becuase of blockchain there is no possiblity of centralized authorities to intercept between a connection. First live version of zoptax app is also available on Google Play Store. https://play.google.com/store/apps/details?id=com.zoptax&hl=en Zoptax Coin will be used to make calls and the coins will be rewarded/paid to the node holders running Zoptax Bone (VOIP Algorithm) as a network fee.",ZPT,15th Jun 2019,30th Jul 2019,https://www.zoptax.com,USA,https://www.zoptax.com/whitepaper.pdf
Cryptocurrency,,allive,,"ALLIVE is an intelligent healthcare ecosystem based on blockchain technology. It is comprised of three modules: Olife builds a self-perfecting profile of individual's health data, Olivia acts as an artificial intelligent general doctor, and Oleaf creates a comprehensive healthcare service system. In ALLIVE, users have complete control over their own health data, which can be analyzed by the AI doctor to create personalized, full-process healthcare management. Meanwhile, the ALV token economy can also incentivize all participants to contribute to the healthcare ecosystem in their own way, thus truly achieving precise equilibrium of supply and demand of medical resources in a decentralized, immutable, and intelligent healthcare ecosystem on the blockchain.",ALV,null,null,https://allive.io/?utm_source=icobazaar,USA,file:///Users/user/Downloads/ALLIVE_WhitePaper_EN.pdf
Cryptocurrency,,ampleforth,5.0,"The smart commodity money with a unique elastic supply protocol. AMPL supply expands and contracts in response to it’s price deviating from a 1 USD target. Deviations result in a supply change of AMPLs once every 24 hours, increasing or decreasing the number of tokens in each holder’s wallet pro-rata. Ampleforth is the only asset in the world with this elastic supply property, and therefore has counter-cyclical trading pressure and is uncorrelated with other digital assets such as Bitcoin.",AMPL,27th Jun 2019,28th Jun 2019,https://www.ampleforth.org,USA,https://www.ampleforth.org/paper/
Cryptocurrency,,autonomy,,"The Autonomy token is an ERC-20 utility token which can be used for exchanging services on the Autonomy blockchain, such as: - Pay for transportation services provided by autonomous vehicles, for parking, recharging, insurance and other services - Receive ATNMY tokens for sharing traffic data with the smart-city infrastructure or other traffic participants (this is completely optional; data is aggregated & non-identifiable) - Purchase access to above traffic data to improve the road conditions & receive alerts The Autonomy token is not a security, an investment or a share in the company building Autonomy. It is a utility token, certified by a reputable law firm in Singapore as being compliant with the Singapore Law with regards to Utility Tokens. It DOES NOT pay dividends, interest and it does not offer any rights to ownership or decision making in the company building Autonomy. The token will be used and exchanged for services provided on the Autonomy blockchain network.",ATNMY,1st Jun 2019,10th Jun 2019,https://www.autonomychain.com,USA,https://www.autonomychain.com/AUTONOMY-Whitepaper-latest.pdf
Cryptocurrency,,creditcoin,2.0,"The Flatlay marketplace supports the global democratization of commerce with technology. The team's focus is on making e-commerce monetization accessible to anyone by removing the borders & restrictions for global participation using the Creditcoin token. The blockchain-based network enables content creators, brands & publishers to interact securely without restriction versus the legacy marketplace infrastructures & regulations of today.",CCOIN,14th Jan 2019,30th Sep 2019,https://cointoken.io,USA,https://cointoken.io/COINTOKEN-HOME_files/Whitepaper.pdf
Cryptocurrency,,gtex gaming platform,,"GTEX PoA Network is blockchain designed specifically for gaming. By using Proof of Authority technology to validate transactions, GTEX PoA Network will have the fastest transaction speed and make our chain home of decentralized gaming. GTEX Token will provide a wide variety of benefits to its holders. Lower transaction fees, access to newest games and exclusive game token airdrops are going to be just some of the benefits for GTEX Token holders. IMPORTANT NOTE: GTEX is conducting token pre-sale through IEO. GTEX will not do the ICO. In order to join our pre-sale, go to Coineal exchange and find us on their Launchpad (https://h5.coineal.com/ieo-10026.html#en_US).",GTEX,12th Apr 2019,23rd Apr 2019,https://gtexgame.io,USA,https://www.gtexgame.io/gtex-whitepaper.pdf
