cat1,cat2,name,raised,desc,ticker,start,end,www
Artificial Intelligence,,vectorium plus,,"Vectorium Islands are places where the collectivity can produce renewable energy and cryptocurrecy. Those Islands produce power energy value combining wind, solar and waste by a virtuous ecosystem regulated by blockchain and Artificial Intelligence. Vectorium Islands are based on Waste to Coin process. Imagine a world in which surpluses become healthy, imagine an ecosystem in which the environmental lifecycle produces wealth and produces sustainable and healthy way. Think of a world where nothing is thrown away, think of a planet where the reuse of our own waste enhances the lives of our communities. Think of a future in which all this will be possible thanks to vector islands in which the air we breathe will be pure and sublime as a few centuries ago. Realizing all this is now possible: the combination of hardware, software and intelligence has brought us to a new VECTORIUM level. A technology, the Blockchain, allows us to trace vector flows and exchange energy in a few seconds at minimal costs. Three crypto coins with different functions (power transport and payments, Convertible Bond and Securities) Vector Islands that will be able to transform the leftovers of the community into wealth and exchange it with other collectives without intermediaries. In a virtuous cycle in which the waste is transformed into crypto energy and crypto breath BREATH SYSTEM Breath is an energy production plant that is based on the sublimation process with flameless combustion, simply by introducing air and managing some resistances placed inside the reactor. It’s able to provide different energy outputs according to the needs required: Electricity usable on site by means of recharging stations, (electric cars / trucks / motorcycles), for lighting, or selling it to the market. Thermal energy through which it supplies hot, cold and steam water to be used as needed. Synthetic methane can be conveyed inside ducts for networking, or used as fuel after storage in special tanks. Condensed water, depending on the materials used to feed the machine and their percentage of humidity, can be used for irrigation of crops or in the industries. Carbon and Hydrogen, being it a molecular degradation plant based on chemical, physical and thermodynamic processes, these are the result of chemical reactions that allow separation. We have the possibility to completly customize power island locations. Underground The plant is underground, with a loading system using an external trapdoor, where the material to be disposed can be poured. On ground Machine positioned externally, on the ground in indoor spaces (sheds, factories etc) or outdoor with a roof cover with photovoltaic panels, increasing energy production. On the sea In this case we find ourselves installing the Breath system on a ship able to dispose the countless wastes found in the seas everywhere in the world, with particular attention to those places where sea currents tend to concentrate the greatest quantities. Near the sea The commercial and/or tourist ports are suitable for the positioning of the system, photovoltaic and wind power depending on the geographical characteristics of the location.",VCTP,null,null,https://www.vectorium.co,Estonia,https://www.vectorium.co/wp-content/uploads/2019/07/Vectorium-Whitepaper.pdf
Artificial Intelligence,,yanu,1.1305,"YANU serves beverages, handles payments, identifies and communicates with clients. Yes, you can pay for your beverage with our token. We're doing an ICO to raise funds for building Yanu units and make it possible to place them to all major transportation hubs, entertainment and sports venues. With a ready prototype and a strong team behind it, we're confident that Yanu will be the first of its kind.",YANU,26th Apr 2019,26th May 2019,https://yanu.ai/ico,Estonia,https://yanu.io/wp
Banking,,btccredit,0.5,"The next gen crypto banking solution, a Blockchain based P2P lending solution.",BTCC,29th Nov 2019,3rd Dec 2019,https://btccredit.io,Estonia,https://btccredit.io/pdf/btccredit_whitepaper.pdf
Banking,,marshal lion group coin,0.076,"Marshal Lion’s issue objective is to create a special blockchain-based platform that will grant investors easy, safe and comprehensive access to the non-bank lending market, as well as to provide a tool to allow convenient use of this platform - a token. As part of the process, investors will deposit funds at the Marshal Lion team’s disposal, which will then be used to create a dedicated platform that will then host complete products. Its core functionality will be the option to invest the token in products associated with Marshal Lion’s non-bank loans granted to companies and individual clients at various interest rates and maturity dates. The entire operation will involve the investors purchasing dedicated utility tokens (a form of cryptocurrency) under the so-called smart contracts. A Marshal Lion token may, but does not have to be used on the platform where the company will introduce products to allow investors to participate in market profits. 1MLGC with 25% discount = 0.19$",Marshal Lion Group Coin (MLGC),30th Oct 2019,31st Oct 2019,https://mlgc.io,Estonia,https://mlgc.io/ML_whitepaper_EN.pdf
Banking,,zest,,"Zest proposes the first ‘decentralized syndicate’ which aims to provide access to the pre-ipo opportunities of Silicon Valley. Zest disrupts the traditional boundaries by using a cryptocurrency as a medium of exchange into a venture capital fund. By pooling capital together, the syndicate is able to access these funds as a single participant. When a portfolio company succeeds in performance, resulting in either a higher series of fundraising or an IPO, the parent fund will often shed profit to their limited partners. When this occurs, Zest is given back fiat currency which is traded back into cryptocurrency and sent to the exchange partner (LATOKEN). Zest will then initiate a mass purchase of market priced Zest tokens (Z) followed by a burn of all the tokens collected in this way. This means the total amount of tokens available is continuously diminishing and, theoretically, could actually disappear from the market entirely.",Z,10th Jun 2019,17th Dec 2019,https://zest.fund,Estonia,https://drive.google.com/file/d/1U1IkRHI5VCdc1SPonr1x9aOwC9wKUodt/view?usp=sharing
Business services,,allsesame,0.7,"AllSesame - Decentralized Social Food Network Powered by Blockchain. AllSesame Token is a Blockchain Ecosystem, architecturally designed to create the most Socialized Global Food Delivery Marketplace, developed collaboratively, using the blockchain technology. In today's world the technological development strives ahead very quickly. The trends of digitization and automation are already in full swing. The development of the Blockchain technology has led to a new trend- the trend of decentralization. The principles that are declared and strictly observed by the company: • Transparency to investors and the state. • Transparency of activities and transparency of decision-making. • Readiness to cooperate with all interested people and organizations; • Fairness- a fair payment to investors. • Fair conditions for partners and employees.",SST,21st May 2019,30th Aug 2019,https://www.allsesame.com,Estonia,https://allsesame.com/allsesame-whitepaper.pdf
Casino & Gambling,,allbebet,0.27981,"Allbebet is an infrastructure project in the sports and gaming industry. Designed to help achieve high results in sports using neural networks, machine learning algorithms, and blockchain. Allbebet development thrust is the creation of business models based on AI and blockchain technologies that unite millions of people from the sports, gaming and betting industry.",ALB,26th Aug 2019,27th Aug 2019,https://allbebet.io,Estonia,https://allbebet.io/docs/white_paper_eng.pdf
Cryptocurrency,,bit agro,2.841,"AGROCOIN is a crypto coin that will become the means and guarantor of payment between users. This is a token that will become a tool for the agro-industrial market, and with the help of which users of the agro-exchange platform will be able to conduct their transactions on the purchase and sale of goods in the agricultural sector. Token AGROCOIN supports smart contract technology and was created to develop trust and positive reputation of a credit platform on the Ethereum ecosystem. AGROCOIN aims to conduct the fastest, most transparent and secure transactions.",AGRO,5th Apr 2019,5th Jul 2019,https://bitagro.io,Estonia,https://bitagro.io/wp-content/uploads/2019/03/Agro-Exchange-WP1.2.pdf
Cryptocurrency,,decimated,,"Fracture Labs are a videogame company, creating a persistent online multiplayer game, where players must use skill and intelligence to harvest resources, trade with other players, and survive in a hostile apocalyptic environment. DECIMATED is the first use-case scenario of this which they are developing in Unreal Engine 4 and SpatialOS to achieve this massive scale, and meaningful persistence. There are two factions of players: human citizens and cyborg cops, both of whom are played by real people. Fracture Labs are using blockchain technology to manage in-game items and currency.",DIO,6th Mar 2019,5th Apr 2019,https://www.decimated.net,Estonia,https://www.decimated.net/whitepaper-browser-version/
Cryptocurrency,,intelligent hero,,"We offer users the opportunity to connect with like-minds and individuals from other fields of life and gives them the opportunity to relate and share ideas with one another. The intelligent Hero platform enables interactions between members of the community to enable them to share ideas and knowledge which cuts across various fields with each other. Members of the community have access to all the features of the platform while making use of the HERO token to pay for certain things within the confines of the platform.",Intelligent Hero,null,null,https://intelligent.community,Estonia,https://intelligent.community/pdf/INTELLIGENT_HERO_PROJECT_WP_V2.1_(ENG).pdf
