cat1,cat2,name,raised,desc,ticker,start,end,www
Banking,,linix,0.043059,"The LINIX platform is the world’s first DAG infused blockchain distributed ledger that provides expandable scalability, instant confirmation, and security against double spending and Sybil attacks. The MATRIX Chain remains open-sourced, permission- less, and distributed. Our breakthrough consensus algorithm, the Proof of Check and Balance (PoCB), breeds the self-sustaining and decentralized ecosystem through a counterbalance of power. The LINIX platform is not an improved version of a pre-existing blockchain nor DAG-based protocol. It offers a new paradigm that solves the current predicaments of the decentralized economy at stake.",LNX,20th Jun 2019,21st Jun 2019,https://linix.foundation,Hong Kong,https://docsend.com/view/iwvwb6x
Big Data,,level01,,"Level01 is a peer to peer (P2P) derivatives exchange that allows investors to trade options contracts directly with one another, without requiring an intermediary or broker. Level01 combines Distributed Ledger (DLT) Technology for transparent and automated trade settlement on the blockchain, with Artificial Intelligence (AI) analytics that provides fair value pricing dynamically to counterparties in a trade, based on current & retrospective market data. The platform intends to effectively removes all forms of friction in the user experience present in conventional exchanges, such as fund deposits/withdrawals, multiple tier identity verifications, and wallet security concerns; allowing investors to fully focus on trading activities. The Level01 platform facilitates transparency & equality, and is designed to provide the most fair, efficient, even- level trading field for both retail & commercial investors.",LVX,1st Jul 2018,31st Dec 2018,https://level01.io,Hong Kong,https://level01.io/wp-content/uploads/2018/06/level01_whitepaper_final1-2.pdf
Casino & Gambling,,megaltr,,"People cannot buy lottery tickets from other countries. This means that people can only buy lottery tickets where they live. If you want to buy lottery tickets from another country, you have to be there in person. Megaltr.com selects lottery prizes based on randomness, transparency, prestige, the structure of the prize, the number of players, etc. You can check details and link to each lottery game on MegaLTR.com. The information published on the home page for each lottery game includes prize structure, ticket cost, drawing date, etc. Megaltr.com offers the same structure and prizes as the original game.",MLR,6th Dec 2019,14th Jan 2020,https://megaltr.com,Hong Kong,https://megaltr.com/upload/whitepaper%20english.pdf
Cryptocurrency,,aizeus,2.9,"Zeus is a public blockchain built for mass-market B2C & P2P applications with millions of consumer end-users features developed with the consumer end-user in mind. Model 1 : AI Decentralized Cryptocurrency Marketplace Our marketplace will be available in desktop/dapp. We will also connect artificial intelligence companies and data providers through an online marketplace with the aim of drastically minimizing the cost of data. Our marketplace is designed to drive innovation in artificial intelligence thereby creating a new decentralized AI ecosystem. Our goal is to create the largest global Cryptocurrency marketplace to revolutionalize the AI field.",AZS,1st Mar 2019,30th Sep 2019,https://aizeus.net,Hong Kong,https://aizeus.net/wp-content/uploads/2019/03/zeus-whitepaper-vr1.05.pdf
Cryptocurrency,,explorecoin,,"Explore Coin is a cryptocurrency designed to be the leading travel cryptocurrency in the world. Through the use of the blockchain, Explore Coin’s currency will be independent of banks and government institutions. This grants the user more privacy and security than the other traditional payment methods currently in use. By forming global partnerships, Explore Coin will be the most widely accepted cryptocurrency in the travel industry.",XPC,21st May 2019,22nd May 2019,https://explorecoin.io,Hong Kong,https://explorecoin.io/assets/docs/explorecoin_whitepaper.pdf
Cryptocurrency,,mitoshi,,"We are taking Mitoshi to the forefront of the lottery by leveraging on the power of smart contracts on a blockchain platform. By making use of smart contracts, we will build the future of online lottery that is globally accessible in a fair, transparent and secure environment. So you can have the confidence to bet on a winnable draw without compromise.",MTSH,1st Jul 2019,25th Aug 2019,https://www.mitoshi.io,Hong Kong,https://www.mitoshi.io/files/Whitepaper.pdf
Cryptocurrency,,refine medium,0.042,"Refine Medium is a decentralized media platform rendering authentic and high quality video content. It is built upon Ethereum technology designed to enable viewers, creators and innovators of the platform to connect via blockchain based smart contracts. A one-of-its-kind platform that will incentivize each and every stakeholder for their contribution to the platform. RefineMedium has come up with a social video platform which aims to bridge the gap between “human being” & “being human” as humanity thrives forever. There are 4 stages of building a quality creator in the RefineMedium ecosystem- Creators with a new idea and raw content, Creators collaborating with RefineMedium moderators to cause a positive impact on their creation with a touch of professionalism, Creators who have established their identity on the platform and intend to progress and prosper and at last, Creators who have achieved enough prosperity and stardom and intend to cause lasting changes in the society and inspire others to do the same. RefineMedium aims to provide an ecosystem which nurtures a naive creator into a self-actualized one. The goal is to reach the top of the “Refine Rhombus”.",XRM,19th Oct 2019,20th Nov 2019,https://www.refinemedium.com,Hong Kong,https://refinemedium.com/pdf/whitepaper.pdf
Energy,,percival,35.0,"The intent of Percival is to overturn the common knowledge for existing mining market, and to build infrastructure and system for server provision that is not existed so far, and to issue token that is accepted into crypto currency market and daily living.",XPV,5th Mar 2019,26th Mar 2019,https://percivaltoken.com,Hong Kong,https://percivaltoken.com/wp-content/uploads/2018/08/Percival_Whitepaper.pdf
Entertainment,,gifto,30.0,"Gifto Protocol - The Universal Gifting Protocol is envisioned to be a self-governing and self-sustaining ecosystem for virtual gifts to be created, curated, tracked, bought, sent and exchanged across any content platform such as YouTube, Instagram, Facebook, and Uplive. Asia Innovations Group (AIG) is the company behind GIFTO and the main product is the Uplive App : the fastest growing live streaming app. AIG is a Series B company with solid investor and advisors. Currently on track for 100 M USD (Revenue 2017), currently has 20 mil users, 60k content creators.",GTO,14th Dec 2017,14th Dec 2017,https://gifto.io,Hong Kong,https://gifto.io/GIFTO_Whitepaper_V1.3_20171122.pdf
Infrastructure,,astrcoin,,"Asteroid, Ltd. is building a decentralized database whereby private individuals, corporations and nation states can register claims on mining rights to over 600,000 identified asteroids in our near celestial orbit using a smart contract and proprietary BlockClaim® mechanisms. The system will be modelled after ICANN, a system familiar to us all, whereby individuals who desire to “claim” a website address apply for a specific website and register their domain.",ASTR,27th Sep 2019,20th Dec 2019,https://www.astrcoin.io,Hong Kong,https://www.astrcoin.io/documents/AsteroidWhitePaper.pdf
Infrastructure,,swapzilla,,"SwapZilla — is a unique infrastructure solution that revolutionizes crypto trading. SwapZilla, brings together all exchanges, all tokens, all news streams and all tools. Our platform is suitable for any player on the market: a crypto exchange, a trader, a news channel or a company that develops trading algorithms — SwapZilla will give them an opportunity to effectively interact and exchange information and data. Through our platform users will be able to: get convenient access to the widest possible range of crypto assets; crypto exchanges will be able to multiply their client base and get additional sources of income.",SWZL,15th Jul 2019,1st Jan 2020,https://www.swapzilla.co,Hong Kong,https://www.swapzilla.co/WhitePaper-eng2.pdf
Investment,,xtock,,"XTock uses blockchain technology to issue and digitise tokens that digitise corporate assets of an OTC company. This creates an ecosystem that can be used widely, from general OTC corporate information management to corporate banking services.",XTX,15th Mar 2019,15th Mar 2019,https://xtock.io,Hong Kong,https://www.xtock.io/resources/paper/Xtock_whitepaper_eng_1.2.pdf
Platform,,iotw,0.75,"IOTW, a Big Data unifying system built on a native blockchain using Proof of Assignment (PoA) protocol, makes accessing data from a cross-section of IoT devices and applications simple and efficient. Its IoT Blockchain infrastructure using PoA connects all IoT devices globally, creates passive income in the form of micro-mining, and allows for the development of decentralized applications on IoT devices. Its testnet has been launched on 12th December 2018. IOTW mission is to establish a data ecosystem for IoT devices based on blockchain, enabling the direct exchange of big data between consumers and manufacturers to ultimately improve people’s lives.",IOTW,28th Apr 2019,29th Apr 2019,https://iotw.io,Hong Kong,https://iotw.io/docs/IOTW-Whitepaper.pdf
Platform,,luxbio,,"Lux Bio Coin (LBXC), is also ready to dash out to the market. LBXC is a utility coin that can be used for medical treatment in facilities in Korea, China and Japan. We established stem cell treating hospital in Jeju, Korea and plan to expand it to Japan in 2019. Once LBXC holders can freely use these facilities at a reasonable price, more and more individual and institutes will find it interesting and valuable. Through Lux Bio program, we have teamed up with prominent medical doctors from a major plastic surgery group, REGEN, and our main focus lies on utilizing stem cell not only for anti-aging care but also 360-degree health care programs. When virtual currency is usable, we believe that it will bear true value – and we think that’s why we will succeed.",BIO,15th Nov 2018,28th Feb 2019,http://luxbio.io/others,Hong Kong,
