cat1,cat2,name,raised,desc,ticker,start,end,www
Art,,artpro,,"The Art of blockchain ArtPro makes it easy for anyone to buy and sell art over the web. A user-friendly platform harnesses the many benefits of blockchain technology, enabling ArtPro to restore the trust that has long been missing from the art industry. Instead of relying on third party authenticators, ArtPro favours a consensus mechanism that delivers a secure, decentralized system. ArtPro is creating the go-to marketplace for private dealers and contemporary artists, with a strong focus on emerging talent. The ArtPro platform will open the art world to the masses, making it possible for anyone to discover and purchase fine art online without the excessive fees, intermediaries, and steep learning curve that have traditionally made art available to only to the privileged and the well-connected. Certificates of provenance, stored on the blockchain, attest to the authenticity of each artwork on the ArtPro platform, but that is only the beginning.",APT,25th Jul 2019,3rd Sep 2019,https://www.art-pro.io,Malta,https://www.art-pro.io/files/artPro_white_paper.pdf
Artificial Intelligence,,nitro platform token,,"Nitro Token Platform is a mapping for traders, fund managers and individual investors on how to build future partners and make earnings through employing Smart Contracts and Algorithmic Approaches. The ecosystem that we are trying to build is a business model for everyone in which cryptocurrencies are used and decentralized applications grow within a strategic plan.",Nitro token,null,null,https://www.nitrotoken.io,Malta,https://www.nitrotoken.io/pdf/white-paper-en.pdf
Cryptocurrency,,elrond network,1.9,"Elrond is a novel architecture which goes beyond state-of-the-art by introducing a genuine State Sharding scheme for practical scalability, eliminating energy and computational waste while ensuring distributed fairness through a Secure Proof of Stake (SPoS) consensus mechanism. Having a strong focus on security, Elrond’s network is built to ensure resistance to known security problems like Sybil attack, Rogue-key attack, Nothing at Stake attack and others. In an ecosystem that strives for interconnectivity, Elrond’s solution for smart contracts offers an EVM compliant engine to ensure interoperability by design.",ERD,22nd Jun 2019,1st Jul 2019,https://elrond.com,Malta,https://elrond.com/files/Elrond_Whitepaper_EN.pdf
Cryptocurrency,,global crypto alliance,,"The Global Crypto Alliance (GCA - https://gcalliance.io/) constitutes a new kind of borderless organization with experienced professionals who are well-versed in the world of blockchain. Specialized in decentralized business development and blockchain ecosystems, our global network calls an active community of content creators and content consumers into action. GCA’s first product is Global Crypto News (GCNews.io), a totally new, unparalleled, and revolutionary content publication platform with a unique rewarding twist that is fueled by the crypto asset, CALL, and structured as an open network of active news aggregators who can monetize their actions within the system.",CALL,20th Nov 2019,28th Nov 2019,https://gcalliance.io,Malta,https://gcalliance.io/wp-content/uploads/GCA_Greenpaper_V1.05-291019.pdf
Cryptocurrency,,smart trade coin,,"Nowadays, despite impressive yield, it is becoming more and more challenging to trade cryptocurrencies in financial markets. The only way to be successful in this area is to take hold of a powerful information tool that will enable you to trade several orders of magnitude more efficiently. Our team has created and is ready to bring to market revolutionary software SMART TRADE COIN SOFTWARE, the profitability of arbitrage transactions made using it was confirmed by independent live-testing. We will channel the entire potential of the SMART TRADE COIN WORLD to building up of the largest decentralized crypto training community capable of directly influencing the major exchanges.",TRADE,null,null,https://smarttradeico.io,Malta,https://smarttradeico.io/stc-wp.pdf
Cryptocurrency,,xcrypt,,"xCrypt is the first crypto ecosystem with a high added value in its Exchange Platform ready for Digital Assets and FIAT, Securities, STO and ERC721. We created this end to end system which includes a Debit Card and a Social Media Trading system which is an advanced investment solution, which enables trading on one account managed by a skill full and experienced trader using his own funds and joint funds invested by other traders in his SMT account. This ecosystem is made to be at the same level as the world’s big players, and even surpass them, for we are already suitable in this field’s future. . We believe that, in the near future, many changes in the cryptocurrencies field will occur, as well as in the trading field and in how this world is conceived. This is the reason why, after carefully developing its concept, since its host country allows it, xCrypt decided that its priorities are those of listing security tokens, having an appropriate and strategic marketplace for the ERC721",XCT,24th May 2019,30th Jun 2019,https://www.xcrypt.club,Malta,https://www.xcrypt.club/xCrypt-Whitepaper.pdf
Electronics,,bitwings,,"BitWings token, a native currency of Wings Mobile ecosystem, has 100% guaranteed issuing value and is the only means to pre-order the first (40 000) ultra-secure blockchain smartphones in the world able to generate up to 2 ETH a month without any power consumption, powered with neural technology. Safe Core OS™, a secure operating system based on neural technology built within commercial Android systems powered with an AI. Neural Face ID™ gives the ability to recognize the difference between users and strangers, allowing access to users’ menus and applications accordingly. Wings Guardian 2.0™ verifies and warns the user, even in sleep mode. Proof-of-Data algorithm that is able to generate up to 2 ETH in a month. Super Natural Speech system “Angel". WingsPay triple authentication protocol (FaceID, fingerprint, and PIN) allows secure access to an e-wallet equipped with a payment system, based on blockchain technology.",BWN,2nd Sep 2019,30th Nov 2019,https://bitwings.org,Malta,https://bitwings.org/white-paper-en.pdf
Platform,,h&b exchange token,,"HnB Exchange Token is a token issued by H&B Exchange. H&B Exchange is a cryptocurrency exchange that has commenced its services from August 2019, in the region of Malta. Our aim is to deliver an easily-accesible cryptocurrency-investing experience to users worldwide, by developing a mechanism able to be utilized by users of all countries to trade on the exchange market. Our goal is to become one of the world's most convenient cryptocurrency exchanges. Furthermore, we will distribute Airdrops of the cryptocurrencies listed on our exchange to each and every user who participates in our exchange.",HBXT,null,null,https://www.hnb-ex.com,Malta,https://www.hnb-ex.com/pdf/hbxt-whitepaper.pdf
Platform,,poseidon,2.421832,"Poseidon builds climate change solutions with widespread and immediate impact. Its current ICO and token sales support its 'reduce' platform, which uses blockchain to let anyone rebalance the climate impact of any product or service in real time at the checkout.",OCEAN,13th May 2019,17th May 2019,https://www.poseidon.eco,Malta,https://poseidon.eco/assets/documents/Poseidon-Climate-Rescue.pdf
Platform,,vodi x,1.477031,"Vodi is an extraordinarily successful and award-winning all-in-one mobile platform boasting 5+ million users in over 200 countries and is tokenizing its ecosystem by launching Vodi X. Vodi X complements the already vibrant existing Vodi platform with the use of blockchain technology.",VDX,21st May 2019,22nd May 2019,https://vodix.io,Malta,https://vodix.io/pdf/VodiX_WhitePaper_1.1_EN.pdf?1557845291
Platform,,whirl,,"You can use WHIRL to get funding for just about anything, as long as it’s legal. Your dream could be a startup сompany, a charitable project, a gift, a holiday or even a new car. All you back someone else’s campaign before you seek backing for your own. WHIRL is ideal for people who don’t have the contacts, skills, or funds to campaign in other ways. By joining the WHIRL community, you can back people with similar dreams, and get their backing in return. WHIRL is not a typical crowdfunding platform tacked onto the blockchain; it offers a number of key improvements and innovations over legacy crowdfunding platforms.",WRL,26th Nov 2018,27th Aug 2019,https://whirl.com,Malta,https://whirl.com/WHIRL_WP.pdf
