cat1,cat2,name,raised,desc,ticker,start,end,www
Health,,digipharm,,"Digipharm bypasses infrastructural limitations to enable the implementation of flexible value-based pricing agreements using smart contracts, the development of unprecedented evidence platforms and the ability to reward patients for contributing their data. We aim to utilize innovative blockchain technology to overcome barriers to patient access and innovative pricing, reduce costs for all stakeholders, and bypass infrastructural limitations to drive value improvement, incentivize innovation and expedite the transformation to personalized healthcare. Our solutions aim to accelerate the much needed restructuring of healthcare delivery systems to a value-based approach.",DPH,29th May 2019,30th May 2019,https://digipharm.ch/?utm_source=ico.tokens-economy.com,Switzerland,
Platform,,jobchain,,"Jobchain® makes it easy to hire and be hired. Through our native token JOB, anybody would be able to pay and be paid for jobs or services in cryptocurrency. Jobchain® App includes a cryptocurrency wallet. Users will be able to buy, sell, send and store their preferred cryptocurrency. Stay tuned, more features will be included within our App.",JOB,28th May 2019,29th May 2019,https://www.jobchain.com?utm_source=ico.tokens-economy.com,Austria,
Platform,,harmony,,"Harmony is a fast and secure blockchain with key innovations in state sharding and peer-to-peer networking.",ONE token,28th May 2019,29th May 2019,https://harmony.one/team/?utm_source=ico.tokens-economy.com,USA,
Media,,gath3r,,"Gath3r’s blockchain combines in-browser mining with merged mining, allowing new and existing coins to use Gath3r’s hash rate to be truly decentralized, protect against 51% attacks and provides better profitability for web-miners. Gath3r’s Blockchain also provides interoperable smart-contracts, Masternodes, web and mobile-based staking.",GTH,27th May 2019,28th May 2019,https://www.Gath3r.io?utm_source=ico.tokens-economy.com,United Arab Emirates,
Cryptocurrency,,biido,,"Biido is a Zero Fee Digital Asset Exchange Platform created by Community for Community. An Exchange for the people that will assist to accelerating the adoption of Cryptocurrency, Digital Asset & Blockchain Asset in bulk by combining aesthetic values, convenience and security. With the ease and features offered, Biido Trading Platform is expected to pave the way for new comers/beginners who want to try and feel to invest in Crypto Market with simplify features such as Trading Bot, Technical Analytics, and Community Strategy.",BION,27th May 2019,28th May 2019,https://biido.id/?utm_source=ico.tokens-economy.com,Indonesia,
Cryptocurrency,,xcrypt,,"xCrypt is the first crypto ecosystem with a high added value in its Exchange Platform ready for Digital Assets and FIAT, Securities, IEO and ERC721. We created this end to end system which includes a Debit Card and a Social Media Trading system which is an advanced investment solution, which enables trading on one account managed by a skill full and experienced trader using his own funds and joint funds invested by other traders in his SMT account. This ecosystem is made to be at the same level as the world’s big players, and even surpass them, for we are already suitable in this field’s future. . We believe that, in the near future, many changes in the cryptocurrencies field will occur, as well as in the trading field and in how this world is conceived. This is the reason why, after carefully developing its concept, since its host country allows it, xCrypt decided that its priorities are those of listing security tokens, having an appropriate and strategic marketplace for the ERC721",XCT,24th May 2019,26th May 2019,https://www.xcrypt.club/?utm_source=ico.tokens-economy.com,Malta,
Cryptocurrency,,cherry cube,,"Cherry Cube is a social company with an emphasis on decentralized and individualized goods in order to accommodate trends in consumer purchasing. By tapping into the purchasing power possessed by the crypto market, Cherry Cube intends to connect crypto assets to real-world economic value using unique features like the Cherry Cube season and Cherry Cubes in order to create a strong market of creators and producers.",CTO,24th May 2019,30th May 2019,https://www.cherrycube.io/?utm_source=ico.tokens-economy.com,South Korea,
,,listeningmind,,"LIsteningMind IEO Postponement Announcement The Listening Mind IEO has been postponed to the end of this year/early next year following an official request from the project team. The decision was made by Listening Mind to allow them to fine-tune essential elements of their project including MVP development and a working demo for investors. Listening Mind will continue to develop their community through regular meet-ups to generate additional buzz while also focusing on continual discussions and finalizing confirmation from their institutional investors. We apologize for this sudden delay but can assure you that the project’s decision was made with investors in mind as the top priority. In the meantime, ProBit Exchange will do our best to continue introducing quality projects to our Launchpad Premium platform to provide users exclusive access to some of the most innovative blockchain visions around the globe. Thank you for your understanding.",LMT,24th May 2019,30th May 2019,https://www.listeningmind.com/?utm_source=ico.tokens-economy.com,null,
Platform,,eventoken,0.449999,"EvenToken ( " the platform " ) is a decentralized sponsorship platform for event planners. Using blockchain technology, the EvenToken is dedicated to assisting off-line event planners to overcome the greatest challenge they face worldwide – sponsorship.",EST,22nd May 2019,23rd May 2019,http://www.eventoken.io/index.html?utm_source=ico.tokens-economy.com,Taiwan,
Media,,translateme,,"TranslateMe is a decentralised translation solution that will combine Neural Machine Translation (NMT) with a distributed network of computing power, as well as human input.",TMN,22nd May 2019,28th May 2019,https://translateme.network/?utm_source=ico.tokens-economy.com,Mauritius,
Platform,,vodi x,1.477031,"Vodi is an extraordinarily successful and award-winning all-in-one mobile platform boasting 5+ million users in over 200 countries and is tokenizing its ecosystem by launching Vodi X. Vodi X complements the already vibrant existing Vodi platform with the use of blockchain technology.",VDX,21st May 2019,22nd May 2019,https://vodix.io?utm_source=ico.tokens-economy.com,Malta,
Cryptocurrency,,explorecoin,,"Explore Coin is a cryptocurrency designed to be the leading travel cryptocurrency in the world. Through the use of the blockchain, Explore Coin’s currency will be independent of banks and government institutions. This grants the user more privacy and security than the other traditional payment methods currently in use. By forming global partnerships, Explore Coin will be the most widely accepted cryptocurrency in the travel industry.",XPC,21st May 2019,22nd May 2019,https://explorecoin.io/?utm_source=ico.tokens-economy.com,Hong Kong,
Education,,futurepia,,"Futurepia is a blockchain based mainnet designed especially for high traffic DApps. Futurepia has developed a new DDPoS (Dual Delegated Proof of Stake) algorithm (patent approved) which is a considerable improvement over DPoS (EOS) both in terms of scalability and security. The mainnet has already been released and has demonstrated 300,000 transactions per second in the test environment (certified by KOLAS). It is deployable both in Windows and Linux environment with 100 APIs already developed. Apart from providing mainnet core engine API, Futurepia also provides other useful modules like live streaming, smart wallet, communication network, and P2P cloud API. This allows DApp developers develop the apps easily and grow faster.",PIA,20th May 2019,21st May 2019,https://futurepia.io/?utm_source=ico.tokens-economy.com,Singapore,
