cat1,cat2,name,raised,desc,ticker,start,end,www
Big Data,,spender,,"The SPENDER platform is a new connective platform that protects consumer data based on blockchain technology and shares the consumer’s rights to their spending data, as companies currently segregate consumers from the profit generated using consumer spending data. A large portion of consumer spending patterns now exists online, but the size of offline consumer economy is still growing rapidly. The problem of offline consumer economy is that the consumer’s spending data is exclusively used to generate profit for certain companies. This is a detrimental problem because consumer information is made unstable and because the consumers are segregated from the profit generated using their spending data.",SPD,14th Oct 2019,23rd Oct 2019,https://spdx.io,South Korea,https://spdx.io/whitepaper/whitepaper_eng.pdf
Business services,,mach project,,"MACH is a project to create platforms and their payment coin in order to trade personal assets worldwide. Using blockchain based escrow system and MACH coin provide escrow fee free & safe trading. The Korean version of trading platform MarketMACH is under beta service, and the English version will be open at the end of July.",MACH,4th Jul 2019,14th Aug 2019,https://bit.ly/2JsCDwQ,South Korea,https://op-mach-bucket.s3.ap-northeast-2.amazonaws.com/whitepaper/white_paper_eng_2.04.pdf
Business services,,nemodax,,"NEMOLab is a company specialized in the Blockchain research/development where personnel who hope to make a transparent world by utilizing the core technology of Blockchain and the Blockchain well were gathered and immersed themselves in R&D.",NEMO,23rd May 2019,2nd Jun 2019,https://www.nemodax.com/service/ieo_en,South Korea,https://www.nemodax.com/doc/NEMODaX_White_Paper_ver.1.0_ENG.pdf
Cryptocurrency,,cherry cube,,"Cherry Cube is a social company with an emphasis on decentralized and individualized goods in order to accommodate trends in consumer purchasing. By tapping into the purchasing power possessed by the crypto market, Cherry Cube intends to connect crypto assets to real-world economic value using unique features like the Cherry Cube season and Cherry Cubes in order to create a strong market of creators and producers.",CTO,24th May 2019,30th May 2019,https://www.cherrycube.io,South Korea,https://docs.wixstatic.com/ugd/e470b5_5b888aa004464f2e9e3c5d35ef19e9b3.pdf
Cryptocurrency,,grabity,,"The limitations of speed and the constant increase in the size of ledger of current public Blockchain is limited to being established in reality, which results in reduction of node participation and increase in network cost due to the escalating size of the data capacity. "Grabity provides an innovative Blockchain platform for global ecosystem and Blockchain users." Grabity’s platform allows to solve the limitation in the speed of authentication and the size of the distributed storage accumulated in each node increasing equally, thus reducing the efficiency of the entire network and reducing node scalability, through Orbital Consensus and Genesis Hoisting. Through the SDK and Toolkit provided by Grabity, developers can easily apply Blockchain and tokenize to existing applications and benefit from global expansion of services, expansion of users, and cost savings. Without any purchase of expensive mining equipment, anyone can easily become a node in providing their computer resources and receive rewards with just a click to their smartphones, PCs, and already installed DApps.",GBT,2nd Apr 2019,2nd Apr 2019,https://grabity.io,South Korea,https://github.com/grabityorg/WhitePaper/blob/master/Eng.MD
Cryptocurrency,,tokenmom,,"Tokenmom, a free decentralized crypto exchange created in 2018, aims to be a leader and innovator in its market. Tokemom.com launched in 2018, and amongst other reliable features it allows its users to trade their tokens or ICO tokens earlier than traditional exchanges. Even though decentralized exchanges are growing in the market ICO investors face long waiting times before being listed. Tokenmom’s goal is to overcome that barrier but allowing all tokens (Ethereum based ERC20 and ERC721) to be traded, including those not listed in the exchange market. One other key feature that distinguishes us from other exchanges is that we don’t require you to sign up to our exchange, there’s also no deposit or withdrawal required. Users can import an existing wallet, create a new tokenmom wallet or login with a Metamask wallet, and they can then trade their tokens in realtime, anywhere, anytime in a PC or mobile device. Tokenmom has made it possible for users to trade all ethereum based tokens via their personal wallets regardless of other exchanges’ listings - another key differentiator from traditional exchanges. Tokenmom is a secure platform, providing guarantees to users that, even if the exchange is hacked or closed, their tokens will still be stored in their personal wallets. In near furture, we will try to add new EOS blockchain Dex and WBTC(Wrapped Bitcoin) For decentralized BTC market. TM COIN In order to create an incentive for the initial contributors, the price will be increased step by step (8 step) and so the earlier contribution will be more interesting. The target price of TM Token is 0.01 $ (about 11.3 KRW). Thus, contributors who buy tokens first will have a larger amount of TM tokens than later contributors for the same amount contributed. We also aim to operate TM Market and the exchange fee is free and the tx fee will be received as TM token, which helps Tokenmom exchange to regain TM token and so more interesting for early contributors. This depends on the success of both TM token's sales and Tokenmom exchange. Furthermore we can burn TM coins that we received as TX fee.",TM,31st Jan 2019,7th Jun 2019,https://www.tokenmom.com,South Korea,https://www.tokenmom.com/whitepaper_eng_1.1.pdf
Media,,ziktalk,0.35,"Ziktalk is currently focusing on language learning and building global audience. It will extends its coverage to law consultation, marketing advices and much more.",ZIK,16th Jul 2019,16th Jul 2019,https://www.ziktalk.com,South Korea,https://docs.google.com/presentation/d/1vqjfCwbu91zsAcMxsdvPPliKVCgD0eMC01hQQTRS6AE/edit#slide=id.p1
Other,,juchating,,"Juchating is a ‘parking reservation system through sharing of idle parking spaces'. You can sell your designated & unnecessary space and use others' parking lots at reasonable prices",PSR,27th Nov 2019,29th Nov 2019,http://www.juchating.io/en,South Korea,https://www.juchating.io/data/JUCHATING_Whitepaper_EN_ver2.1.pdf
Platform,,coin island air,,"Coin Island is a Blockchain-based global cryptocurrency payment platform that connects consumers and stores around the world. Consumers and shops around the world can make safe and fast payments using cryptocurrency within the multi-lingual Coin Island platform. Consumers can use Coin People to check and pay the information such as location, menu, etc. of a store where cryptocurrency payment is possible. Stores can use the Coin Store to provide services such as promotion, settlement, and sales management of stores. Coin Island Air (CIA), issued by Coin Island Co., Ltd. is a Mining token in which provide reward to consumers when consumers make payments with BTC, ETH, XRP and CIT in stores through a Coin Island. The CIA provided as Reward is cryptocurrency that can be purchased or sold through a cryptographic exchange as well as paying for goods and services on the Coin Island platform.",CIA,11th Jul 2019,31st Dec 2019,https://www.coin-island.com/whitepaper.html?&utm_source=ico.tokens-economy.com,South Korea,https://admin.coin-island.com/files/white_paper/Coinisland_White_Paper_en.pdf
Platform,,ghost talk,1.5,"Leveraging blockchain innovations, Ghost Talk uses XSCC coins as decentralized rewards to incentivize users on its social messaging application using our own XSCC, Smart Wallet, and Smart Contract.",XCSS,30th May 2019,3rd Jun 2019,https://www.ghost-talk.io,South Korea,https://www.ghost-talk.io/data/GHOST_TALK_White_Paper_v2.3_en.pdf
Platform,,hunt,0.26,"HUNT is home to product early-adopters who have exceptional knowledge and passion for cool new products. Our blockchain-powered token economy and apps are bridging makers to early-adopters for their successful product launch.",HUNT,23rd Mar 2019,26th Mar 2019,https://token.steemhunt.com,South Korea,https://token.steemhunt.com/HUNT_Whitepaper_v1.1_EN.pdf
