cat1,cat2,name,raised,desc,ticker,start,end,www
Internet,,swarm fund,5.5,"Swarm Fund is the blockchain for private equity. Swarm is creating a unique market infrastructure built on blockchain technology that enables investing cryptocurrency into real assets and deploying traditional capital into crypto markets in a new way. Swarm is built for: Crypto Investors who want to de-risk their portfolios, Family Offices looking for a more efficient way to invest into crypto and alternatives, and everyday retail investors searching for access to opportunities that were not accessible before. With a legal and regulatory framework compatible with institutional investors, automation to remove middle men, and prioritizing access for all, Swarm can streamline and help double the Private Equity industry from $2.5 trillion to $5T+ in the next five years.",SWM,21st Oct 2017,28th Oct 2017,https://swarm.fund/?utm_source=ico.tokens-economy.com,USA,
Business services,,cryptune,1.5,"US company Cryptune LLC, is set to disrupt the Point of Sale Software & Hardware industry with a fully integrated cryptocurrency payment Universal Point of Sale System Inventory control, sales tracking, real time reporting functionality, text message alerts, easy to use customer contact capabilities and so much more. Cryptune’s proprietary hardware and software POS system will also allow for the acceptance of over 1000 different cryptocurrencies, including the CPT Reward Token — via a strategic partnership with industry pioneer Coinpayments — bringing the POS market into the next wave of IoT and the web 3.0. By combining Point-of-Sale system experts with transaction, network security and cryptocurrency experts, Cryptune is creating a state-of-the-art solution to retail and restaurant owners across the globe.",CPTS,15th Nov 2018,11th Feb 2019,https://www.cryptune.io?utm_source=ico.tokens-economy.com,USA,
Infrastructure,,geneos,,"genEOS exploits an innovative model to achieve transparent and fair token distribution. A US-based non-profit organization will administer the funds generated and manage the token distribution process, securing legal and regulatory compliance and ensuring the genEOS project is transparent and a great opportunity for business.",genEOS,26th Jun 2018,23rd Dec 2018,https://geneos.io/?utm_source=ico.tokens-economy.com,USA,
Smart Contract,,monetizr,0.7,"Monetizr (Techstars) is the go-to platform for in-game economies. The Monetizr game reward engine integrates directly with games and reward gamers with MTZ tokens for their time and skill. The Monetirzr rewards increase play time and engagement, therefore increasing game developer in-app purchase and advertising revenue. Gamers use MTZ tokens in any participating game to purchase in-game items or physical game-related merchandise.",MTZ,25th Aug 2018,25th Sep 2018,https://www.monetizr.io/?utm_source=ico.tokens-economy.com,USA,
Smart Contract,,pokersports,0.5,"PokerSports is a platform that offers a variety of different fantasy sports games that are tailored to each one of our user's personal interests. Our games require skill, strategy and social interaction to give our users an experience never seen before in this industry. Through the integration of the iGaming and eSports markets, we are looking to revolutionize the way fantasy sports are played today. With the introduction of the PokerSports Token (XPST), PokerSports users from all over the world will be able to use a unique decentralized digital currency to play all available games, making for quick and easy transactions under a trustless system.",XPST,24th Mar 2018,21st May 2018,https://www.pokersports.io/?utm_source=ico.tokens-economy.com,USA,
Retail,,bonafi,,"Authenticating the Supply Chain Using Blockchain Technology. By integrating the Crypto-Tag™ and Mobile Application with Blockchain technology, we are empowering Brands, Retailers, and Consumers the ability to fight against counterfeit products.",BONA,5th Nov 2018,23rd Dec 2018,https://www.bonafi.io?utm_source=ico.tokens-economy.com,USA,
Artificial Intelligence,,epigencare,0.036701,"EpigenCare is connecting consumers with skincare companies through a direct-to-consumer skincare test and web platform on the Ethereum network. Consumers will be able to receive actionable recommendations of optimized skincare products to use, as well as assess the progress of their skincare routines, based on their skin's epigenetic profiles. A reward mechanism is implemented to encourage recurring tests and create transaction records on the blockchain ledger. This tokenization of data allows consumers to verify that their data is used solely for their own benefit in the structured ecosystem, solving the problem of perceived instrusiveness associated with personal tests requiring consumer DNA.",EPIC,16th Apr 2018,31st Jul 2018,https://www.epigencare.com/?utm_source=ico.tokens-economy.com,USA,
Other,,property coin,,"Property Coin (PCX) is the first security token backed by a professionally managed portfolio of fix and flip real estate and loans. PCX is managed by Aperture, a California-based real estate technology and investment company. 100% of profits from investing in real estate assets will be reinvested, buying additional real estate assets for tokenholders, which should increase the market value of PCX. Property Coin merges traditional securitization technology into the coin format, and is being created in conjunction with one of the most respected law firms in structured finance. We have been beta testing our systems and methods since 2016, making real world property investments with our own capital. This testing has resulted in the rejection of approximately 99.8% of available investment opportunities and we select only 0.2% of opportunities viewed. To date we have produced over 50% unlevered IRRs on our investments.",PCX,1st May 2018,31st Jul 2018,https://propertycoin.re/en/?utm_source=ico.tokens-economy.com,USA,
Health,,citizen health,0.118887,"We’re capitalizing on the growing trends toward free-market medicine, the rise of Direct Patient Care, and the frustration people face from confusing medical bills & rising premiums. Utilizing the latest advances in blockchain technologies, wearables, and machine learning, we’re solving core problems to reinvent the way healthcare services are offered and purchased. Our foundational developments: 1. Humantiv, a collaborative operating system designed to optimize health & wellness by incentivizing people to pursue healthy lifestyles with the help of wearable technology. 2. Medoplex, an open & transparent marketplace where healthcare buyers & sellers transact directly in a free market economy without insurance intermediaries. 3. “Health as a Service,” personalized subscriptions for health & wellness based on members’ genetics, microbiomics, wearable data, and medical records.",MDX Token,15th Mar 2018,21st Oct 2018,https://citizenhealth.io?utm_source=ico.tokens-economy.com,USA,
Smart Contract,,tzero,134.0,"Our platform integrates cryptographically secure distributed ledgers with existing market processes to reduce settlement time and costs, increase transparency, efficiency and auditability.",TZRO,9th Jun 2018,9th Aug 2018,https://www.tzero.com/?utm_source=ico.tokens-economy.com,USA,
Cryptocurrency,,zensports,0.1,"ZenSports is a peer-to-peer sports betting marketplace where anyone can create and accept sports bets with anyone else in the world, without the need for a centralized bookmaker. Bettors can fund their accounts, place bets, pay commissions, and cash out their winnings via cryptocurrencies (including ZenSports' own SPORT token). Through the utilization of smart contract technology via ICON’s blockchain protocol, as well as a defined token economy, ZenSports is able to offer a fully decentralized betting platform.",SPORT,1st Dec 2018,5th Jan 2019,http://www.gbn.services/2hq5?utm_source=ico.tokens-economy.com,USA,
Investment,,coinseed,,"Coinseed makes it easier for everyone to start investing in cryptocurrencies. A user can simply collect their spare change to invest or he/she can be more active by controlling their portfolio day to day. The Coinseed platform ranks the users' portfolios by their returns. Any user can replicate another user's portfolio with just a click of a button. We rank all users' portfolios by their returns and our users can copy the best performing portfolios from each other. When a Coinseed user converts their current portfolio to another portfolio that they like, there is a 1% fee on the total asset that is being converted. Coinseed will distribute 50% of this revenue to the CSD token holders every month.",CSD,20th Mar 2018,20th May 2018,https://www.ico.coinseed.co/?utm_source=ico.tokens-economy.com,USA,
Health,,minthealth,0.150738,"MintHealth is a global, decentralized health platform that aligns healthcare stakeholders around the shared goal of patient empowerment and improved clinical outcomes, at lower costs. To achieve these goals, MintHealth is introducing two tokens on the Ethereum blockchain: Vidamints and the MintHealth Security Token. With 40-56M annual deaths, globally, from chronic conditions, MintHealth set out to solve a simple problem: patient data is fragmented and spread across multiple data silos, making them unavailable to educate and empower patients to be more proactive about their own health. This means patients are relegated to passive rather than proactive rolls in their own health care, leading to rising healthcare costs, poor medical outcomes, and immense poverty in the developed world.",MHST,20th Apr 2018,10th Sep 2018,https://www.minthealth.io/?utm_source=ico.tokens-economy.com,USA,
Cryptocurrency,,the forge network,,"Forge Coin is a hybrid Proof of Work and Proof of Stake token offering 5% annual interest for stakers. However, The Forge Network is much more than a token, it will be a complete cryptocurrency ecosystem, a marketplace, an easy to use desktop and mobile interface, and a valuable tool in emerging markets like the gaming economy, voice assistants, and connected-home technology, all through the use of FRG tokens.",FRG,24th Feb 2018,24th Mar 2018,https://theforgenetwork.com?utm_source=ico.tokens-economy.com,USA,
Investment,,miami crypto exchange,,"Miami Crypto Exchange (MCEX) is leading the charge to transform financial investments and instruments into compliant tokens uniquely providing a single trading platform for security tokens and cryptocurrencies with the ease of liquidity to US dollars and providing a gateway to Latin American markets and the world. MCEX is a fully-compliant-focused security token and cryptocurrency exchange platform equipped with a Florida Money Transmission license and FinCen registration allowing its proprietary and secure Mecury Cash wallet to provide immediate access to US-dollar liquidity.",MCEX,17th Apr 2018,17th Oct 2018,https://www.miami.exchange/?utm_source=ico.tokens-economy.com,USA,
Investment,,vaultbank,10.0,"Vaultbank is a global investment firm, committed to sound financial investment and technological advancement. Unlike most cryptocurrencies that are utility tokens, Vaultbank is offering private security tokens, which represent beneficial ownership interests in non-voting equity shares in Vaultbank’s future revenue generating business ventures. These include, but are not limited to, an exchange that is in development, a debit MasterCard, and the Vaultbank Fund, which will be comprised of an asset backed credit portfolio. Vaultbank intends to build token value with its experienced management team and, subject to the board and holders of voting shares, pay quarterly dividends to its token holders. The Vaultbank investment opportunity is available to accredited investors per Reg D, Section 506(c) and Reg S, as an exempt offering. Vaultbank will create an asset backed credit portfolio by utilizing the expertise of the Vaultbank senior portfolio management team from established financial firms with the artificial intelligence and machine learning talent of Random Forest Capital, a San Francisco quantitative hedge fund. Vaultbank intends to then use a warehouse line of credit to provide leveraged returns for token investors. Further making cryptocurrency accessible to consumers, Vaultbank will be offering a debit card to facilitate purchasing everyday items using cryptocurrencies at point-of-sale terminals around the world. The Vaultbank debit card will allow cryptocurrency investors and consumers to facilitate foreign exchange transactions at highly competitive rates on seventeen (17) of the largest global currencies and to use their holdings as tender. Additionally, Vaultbank is in development on the Vaultbank cryptocurrency exchange, a secure cryptocurrency ICO investing and trading portal that plans to offer low transaction fees, reliable customer service, and access to other private security tokens offerings as well as trading of utility tokens.",VB,18th Jan 2018,18th Feb 2018,https://vaultbank.io/?utm_source=ico.tokens-economy.com,USA,
Cryptocurrency,,fitblox,,"Fitblox is a health, fitness, and social community platform built on the EOS blockchain, combining incentive-based rewards and social media monetization. The Fitblox DApp will empower users to monetize both their fitness journey and social media experience by utilizing a unique stake-weighted voting system which encourages users to participate in a motivational advancement model. Fitblox is the intersection of user monetized social media and secure fitness tracking technology enabled by the EOS blockchain. The FITBLOX DApp will enable users to control their own data & content by providing access to secure fitness tracking technology merged with an immersive incentive-based rewards social media experience. Our DApp will leverage DPOS as the basis for our stake-weighted voting system which will enable content creators to be rewarded by the community for sharing useful content. Fitblox will offer users access to a symbiotic marketplace for health and fitness products and content, creating a 360° user experience.",FBX,29th Oct 2018,30th Mar 2019,https://www.fitblox.io/?utm_source=ico.tokens-economy.com,USA,
Platform,,ping chain,,"A fundamental gap in technology has finally been solved on the Ethereum Blockchain as reliable scheduling of smart contracts has become a reality. DApp City announced the successful launch of Ping Chain (www.pingchain.co) to provide Smart Contract Execution as a Service. Ping Chain offers blockchain developers a variety of events that can be monitored and used as triggers for remote execution. The core event type - time intervals - is live today on the Ethereum main net and Ropsten test net. The time interval event type allows developers to execute their smart contracts code on a regular interval, such as every minute or every day.",PNG,1st Mar 2018,31st Mar 2018,https://www.pingchain.co/?utm_source=ico.tokens-economy.com,USA,
Business services,,science blockchain,12.298073,"We want to use our expertise at company building to help what we anticipate will be the best blockchain entrepreneurs build the software giants of the next century. We believe our token holders should benefit from access to a stream of new tokens from our carefully incubated portfolio companies. In turn, investors should as a result, participate in any upside from ownership of the Science Tokens, as the proceeds from acquisition of portfolio companies are used to repurchase those tokens on the open market.",SCI,9th Oct 2017,9th Nov 2017,https://science.tokenhub.com/?utm_source=ico.tokens-economy.com,USA,
Platform,,22x fund,,"The first tokenized opportunity to invest in a group of pre-vetted early stage startups. ~2% acceptance rate for companies chosen for the 500 Startups accelerator program. Get proceeds from the startups as they grow, exit or IPO or trade the 22X Fund token.",22X,9th Mar 2018,23rd Mar 2018,https://www.22xfund.com/?utm_source=ico.tokens-economy.com,USA,
